Source,Target,Distance,ExecutionTime
1227768026,3134845130,14396.0,260629607
3134845130,568477969,6866.0,83945876
568477969,293386293,12509.0,278616419
293386293,626489051,12984.0,282254943
626489051,2645258420,4555.0,47893933
2645258420,3165346015,2866.0,39873185
3165346015,3474304321,6174.0,85413491
3474304321,308669583,7397.0,104197456
308669583,3495305429,13020.0,257739266
3495305429,1181097009,15787.0,320133338
1181097009,1573156051,1125.0,5676588
1573156051,1659136387,13919.0,319198350
1659136387,1513167223,12284.0,293620141
1513167223,928548929,7326.0,92750448
928548929,463314955,7141.0,74109791
463314955,369485599,7748.0,89489376
369485599,3644916902,4845.0,50784189
3644916902,717727794,5123.0,56150660
717727794,1708692197,10484.0,131337079
1708692197,1578752101,6027.0,64737766
1578752101,528730637,15128.0,396786197
528730637,3489341617,15362.0,335086983
3489341617,420223458,2512.0,14568149
420223458,1255825351,6913.0,87596525
1255825351,1213393900,2621.0,13103852
1213393900,97878153,13052.0,161236627
97878153,492563711,7454.0,133945391
492563711,638770372,4628.0,54735879
638770372,1122628697,8902.0,107931506
1122628697,429966768,19420.0,308638222
429966768,1026047297,7082.0,78394044
1026047297,4694141591,5563.0,67877850
4694141591,5403417405,873.0,10751481
5403417405,3467073562,1181.0,32313622
3467073562,1022919708,9810.0,267107592
1022919708,523226233,6224.0,102997212
523226233,2062877568,13913.0,291435717
2062877568,322754971,18386.0,212301827
322754971,1084953139,10319.0,56738723
1084953139,392270446,8398.0,80222538
392270446,1884166974,16449.0,334454783
1884166974,4187282207,16793.0,327271683
4187282207,1599630739,16319.0,321446332
1599630739,26385769,1655.0,21026752
26385769,1654879481,17066.0,252699261
1654879481,279832520,11619.0,90472571
279832520,1751822641,6872.0,57432205
1751822641,1137710789,890.0,23396842
1137710789,412540101,15826.0,391917444
412540101,2284926589,1066.0,16802971
2284926589,125526549,3455.0,58594469
125526549,252634823,17623.0,387733821
252634823,1806539479,6219.0,48956663
1806539479,1561585898,9194.0,138231089
1561585898,2916175160,3953.0,72861170
2916175160,254157650,1194.0,9503590
254157650,4929252245,10915.0,317689246
4929252245,1131555622,15967.0,419741856
1131555622,31405343,8574.0,60440778
31405343,496033229,5469.0,66277654
496033229,4847381585,11824.0,204935830
4847381585,1299751433,14575.0,251842576
1299751433,2371627047,12757.0,119457153
2371627047,1179514349,4140.0,13119932
1179514349,224554442,4647.0,22999718
224554442,5274047931,16252.0,246920080
5274047931,5404229644,16611.0,268151768
5404229644,1130852293,12714.0,211720072
1130852293,1886962556,12323.0,205771418
1886962556,4033761566,15361.0,212452082
4033761566,1973730885,1182.0,13967692
1973730885,4577881715,18234.0,272954227
4577881715,1188858232,3492.0,7941180
1188858232,257402504,21838.0,286417932
257402504,3811697220,13345.0,312023858
3811697220,282951744,574.0,22736526
282951744,281411644,4795.0,52166925
281411644,4740482718,10576.0,159542362
4740482718,1130851583,6392.0,68948925
1130851583,798153028,10675.0,187263014
798153028,435122243,12821.0,259127119
435122243,2603833703,12300.0,266665996
2603833703,1279123515,12799.0,307006670
1279123515,318236646,19958.0,240829402
318236646,98204152,19382.0,234591157
98204152,4785284399,11172.0,216502109
4785284399,1427753603,6715.0,79525173
1427753603,1602656849,5438.0,39905798
1602656849,2218328577,12042.0,160448900
2218328577,1131370288,13734.0,190574287
1131370288,1592207388,6946.0,59710072
