Source,Target,Distance,ExecutionTime
1227768026,3134845130,14397.00000,242845154
3134845130,568477969,6866.00000,63828789
568477969,293386293,12525.00000,198653571
293386293,626489051,12984.00000,210846431
626489051,2645258420,4556.00000,21101870
2645258420,3165346015,2866.00000,14678253
3165346015,3474304321,6175.00000,40335681
3474304321,308669583,8403.00000,102202963
308669583,3495305429,13028.00000,144231591
3495305429,1181097009,15799.00000,197565400
1181097009,1573156051,1125.00000,51220906
1573156051,1659136387,13933.00000,245383302
1659136387,1513167223,12741.00000,174852546
1513167223,928548929,7327.00000,64150929
928548929,463314955,9725.00000,36742483
463314955,369485599,7748.00000,93465681
369485599,3644916902,4845.00000,24413072
3644916902,717727794,5123.00000,35859055
717727794,1708692197,10485.00000,26953300
1708692197,1578752101,6027.00000,77555230
1578752101,528730637,16274.00000,192809882
528730637,3489341617,15362.00000,222803920
3489341617,420223458,2512.00000,8680341
420223458,1255825351,6972.00000,53240941
1255825351,1213393900,2621.00000,4762801
1213393900,97878153,13052.00000,91974681
97878153,492563711,7454.00000,110062100
492563711,638770372,4628.00000,70303288
638770372,1122628697,8902.00000,46081209
1122628697,429966768,24396.00000,198029080
429966768,1026047297,7082.00000,25594682
1026047297,4694141591,5563.00000,65220070
4694141591,5403417405,873.00000,7181087
5403417405,3467073562,1192.00000,3129096
3467073562,1022919708,9810.00000,169323862
1022919708,523226233,6224.00000,92453045
523226233,2062877568,13934.00000,252248112
2062877568,322754971,18386.00000,92436875
322754971,1084953139,10319.00000,51952782
1084953139,392270446,8398.00000,48024649
392270446,1884166974,16464.00000,166715568
1884166974,4187282207,16793.00000,203530995
4187282207,1599630739,16327.00000,170082060
1599630739,26385769,1655.00000,28681338
26385769,1654879481,17066.00000,208111119
1654879481,279832520,11619.00000,61799543
279832520,1751822641,6872.00000,47573332
1751822641,1137710789,890.00000,2342812
1137710789,412540101,15840.00000,191151747
412540101,2284926589,1066.00000,8070697
2284926589,125526549,3455.00000,9941331
125526549,252634823,17913.00000,278681132
252634823,1806539479,6219.00000,12326854
1806539479,1561585898,9242.00000,123734902
1561585898,2916175160,3953.00000,22693394
2916175160,254157650,1194.00000,6566889
254157650,4929252245,10915.00000,120903821
4929252245,1131555622,15967.00000,250275854
1131555622,31405343,8611.00000,25410302
31405343,496033229,5470.00000,101611030
