Source,Target,Distance,ExecutionTime
4125266419,855425625,6177,00000,8431584
855425625,1782706873,7068,00000,3089042
1782706873,1127731223,8873,00000,2729250
1127731223,252293041,4863,00000,2234500
252293041,29216237,24892,00000,6046625
29216237,1137433796,17013,00000,4481291
1137433796,1166975206,8662,00000,2907709
1166975206,2405776324,6802,00000,2411166
2405776324,617754514,5642,00000,1700500
617754514,5274881566,26325,00000,1902875
5274881566,9786557,21108,00000,2215125
9786557,2126018087,15625,00000,3088333
2126018087,492916558,14901,00000,3593000
492916558,467076296,15775,00000,2880292
467076296,439721878,26938,00000,2033917
439721878,1176134420,25232,00000,1741333
1176134420,100111687,10238,00000,1369375
100111687,2908110349,23989,00000,2522542
2908110349,5070354611,13927,00000,1629792
5070354611,2394118073,11216,00000,1945625
2394118073,729646614,3376,00000,1024875
729646614,3948681573,10243,00000,1258167
3948681573,224490978,4620,00000,853375
224490978,1937256747,6054,00000,945458
1937256747,14834762,6322,00000,1099083
14834762,1832881678,9460,00000,1264167
1832881678,279736647,8713,00000,1095792
279736647,1363824299,11235,00000,1593625
1363824299,696552686,9660,00000,1306375
696552686,4554557269,8146,00000,1094666
4554557269,617740638,14270,00000,1991708
617740638,191839967,6766,00000,1647125
191839967,1272485201,5230,00000,1339833
1272485201,5276054258,4081,00000,1222125
5276054258,3203504842,2059,00000,937541
3203504842,4787710560,24917,00000,1960375
4787710560,624617676,5692,00000,940958
624617676,4718271120,5483,00000,1139125
4718271120,5352312956,7686,00000,1316542
5352312956,282580252,9791,00000,1508709
282580252,1197428623,20265,00000,2679625
1197428623,5382537851,2451,00000,661459
5382537851,412520361,18429,00000,1772834
412520361,4956887753,13646,00000,1446750
4956887753,2063617395,21531,00000,2289875
2063617395,276190063,6864,00000,1512625
276190063,271419851,1284,00000,728792
271419851,263442394,7440,00000,1327167
263442394,1938001610,16836,00000,1858708
1938001610,13094018,5182,00000,915500
13094018,4700027841,28739,00000,1979750
4700027841,2756121340,25700,00000,4818417
2756121340,1335944490,14509,00000,5113500
1335944490,2863387329,20122,00000,2985833
2863387329,2636043324,21197,00000,3043583
2636043324,297782727,5036,00000,2305792
297782727,252188821,9642,00000,3906958
252188821,360661019,13280,00000,36828375
360661019,2515578180,8504,00000,3214750
2515578180,2397779991,7266,00000,3139375
2397779991,5226088041,5003,00000,1522875
5226088041,34003702,3498,00000,1262667
34003702,294138224,23710,00000,2474084
294138224,1338610561,24691,00000,2118583
1338610561,370108468,10411,00000,1939375
370108468,3682763552,10084,00000,1491958
3682763552,283316386,6994,00000,1094792
283316386,251826795,2683,00000,519833
251826795,430725778,3248,00000,650666
430725778,3506002699,7434,00000,1082208
3506002699,1544054683,10513,00000,1039291
1544054683,3333111279,5714,00000,910792
3333111279,5361023395,6001,00000,1159959
5361023395,280548138,31122,00000,1671125
280548138,2298003562,4358,00000,668583
2298003562,2339690461,9447,00000,1002000
2339690461,303488655,21027,00000,1690292
303488655,3000882942,15001,00000,1611667
3000882942,1301903616,11092,00000,867125
1301903616,4458282736,2790,00000,412292
4458282736,1024729257,11050,00000,1148125
1024729257,1224789961,18345,00000,1600750
1224789961,3210049570,22472,00000,1388375
3210049570,2025504,25651,00000,1363083
2025504,70438713,26828,00000,1551458
70438713,278798572,17023,00000,1924250
278798572,1166002539,8695,00000,1276959
1166002539,1041691514,7197,00000,1883417
1041691514,2641834152,5260,00000,1858792
2641834152,330567531,8334,00000,2522250
330567531,1128415756,9896,00000,2299375
1128415756,3426867165,24904,00000,3442125
3426867165,4063996274,23137,00000,3483917
4063996274,1023919366,26146,00000,3768459
1023919366,608624844,33164,00000,3554125
608624844,279700111,8757,00000,2993584
279700111,472261352,21651,00000,3757916
472261352,11307086,17439,00000,3819375
11307086,1112074559,6067,00000,2454834
1112074559,2032370503,8452,00000,2793917
2032370503,1689511705,5457,00000,4194959
1689511705,310656734,2092,00000,2363083
310656734,2001154902,1688,00000,2082458
2001154902,3028174512,1408,00000,3457666
3028174512,294125144,24880,00000,4159500
294125144,254344787,4141,00000,8394833
254344787,294886196,1520,00000,4506292
294886196,1600888715,3429,00000,6716917
1600888715,367696105,3118,00000,6266917
367696105,1120309186,9738,00000,5854334
1120309186,656507907,17519,00000,5809375
656507907,256905774,16150,00000,7477459
256905774,456214695,13476,00000,6324542
456214695,1086576036,9102,00000,4619000
1086576036,1137710664,3249,00000,4792250
1137710664,2282092325,27163,00000,9038666
2282092325,5287948627,4611,00000,3302791
5287948627,429271591,26023,00000,5496791
429271591,527839289,8606,00000,3779250
527839289,2799531996,4498,00000,2554334
2799531996,700062023,5735,00000,34134542
700062023,1185690672,5155,00000,910458
1185690672,609055601,7810,00000,1308500
609055601,691524958,4169,00000,968875
691524958,365972083,18338,00000,2499166
365972083,2415308680,18668,00000,2023250
2415308680,353392824,8100,00000,1444750
353392824,2458411163,9169,00000,1389792
2458411163,1772699010,4710,00000,894834
1772699010,458321971,11896,00000,1526959
458321971,601098295,7972,00000,1369875
601098295,1470651784,21184,00000,1839666
1470651784,1351878067,5840,00000,1086709
1351878067,287506894,5074,00000,738750
287506894,8783316,10662,00000,1232292
8783316,292962909,21498,00000,1919167
292962909,2467608968,4791,00000,1137834
2467608968,3266931585,4183,00000,997167
3266931585,429271568,4245,00000,1857625
429271568,1861920905,6757,00000,1394333
1861920905,448539204,23884,00000,2358708
448539204,4313078171,24570,00000,1589875
4313078171,507114681,6212,00000,1152542
507114681,1588721793,4490,00000,1026208
1588721793,71679547,3495,00000,930375
71679547,2634524555,22541,00000,2725958
2634524555,2398384783,24068,00000,2387875
2398384783,288939568,25771,00000,2378375
288939568,282241374,25385,00000,2946000
282241374,4578292410,7231,00000,1430500
4578292410,2134241148,1259,00000,841000
2134241148,1096737333,5840,00000,1245250
1096737333,2285047249,8942,00000,1480500
2285047249,408735181,23567,00000,1872541
408735181,3039328579,26469,00000,1834291
3039328579,343689106,7509,00000,17824208
343689106,3167083962,8517,00000,17973417
3167083962,3720095248,1446,00000,501708
3720095248,2301769041,5107,00000,981666
2301769041,202874323,10438,00000,1402250
202874323,4127902424,4319,00000,813916
4127902424,1606529988,10650,00000,3918000
1606529988,252817417,10584,00000,3426417
252817417,2395964975,3015,00000,1102000
2395964975,624617750,8209,00000,6427500
624617750,670655366,9342,00000,1819708
670655366,1413293362,6200,00000,1046875
1413293362,250993990,3632,00000,937208
250993990,1302639668,7462,00000,1532417
1302639668,5214233836,4860,00000,825375
5214233836,277455911,8834,00000,1285875
277455911,84565792,6147,00000,2390750
84565792,2397780033,7791,00000,4014625
2397780033,3956257096,6690,00000,2978417
3956257096,4872201137,5634,00000,3100792
4872201137,602609973,4254,00000,2931666
602609973,10304363,7721,00000,3890417
10304363,288806459,23914,00000,4435208
288806459,4779694900,26886,00000,6976208
4779694900,870470108,19586,00000,6327916
870470108,1114083184,21977,00000,4192417
1114083184,706358805,3632,00000,2891292
706358805,189157822,7784,00000,4281375
189157822,292946716,5219,00000,1736875
292946716,4927537507,24847,00000,2335333
4927537507,1982609772,1444,00000,2042791
1982609772,1091549737,25212,00000,3625708
1091549737,1206053729,10659,00000,7518417
