Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,154073266
1546257281,434823252,2147.0,45572754
267184309,1781663358,12415.0,275518554
3811101651,2458486444,5650.0,116756087
3451626430,276297869,9539.0,305656982
1543287249,3336729700,6869.0,106554541
2061833914,4788404912,14053.0,258179690
489787766,124034956,7836.0,136937648
2513294458,3225461521,8275.0,60961146
1352357440,585141062,4783.0,95403962
2639493261,1546265385,5016.0,116125066
1128915247,1600769075,13653.0,394409704
2234623967,4959350573,5812.0,217839639
1202102552,10585469,3431.0,67101814
2070378942,293386718,4546.0,50559643
673967463,1191803807,7559.0,404880007
4614161115,1362141456,9471.0,433349299
5226973364,3677892321,7702.0,365685883
176804574,3406832301,9747.0,667667555
252607018,4788404870,17785.0,555978014
4214973570,282579904,14730.0,808114215
230116678,1224664912,15632.0,328235010
346151669,1119347412,19527.0,607101783
2255080841,305640334,4908.0,249529398
4898316076,717297640,8589.0,186664442
279828800,4930608321,8833.0,188523211
4284690038,1733022695,4652.0,94538586
998228669,1354668920,10290.0,100123082
29216252,1558444434,5933.0,89377440
391158197,1143831130,18074.0,344685896
659526822,582675787,10691.0,248306706
1427003400,1107413846,4684.0,45542306
4501624464,4016456050,5626.0,80260044
1194649612,2118367291,4401.0,107103625
278999724,4996064408,14617.0,194698857
277233241,369796112,4159.0,60127327
32995523,279379100,2827.0,28147986
516619041,1030113081,5070.0,133170041
3677937688,1200090663,18718.0,314227965
1996104380,570510,2466.0,44612088
460404159,2279444311,17646.0,293405262
2398541760,280298769,17314.0,294469195
2061407957,4569260147,3141.0,65473754
1120191919,1112063456,5096.0,77795266
4511983466,4214922821,5043.0,82912974
3294101323,3792052436,9799.0,223743867
1157358536,838854312,6528.0,64207727
5177748621,1475027480,2057.0,41199426
1125085549,268312171,19438.0,341994681
2811645422,1609396190,1410.0,9943335
2269880755,1292992575,3341.0,17096670
2356132075,25904783,1933.0,10716781
1609396479,2415181640,1552.0,22471763
486619219,367074328,9403.0,256591649
2983242334,410622357,20961.0,332107464
310603667,28200903,5906.0,94207785
8083322,1137559167,9858.0,256605741
302773483,317222032,12371.0,149090163
255934265,28847255,10482.0,257680478
103097022,452535451,16074.0,234315828
419731111,4785293320,3243.0,29784867
3234051795,2477017197,8639.0,210373704
3310153843,5334733108,4619.0,77113838
35328805,26526297,15844.0,264370723
4830461962,2043057363,6783.0,112890822
190830020,3569516716,5860.0,68029179
368006590,3102627851,14374.0,251536138
5200591277,288141753,14193.0,272602789
13094020,5295023738,17458.0,268894914
4890615836,3904554180,8576.0,223891552
1206054733,1914282979,8697.0,178067474
2477870264,3029867322,8860.0,101204566
313987205,1565967493,3680.0,47825863
292962791,321576928,8945.0,228902170
1804130034,1079319292,4217.0,34577389
5124611607,1222181443,5562.0,53830887
2411776994,4521955031,13546.0,141034842
332298228,2389483630,5481.0,120044914
793420,3631560614,5102.0,65107026
1624911093,591624500,13681.0,313760555
3225586754,4018444857,7106.0,182010660
189042738,392917369,4232.0,83567565
2647280615,2921631126,1459.0,15187701
1771792724,281962281,8143.0,98071649
1930247169,249538663,3631.0,25328897
1328815614,2228878076,13761.0,186092628
3258985645,2726662062,3301.0,77233419
2959936034,5321953251,19048.0,283694383
281408656,388571218,12943.0,212782154
1283667697,296199227,593.0,13740794
366862007,416431737,8087.0,208817628
1639728482,316993286,2999.0,33606895
1147201128,1584745913,9329.0,150892007
276244456,26653615,7957.0,139463926
281725402,1606666590,10827.0,263945586
1093669393,1756331379,12548.0,203494459
2041939911,4701921198,11079.0,124729195
305584528,320985323,11905.0,268286308
4881659199,435753301,20705.0,251739362
2463217814,279442631,1210.0,22653506
4731022816,1680714568,3622.0,38435684
1945633543,731257015,2708.0,9438687
419133361,2216067184,7273.0,140626984
5223021378,2619631050,15909.0,279170656
332560223,103047165,8834.0,99410486
1274099113,2522087815,12816.0,179166706
1583989919,3361469220,10306.0,154325626
2653207860,424439747,2938.0,17389046
311180904,299615518,2357.0,14632167
3210032339,1414522829,5336.0,43938756
1110720736,2411652050,2517.0,12548357
265576958,903099825,10867.0,175982329
2873218822,1168844002,3889.0,39439090
493488618,2612120174,7302.0,227429530
544555470,3625701945,14779.0,296943869
255711729,406352908,8831.0,208875345
3435618296,462213332,14000.0,287966273
2975068537,2764100942,6947.0,82146161
2085085828,1801885463,16520.0,274631639
1246360958,2895484805,6904.0,84090068
1125308102,286672340,19668.0,279670839
3077804357,494610228,8102.0,140142296
3481296304,1261815537,20201.0,299461323
1700615963,1271512984,14474.0,201486941
5401708457,1644351358,3027.0,49865369
457810941,4065647156,12091.0,244201653
1673514156,3397114154,2220.0,44992731
3413536555,4342473928,6505.0,94576447
1209250861,3217995753,15796.0,299900938
3443218046,1458117683,9837.0,244321963
1350230595,1277035854,408.0,11823557
1470647737,2519124584,14215.0,208690620
299133589,1829631762,13167.0,191972649
3312462044,293967846,15957.0,249881186
281169313,298885718,8296.0,153156156
95353035,1122174889,14423.0,223409100
1872650911,1351368482,3093.0,20758296
1151618177,4779694909,13847.0,209528242
278225317,370117926,11862.0,113805727
251739293,4477615197,8753.0,116708039
476035462,279833129,7740.0,181220240
149198752,1179448131,3502.0,43889666
1148157814,1261820700,9210.0,242708212
71531338,3157675722,8179.0,214821280
2293078675,1129367897,10363.0,166675627
3715981005,310130087,7548.0,56648527
290376650,149125321,4542.0,52939367
1103228210,544839251,8420.0,183323568
3930386983,1143810245,13787.0,165031558
281721745,3827129775,9186.0,291269292
282053014,1390302596,8278.0,221218145
3898553822,903995673,3062.0,26414016
2415181666,1969772245,10232.0,275330552
468483652,386186264,7436.0,184373935
1406258887,3180507682,5469.0,114222642
4501698865,583229865,18665.0,291780234
1025391856,1780477335,8322.0,201837236
2378833349,1019149819,13900.0,204337457
31453079,4955587559,14439.0,137859001
8139777,1289477772,3189.0,63922393
1580435172,397026142,1139.0,25794477
2860078045,282951749,7852.0,111878575
2621995322,1519082099,14152.0,191848488
2661294772,4310039903,16958.0,352315838
1385273293,2290133944,5064.0,18061085
301641673,31229219,22985.0,318580120
3393835383,128653321,679.0,6928927
4123878558,4124581871,9518.0,252201603
898733546,2061910329,10372.0,228929623
3509611458,1205836825,5362.0,34443333
34570609,1298230350,2056.0,19519312
2715150654,2598009428,16170.0,238305256
5191922112,1126934806,10576.0,294422146
4073248790,1225797283,12084.0,303968919
3294756499,437139774,2554.0,30628793
469630931,1741873264,17463.0,232829039
441141806,1650921346,9481.0,262506701
461981061,1278576926,10737.0,220769416
250632577,409552776,18806.0,322235800
2472182776,305114210,6271.0,149279269
276190071,1584003327,6182.0,96826771
1104839361,3413673353,16804.0,253046178
287717013,493665600,10660.0,111996236
748870332,1117387803,12587.0,171031194
95211962,638770343,6989.0,111653313
1606529941,3463729030,1747.0,4259024
244976213,576931255,19039.0,279219334
1015158307,3201583758,1700.0,14463877
535622086,3278925502,8460.0,50824495
2814299800,416620353,7292.0,73234145
4618201463,295340274,3182.0,48336337
1191832168,112642274,19563.0,249976876
281935579,2552650375,7449.0,194552301
5164854753,297149643,16559.0,322036030
2859387755,1183409055,10906.0,174711688
321343935,1681745525,14955.0,262544780
403797109,295078105,12263.0,312740225
2332713463,891107007,14788.0,204236292
1327822381,30362597,14620.0,318823905
2418712900,2351968151,14154.0,220198435
4073665780,1558645701,17774.0,241065254
3043031712,1018899268,6592.0,168553445
14091164,2297598528,13446.0,190912378
576904,269778082,13376.0,155559625
1211228270,446104215,19530.0,296691763
413203784,1575521041,3821.0,57359244
85737284,484295260,4056.0,75764909
1584003505,656632827,10845.0,230641488
538493973,2281083122,8785.0,67030887
1132215611,346151663,9646.0,113352038
410724233,280547990,7800.0,214859054
1155147368,1107589223,17751.0,236468728
1570665337,4377735346,3426.0,52671512
279715308,1448321816,8226.0,186112873
3994215479,369742958,10491.0,211554354
281408219,1256489625,15207.0,242626350
1835327423,1387113804,8799.0,190692116
1137710769,3468114008,5288.0,92330976
1607360477,137564345,12925.0,203903728
4832225057,85784696,1605.0,11192670
1807671066,1151212142,8871.0,130915220
29216318,202398963,4308.0,45764356
1117132781,506274579,10526.0,169742413
301054797,371654240,3255.0,28948112
617759311,1092508168,14793.0,251256304
417755335,2351252890,3258.0,32055776
1219137520,1689053089,12550.0,265990956
3334820249,418193164,12371.0,109359420
2484629546,1096799845,17245.0,245794052
301894697,1707287994,13297.0,322821727
451765430,1409847588,5417.0,114461679
413711853,391012544,3743.0,42181606
382975135,2059672584,6353.0,132033006
2404517076,35506998,3614.0,29718464
1195414320,1495420944,12517.0,185485431
1778061802,4557785856,4898.0,64309678
1920814309,5272747373,8049.0,166548613
5070402434,1106766435,19101.0,279190549
4460304584,252102329,12805.0,207879978
610821382,1519670415,11904.0,299826764
2466998480,450156072,17090.0,251145018
274845620,1130852488,9041.0,216888703
1411315235,325650022,1422.0,15966031
4383620878,15043535,6794.0,130075388
30560472,82653804,8895.0,90938591
288475383,732923704,7916.0,107327605
2526509845,810647792,10396.0,105053164
1105871856,118637,6031.0,86227467
255551440,2612306080,6491.0,146709413
1034081756,433569935,16479.0,189468168
1100557624,1086955678,8220.0,127444985
2361999792,270379993,7222.0,151853102
4496967364,3189842592,6804.0,156923154
292201958,2669116186,15193.0,166632867
1708068,1362171126,7596.0,82704736
582201328,2516084391,1931.0,13759206
661326785,32036801,6850.0,126208160
2571175502,2844893748,3906.0,28954061
199128511,1581576145,9394.0,157827082
5368667223,1278029332,11015.0,215271456
1510041575,280452768,5910.0,116723999
5214232819,282697795,3214.0,45953158
5154017405,3953541056,2803.0,36718330
3724806164,1568204100,7401.0,131393948
413221600,1022394490,7554.0,170273621
516555815,472165124,2499.0,20920400
265506908,5224382093,11798.0,126205189
248208331,427739662,6656.0,116424223
289471672,454345910,8858.0,181185198
3031573626,490368895,8569.0,106188842
302138622,1688734476,18054.0,230383232
313736782,5226184018,6977.0,103459569
4729711178,1234072593,14991.0,235587923
29223781,2399162266,5565.0,45996097
4202713309,769353154,11842.0,156818015
251077098,255564964,4838.0,81880475
1582223290,444812588,6276.0,140761022
1144467590,490369608,7968.0,61545709
771802153,2236793662,19886.0,333691096
5073979880,279387129,21758.0,280929250
1585543077,130578348,8278.0,169930269
1879436557,3262418197,1380.0,14878354
32554661,281382597,15920.0,237846498
1409868664,268692496,3322.0,32130194
277840690,2951515353,3508.0,41711597
3687324620,1153184072,18364.0,233313812
1666871023,3114668061,10020.0,112314964
253689152,29785590,5569.0,111188532
429227076,30434824,18057.0,279172259
469735897,1128416479,1298.0,5613027
3898674441,1015430936,4149.0,61772255
3851786577,2774119019,13973.0,298788175
249580755,3395175963,18824.0,224168252
5236136127,485998421,5442.0,92399528
880403880,1609106990,8688.0,132973655
2459452633,454388027,7778.0,169019406
280229208,4100779851,9024.0,225006954
676494,312292088,14341.0,194836725
3790514959,4279772469,20384.0,248069487
4931040315,1974448227,7485.0,154341048
1239505036,2398201980,12732.0,191513547
538089627,438048726,753.0,3320922
298885398,3628500819,14888.0,273406371
2463834095,281444035,2566.0,19916978
292019457,4195690412,9854.0,227150352
322106708,1128131129,6040.0,67070691
290650157,846225429,13159.0,200401882
2396317298,1242178307,18640.0,268923509
2788796880,488224038,5818.0,76201404
3946726705,366687860,18066.0,294039969
1030525493,701378,3046.0,46102636
2423037883,27221441,15065.0,318064209
3235286393,2817897669,2093.0,8962036
3319989025,189059496,8349.0,125629942
420351192,4747501960,8935.0,169224490
2281818822,5333945037,16877.0,204668196
1016920391,399769584,5993.0,129064627
1089226063,1707108148,7073.0,166903390
2041861471,17177667,3929.0,55216419
339346681,2458113434,20685.0,284124383
281896662,1150687812,14283.0,298463445
2467608956,5008872801,14940.0,227909963
4986627983,13094020,12164.0,242437870
75620278,3561184761,3909.0,78635717
31233830,4422934897,17778.0,223665852
295975039,4497111770,13018.0,145845267
430206004,310148328,8304.0,201708507
3810408201,1108851312,9302.0,210048219
2486635466,299614913,6763.0,93733897
842544471,2955914365,7255.0,183867885
1571179191,3281200471,6173.0,74124064
97981448,2377765218,8761.0,137269423
25931530,2590770562,2274.0,36992901
1357409952,2571442940,2631.0,39230830
4196734180,1533759277,16472.0,205682855
282025011,3635089398,12804.0,235221095
123941452,2859442256,7817.0,204405885
1027101304,3789570067,1505.0,18034250
1200566219,21455839,1861.0,5959445
320919419,1082367884,13300.0,238490298
440893230,431244599,16852.0,277512188
33981912,1617620554,5208.0,31695973
3422950801,2966746265,7380.0,95991253
392711543,412776202,14248.0,180988509
278493083,3961885572,14274.0,198398419
1441030561,29511745,19241.0,279701449
256743403,5049805257,3326.0,45190126
671553316,265711039,8268.0,137658359
1775842797,4703998180,4229.0,29620428
76812875,435046199,5912.0,74260235
1272422907,340351899,7394.0,97204009
685791349,437139795,7307.0,96671696
2612120388,1135357052,8383.0,207801073
1748677975,2720470858,10968.0,245112721
474614065,4434857607,6669.0,100373342
4788446830,2694607670,9848.0,113117687
17207416,280454760,9956.0,98577562
333178234,3165059907,1668.0,3862940
2515257115,1168499833,21756.0,288846006
4906190688,571345585,3546.0,63181839
4515980738,444812588,6607.0,86909792
1163376918,3220472180,4338.0,38845664
1596241652,898746828,3973.0,68527339
373277883,3036890817,1400.0,25488256
1619530753,280441134,9732.0,98913050
386922629,1306829650,11383.0,99134253
1292990284,1308260762,17247.0,246988260
1610599035,2298175733,10887.0,230479003
471531790,4190114695,10480.0,216069419
4467801742,4476548635,18372.0,296327486
2338495084,2094436775,2946.0,44404591
2486377545,1581590814,6748.0,97036730
670672835,1161586420,7162.0,88995935
4900329701,1745726,1421.0,15800575
3900264292,4421004196,7454.0,199290925
674686233,4033761567,14695.0,262300672
5056697612,1588454513,6197.0,40520455
1945673310,1791264948,16324.0,200635912
273922652,115061285,9441.0,232677905
243328801,1239505077,4116.0,22823770
49552524,2123635896,4400.0,50064775
2260687249,1232919521,7169.0,153251240
634580509,1105536679,22193.0,302281841
2338494986,5075084430,10804.0,122626716
4929376825,392389048,10595.0,281595380
360752543,288872634,8254.0,108777983
251757322,668473900,6531.0,141198281
595369814,2297598848,1465.0,3155447
3463286660,1088413247,9600.0,174369580
1083465072,3449453443,8660.0,149997522
3098343003,266206857,5071.0,66938288
4963145560,1367095409,8272.0,207587592
1369553064,427756130,3408.0,65586116
618598358,249401915,8079.0,187650198
5253619270,2252084133,4390.0,98044120
2409929290,68372570,3434.0,52123450
1577249926,4519794192,4582.0,72300324
2497583180,1570136131,17163.0,296006803
268817738,2477017100,5020.0,92520689
4319692210,3132017890,13333.0,207019151
3964767578,1820951371,14853.0,231731584
1829481173,1200521844,3179.0,45431066
3116356426,332493423,8050.0,168588128
560010913,224380807,6785.0,137097398
340351879,1119624020,10521.0,196350400
820447551,1282929801,15914.0,190146703
427907234,1809310803,10215.0,203320624
942385,523162062,16708.0,218004192
1688757080,3171097013,13098.0,182751610
4898087251,1119638469,12865.0,218774357
4998188446,2506590509,8396.0,80553818
1607335899,94049654,12669.0,272884868
2513068976,3367894560,3248.0,29240706
3829796539,1600385586,16640.0,273641937
1079319055,4466258686,7160.0,200131587
3017793636,2501560212,6821.0,155866716
619526850,409618916,7619.0,172442643
3636076595,1456233669,5765.0,56948833
2619837443,2159724434,10631.0,138758626
1609821256,310655056,13074.0,198186263
2586474378,1301780425,4020.0,24982458
5250418294,1314392315,3328.0,60209845
267039598,3372915220,9533.0,239161941
2410758991,561370470,4037.0,38903996
2681232085,3019027329,4364.0,88828549
1333553276,1079046539,4623.0,110936328
3679856935,1770710360,14760.0,245175930
3158423039,372798261,10884.0,192472462
2241552128,1269703243,5360.0,42268459
1769685012,2214656350,5334.0,87304998
279736657,1814913814,8176.0,180790660
3716773196,1027101365,3978.0,62358011
4195690597,687454934,5954.0,86168017
4737100327,30789823,4527.0,104473202
4187191964,1091395685,6552.0,46186819
1096563846,4150508905,2226.0,9962142
3374409702,1188042453,10607.0,205723000
422669646,4487777989,11955.0,221929285
3280610609,387537785,4370.0,92314017
271333697,241379972,12597.0,303261663
3905350627,5072352530,3191.0,40209525
4554528999,281407276,15177.0,252082859
2512162014,5401798456,14456.0,275397067
29594613,370118246,13266.0,124379664
1555894356,290623229,7018.0,167337502
2035467192,343473028,14886.0,260404001
7307540,107917843,9772.0,100913347
262137516,174086916,5292.0,180713033
1990775015,334367987,8057.0,111187554
1580190898,1105109854,7326.0,182268555
3188259702,2817821559,8458.0,84771969
255164446,514367768,16462.0,207482227
2456155587,3723447683,9974.0,108225282
4121823461,263368787,9378.0,137349422
1607795051,1179390971,7183.0,122457555
595655346,3703204086,8804.0,107308159
2351510806,256513238,3967.0,53651769
343065562,5345111029,15465.0,245230558
504923087,1809310602,14443.0,258154262
2079645370,286837664,4837.0,49128821
1164548674,118681,6042.0,70062733
31466444,489395752,13647.0,149460178
290646041,1223205583,11319.0,171392175
3713815423,289472782,16102.0,265885791
274754774,2353730637,11079.0,289978749
5222515821,4888225950,14303.0,221940041
2569498154,1530283373,12664.0,157048637
1089199074,315856394,7014.0,107545064
296306719,2520774455,16896.0,229092648
262498290,1728860700,2578.0,19568476
4847380519,276218784,18185.0,236718979
4421133546,3182489381,6221.0,91264546
26981769,285935802,14164.0,119622695
34024018,300655066,14931.0,196919212
1402895712,29972683,18461.0,291997896
3294255436,321346434,3510.0,19752487
1680714646,3163713024,12357.0,129377932
523233414,1934780077,17143.0,294757030
4119499674,3062567770,15292.0,218903787
2883498579,488536284,11732.0,370180507
2838661501,1226052433,18153.0,295661433
4298052645,850481584,4360.0,96062132
1095206923,4135067909,3327.0,41386872
313927245,1091561298,5024.0,126103465
2661457931,1298917185,10542.0,359682942
1282837337,776256575,4809.0,108913139
1309645145,3221834449,3398.0,70312835
1336473631,1283421236,13403.0,186323903
1792376903,305722766,12874.0,155381632
2807569839,4955450740,12350.0,257076130
1221739035,4252220390,2452.0,23335775
1509547520,490368898,8936.0,119042902
3619147663,3731432818,9809.0,209172201
1187290301,1082241389,14984.0,308572582
1068964678,3398112272,12118.0,335531975
3470915871,268084396,10223.0,217145519
347648645,346151386,18676.0,248708302
4202690792,4379628043,13877.0,232457684
4928982759,1100516400,9326.0,301512135
4157728697,344968584,15112.0,299097868
403797192,577473976,12210.0,310402420
388404246,1835327410,3296.0,49271994
2394747794,1494170048,4908.0,135080502
4428983829,3905350951,208.0,2252120
458321925,391518967,9820.0,251791769
117541,764357628,2716.0,62719459
313316505,4580849623,84.0,1709338
4593241775,4605370229,9870.0,154122011
697768451,2007116619,14190.0,392200840
3396544685,1099073474,12408.0,245966122
3100081622,1016074974,7184.0,123001911
3228768948,655152112,8127.0,166012581
1351401724,1247506935,18024.0,328306500
5351682512,3208306627,9237.0,131210540
342267684,2293330946,8925.0,288773166
1081999385,368181446,4832.0,43287129
1137507997,2441404777,6772.0,201286716
294243140,3187668865,4256.0,25397172
399754720,3791180347,3356.0,36321958
1937180391,252109031,10276.0,278443197
3476471806,310749332,16531.0,320998954
3631896639,275916839,5388.0,101279421
1583260503,2329900539,15631.0,278154193
5270159244,3126234144,12431.0,192189150
1099806291,310148333,11323.0,191888350
296341941,1350416938,21773.0,287876882
1788362304,30434785,14989.0,306581159
1601689439,1103792580,16048.0,303824293
1290806789,1218060180,4640.0,70513742
2237273194,281393687,14247.0,158996118
4153219063,791242323,7234.0,114751572
1015131550,1089039806,20271.0,328897960
122743571,436068789,13100.0,157445393
247475188,2501756764,4995.0,142817776
1693237779,2450674436,14777.0,238385373
4929281168,371446275,5883.0,75160878
4927485419,3900163928,8653.0,92919045
3304986653,266165296,2881.0,16520364
33153466,583691822,3574.0,19764108
244976293,295264780,22137.0,279065214
4906190711,3305459118,5779.0,149000369
4154186303,430653986,10844.0,123258969
4896086481,1673514158,14478.0,236967259
1255825274,357383082,5534.0,78430959
1159815999,269893353,8179.0,144468997
1081965294,3404577758,7955.0,128385407
442563997,2915637669,1130.0,19417552
3776243629,3256192158,5092.0,67013736
1785194132,370117542,14004.0,202292947
403412382,4777035212,17253.0,292401136
4569433042,107876267,10020.0,201907848
506742651,1127786643,7631.0,139625327
276257649,534648187,1417.0,17511607
3163887365,356243000,6353.0,144756724
1300151882,1278472287,10197.0,98236548
2460900030,410647092,6444.0,63019592
415896608,333179155,4478.0,85393296
1253115644,3436893346,4566.0,71601581
2908120214,286514091,13887.0,267997105
1349396108,1829744808,14377.0,196909787
339249565,412125339,18935.0,286626229
479251723,1099035503,12443.0,220416447
1559838266,318239704,6652.0,171150083
294153058,118721,8766.0,219810394
4374885861,1097821119,9526.0,158235835
596274047,2612120169,7872.0,108117130
1977133176,3578263651,14594.0,335345413
1825480555,4206136863,6179.0,63483573
2162430263,3227225096,14834.0,218775586
1861876313,774061978,4491.0,99012075
4798053061,265847052,7089.0,144331002
1312989181,1225835427,14000.0,181587792
367689316,308208596,15316.0,292703909
2616222693,203127108,8909.0,158024150
1893903953,821921484,8699.0,127282006
1326216590,2104742220,1348.0,12707698
2589609259,32343803,21535.0,264788327
1472245949,56526085,8519.0,203070999
1165267280,5219516992,10262.0,141231347
307531340,1134277830,11418.0,205439066
340836525,722263,7082.0,89153751
