Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,178129981
1546257281,434823252,2147.0,35739925
267184309,1781663358,12415.0,336651072
3811101651,2458486444,5650.0,56879841
3451626430,276297869,9539.0,266410356
1543287249,3336729700,6869.0,96155758
2061833914,4788404912,14053.0,338423706
489787766,124034956,7836.0,133213665
2513294458,3225461521,8275.0,82906249
1352357440,585141062,4783.0,93468954
2639493261,1546265385,5016.0,49162156
1128915247,1600769075,13653.0,306880692
2234623967,4959350573,5812.0,56391982
1202102552,10585469,3431.0,23343475
2070378942,293386718,4546.0,72198172
673967463,1191803807,7559.0,98549634
4614161115,1362141456,9471.0,115574720
5226973364,3677892321,7702.0,140787114
176804574,3406832301,9747.0,134341039
252607018,4788404870,17785.0,305959983
4214973570,282579904,14730.0,269466366
230116678,1224664912,15632.0,280321105
346151669,1119347412,19527.0,270229105
2255080841,305640334,4908.0,55931445
4898316076,717297640,8589.0,98518907
279828800,4930608321,8833.0,119446698
4284690038,1733022695,4652.0,45046537
998228669,1354668920,10290.0,104625744
29216252,1558444434,5933.0,32814604
391158197,1143831130,18074.0,286597754
659526822,582675787,10691.0,239140536
1427003400,1107413846,4684.0,28490517
4501624464,4016456050,5626.0,61191985
1194649612,2118367291,4401.0,33065717
278999724,4996064408,14617.0,313041772
277233241,369796112,4159.0,15595597
32995523,279379100,2827.0,15195296
516619041,1030113081,5070.0,66481451
3677937688,1200090663,18718.0,248113413
1996104380,570510,2466.0,46489427
460404159,2279444311,17646.0,286746650
2398541760,280298769,17314.0,273743613
2061407957,4569260147,3141.0,31289834
1120191919,1112063456,5096.0,18223948
4511983466,4214922821,5043.0,57196442
3294101323,3792052436,9799.0,145992197
1157358536,838854312,6528.0,79004070
5177748621,1475027480,2057.0,7193910
1125085549,268312171,19438.0,249984572
2811645422,1609396190,1410.0,16537487
2269880755,1292992575,3341.0,8255299
2356132075,25904783,1933.0,9005937
1609396479,2415181640,1552.0,10760544
486619219,367074328,9403.0,148692033
2983242334,410622357,20961.0,281180837
310603667,28200903,5906.0,65290679
8083322,1137559167,9858.0,112524033
302773483,317222032,12371.0,248248413
255934265,28847255,10482.0,59354780
103097022,452535451,16074.0,272968694
419731111,4785293320,3243.0,38830590
3234051795,2477017197,8639.0,86039563
3310153843,5334733108,4619.0,36959626
35328805,26526297,15844.0,232663517
4830461962,2043057363,6783.0,115755113
190830020,3569516716,5860.0,72123023
368006590,3102627851,14374.0,274164680
5200591277,288141753,14193.0,298891267
13094020,5295023738,17458.0,277071628
4890615836,3904554180,8576.0,163690033
1206054733,1914282979,8697.0,63114018
2477870264,3029867322,8860.0,129822814
313987205,1565967493,3680.0,15776338
292962791,321576928,8945.0,123221294
1804130034,1079319292,4217.0,72663326
5124611607,1222181443,5562.0,64574682
2411776994,4521955031,13546.0,233680560
332298228,2389483630,5481.0,55464135
793420,3631560614,5102.0,53492153
1624911093,591624500,13681.0,297429513
3225586754,4018444857,7106.0,126048288
189042738,392917369,4232.0,36237192
2647280615,2921631126,1459.0,21025240
1771792724,281962281,8143.0,75394628
1930247169,249538663,3631.0,25522259
1328815614,2228878076,13761.0,268556867
3258985645,2726662062,3301.0,30568166
2959936034,5321953251,19048.0,277732626
281408656,388571218,12943.0,270587591
1283667697,296199227,593.0,12539559
366862007,416431737,8087.0,83621418
1639728482,316993286,2999.0,23869022
1147201128,1584745913,9329.0,59858059
276244456,26653615,7957.0,110235424
281725402,1606666590,10827.0,191135570
1093669393,1756331379,12548.0,259454764
2041939911,4701921198,11079.0,203995848
305584528,320985323,11905.0,253143439
4881659199,435753301,20705.0,264023932
2463217814,279442631,1210.0,15429538
4731022816,1680714568,3622.0,24794962
1945633543,731257015,2708.0,20591057
419133361,2216067184,7273.0,61697649
5223021378,2619631050,15909.0,260480336
332560223,103047165,8834.0,177903625
1274099113,2522087815,12816.0,215196625
1583989919,3361469220,10306.0,112799291
2653207860,424439747,2938.0,8107136
311180904,299615518,2357.0,9035130
3210032339,1414522829,5336.0,33269035
1110720736,2411652050,2517.0,14558135
265576958,903099825,10867.0,75734020
2873218822,1168844002,3889.0,25748887
493488618,2612120174,7302.0,138585878
544555470,3625701945,14779.0,347958441
255711729,406352908,8831.0,121321049
3435618296,462213332,14000.0,306039487
2975068537,2764100942,6947.0,58246789
2085085828,1801885463,16520.0,304807327
1246360958,2895484805,6904.0,73394749
1125308102,286672340,19668.0,303347148
3077804357,494610228,8102.0,116863851
3481296304,1261815537,20201.0,271207116
1700615963,1271512984,14474.0,306585396
5401708457,1644351358,3027.0,31470534
457810941,4065647156,12091.0,247134103
1673514156,3397114154,2220.0,23276262
3413536555,4342473928,6505.0,93417126
1209250861,3217995753,15796.0,285654153
3443218046,1458117683,9837.0,151586925
1350230595,1277035854,408.0,5661792
1470647737,2519124584,14215.0,306739118
299133589,1829631762,13167.0,285176490
3312462044,293967846,15957.0,268659149
281169313,298885718,8296.0,95190492
95353035,1122174889,14423.0,319844716
1872650911,1351368482,3093.0,26312286
1151618177,4779694909,13847.0,296724569
278225317,370117926,11862.0,147253960
251739293,4477615197,8753.0,89936802
476035462,279833129,7740.0,95640553
149198752,1179448131,3502.0,28183685
1148157814,1261820700,9210.0,153588746
71531338,3157675722,8179.0,92044589
2293078675,1129367897,10363.0,270965601
3715981005,310130087,7548.0,85645133
290376650,149125321,4542.0,55955733
1103228210,544839251,8420.0,92619575
3930386983,1143810245,13787.0,274036256
281721745,3827129775,9186.0,98374139
282053014,1390302596,8278.0,113590849
3898553822,903995673,3062.0,17634846
2415181666,1969772245,10232.0,137114420
468483652,386186264,7436.0,100798830
1406258887,3180507682,5469.0,55321853
4501698865,583229865,18665.0,310094843
1025391856,1780477335,8322.0,119253534
2378833349,1019149819,13900.0,289976726
31453079,4955587559,14439.0,301839171
8139777,1289477772,3189.0,43500460
1580435172,397026142,1139.0,16324601
2860078045,282951749,7852.0,129758637
2621995322,1519082099,14152.0,281829726
2661294772,4310039903,16958.0,264014332
1385273293,2290133944,5064.0,27433740
301641673,31229219,22985.0,315484203
3393835383,128653321,679.0,6399932
4123878558,4124581871,9518.0,165682080
898733546,2061910329,10372.0,182831751
3509611458,1205836825,5362.0,24616773
34570609,1298230350,2056.0,9819179
2715150654,2598009428,16170.0,326213488
5191922112,1126934806,10576.0,166949740
4073248790,1225797283,12084.0,99119744
3294756499,437139774,2554.0,21208003
469630931,1741873264,17463.0,330787365
441141806,1650921346,9481.0,160832875
461981061,1278576926,10737.0,99952612
250632577,409552776,18806.0,285843914
2472182776,305114210,6271.0,99610721
276190071,1584003327,6182.0,102062692
1104839361,3413673353,16804.0,277131994
287717013,493665600,10660.0,110359239
748870332,1117387803,12587.0,192091921
95211962,638770343,6989.0,111481321
1606529941,3463729030,1747.0,5396304
244976213,576931255,19039.0,246983687
1015158307,3201583758,1700.0,9446491
535622086,3278925502,8460.0,40235305
2814299800,416620353,7292.0,116213777
4618201463,295340274,3182.0,45019363
1191832168,112642274,19563.0,250084074
281935579,2552650375,7449.0,105948602
5164854753,297149643,16559.0,179808315
2859387755,1183409055,10906.0,149189524
321343935,1681745525,14955.0,206383000
403797109,295078105,12263.0,255120620
2332713463,891107007,14788.0,310259000
1327822381,30362597,14620.0,239440083
2418712900,2351968151,14154.0,296910431
4073665780,1558645701,17774.0,363120938
3043031712,1018899268,6592.0,101546062
14091164,2297598528,13446.0,205266555
576904,269778082,13376.0,301670659
1211228270,446104215,19530.0,269271074
413203784,1575521041,3821.0,29671084
85737284,484295260,4056.0,49583796
1584003505,656632827,10845.0,254034642
538493973,2281083122,8785.0,52650960
1132215611,346151663,9646.0,79784924
410724233,280547990,7800.0,114151102
1155147368,1107589223,17751.0,239632502
1570665337,4377735346,3426.0,34700643
279715308,1448321816,8226.0,73144570
3994215479,369742958,10491.0,186735957
281408219,1256489625,15207.0,329203446
1835327423,1387113804,8799.0,119287581
1137710769,3468114008,5288.0,47207637
1607360477,137564345,12925.0,99763349
4832225057,85784696,1605.0,25003664
1807671066,1151212142,8871.0,177760251
29216318,202398963,4308.0,51673545
1117132781,506274579,10526.0,134014143
301054797,371654240,3255.0,22299241
617759311,1092508168,14793.0,334622107
417755335,2351252890,3258.0,40808376
1219137520,1689053089,12550.0,293799298
3334820249,418193164,12371.0,290299977
2484629546,1096799845,17245.0,301587588
301894697,1707287994,13297.0,172394024
451765430,1409847588,5417.0,72627597
413711853,391012544,3743.0,22908773
382975135,2059672584,6353.0,76677786
2404517076,35506998,3614.0,46332805
1195414320,1495420944,12517.0,288609929
1778061802,4557785856,4898.0,48012225
1920814309,5272747373,8049.0,108487740
5070402434,1106766435,19101.0,298950998
4460304584,252102329,12805.0,298242324
610821382,1519670415,11904.0,130346230
2466998480,450156072,17090.0,251054808
274845620,1130852488,9041.0,144356263
1411315235,325650022,1422.0,10421053
4383620878,15043535,6794.0,92682035
30560472,82653804,8895.0,151321960
