Source,Target,Distance,ExecutionTime
4125266419,855425625,5980.00000,7409785
855425625,1782706873,6862.00000,7052372
1782706873,1127731223,8873.00000,3418757
1127731223,252293041,5082.00000,3135092
252293041,29216237,15186.00000,4486365
29216237,1137433796,18230.00000,4877248
1137433796,1166975206,8637.00000,3782266
1166975206,2405776324,7199.00000,36384766
2405776324,617754514,5415.00000,6585094
617754514,5274881566,15444.00000,5806048
5274881566,9786557,13264.00000,4877269
9786557,2126018087,12097.00000,5665241
2126018087,492916558,11373.00000,4775275
492916558,467076296,18639.00000,4750928
467076296,439721878,20939.00000,4390102
439721878,1176134420,19477.00000,3840107
1176134420,100111687,8799.00000,3351129
100111687,2908110349,16711.00000,5071267
2908110349,5070354611,9210.00000,4082879
5070354611,2394118073,10037.00000,4676377
2394118073,729646614,3448.00000,2996294
729646614,3948681573,10245.00000,4333585
3948681573,224490978,4136.00000,2573200
224490978,1937256747,6528.00000,3697606
1937256747,14834762,6167.00000,2962250
14834762,1832881678,9461.00000,3865365
1832881678,279736647,9241.00000,3633335
279736647,1363824299,11253.00000,4698629
1363824299,696552686,7499.00000,4043604
696552686,4554557269,7560.00000,4118017
4554557269,617740638,10696.00000,3605933
617740638,191839967,5531.00000,3831221
191839967,1272485201,5063.00000,4433990
1272485201,5276054258,3989.00000,4079532
5276054258,3203504842,2015.00000,3474583
3203504842,4787710560,16834.00000,5877999
4787710560,624617676,7179.00000,10497538
624617676,4718271120,8201.00000,13913417
4718271120,5352312956,7646.00000,11959240
5352312956,282580252,10478.00000,13843227
282580252,1197428623,15019.00000,11190396
1197428623,5382537851,3481.00000,16719111
5382537851,412520361,17642.00000,4461327
412520361,4956887753,10721.00000,3807956
4956887753,2063617395,12701.00000,10849920
2063617395,276190063,6613.00000,10991471
276190063,271419851,1274.00000,11857402
271419851,263442394,8338.00000,13669478
263442394,1938001610,10269.00000,12502936
1938001610,13094018,4303.00000,11398351
13094018,4700027841,18774.00000,12428679
4700027841,2756121340,19119.00000,59538007
2756121340,1335944490,16329.00000,6180425
1335944490,2863387329,16893.00000,7675225
2863387329,2636043324,18305.00000,6017833
2636043324,297782727,5084.00000,5200421
297782727,252188821,10588.00000,6424674
252188821,360661019,13227.00000,5292357
360661019,2515578180,7035.00000,6019131
2515578180,2397779991,7183.00000,20889510
2397779991,5226088041,5019.00000,5215290
5226088041,34003702,3177.00000,3480684
34003702,294138224,14097.00000,5734969
294138224,1338610561,16452.00000,6882160
1338610561,370108468,9428.00000,5083580
370108468,3682763552,10112.00000,4299680
3682763552,283316386,7767.00000,4883506
283316386,251826795,2683.00000,3090302
251826795,430725778,6058.00000,4805152
430725778,3506002699,7780.00000,5268436
3506002699,1544054683,10510.00000,5484933
1544054683,3333111279,5568.00000,4409760
3333111279,5361023395,5807.00000,5459675
5361023395,280548138,20228.00000,6859709
280548138,2298003562,3423.00000,3600452
2298003562,2339690461,8964.00000,4723564
2339690461,303488655,13698.00000,4914290
303488655,3000882942,11491.00000,7463893
3000882942,1301903616,10646.00000,5146560
1301903616,4458282736,14397.00000,6284784
4458282736,1024729257,10005.00000,5984873
1024729257,1224789961,16423.00000,6331522
1224789961,3210049570,12677.00000,7128808
3210049570,2025504,17150.00000,7975075
2025504,70438713,17710.00000,10603390
70438713,278798572,14978.00000,4931071
278798572,1166002539,10855.00000,5784272
1166002539,1041691514,7151.00000,9409378
1041691514,2641834152,5967.00000,53759021
2641834152,330567531,8334.00000,21299945
330567531,1128415756,9138.00000,12772362
1128415756,3426867165,16707.00000,13528683
3426867165,4063996274,16142.00000,67578962
4063996274,1023919366,18028.00000,7362862
1023919366,608624844,22218.00000,6592939
608624844,279700111,10472.00000,5082268
279700111,472261352,16457.00000,6043400
472261352,11307086,14210.00000,5398759
11307086,1112074559,6061.00000,3585714
1112074559,2032370503,8677.00000,3477899
2032370503,1689511705,5479.00000,3723345
1689511705,310656734,2166.00000,3528556
310656734,2001154902,1661.00000,3622384
2001154902,3028174512,1384.00000,3558222
3028174512,294125144,15723.00000,6202507
294125144,254344787,4141.00000,4380960
254344787,294886196,3242.00000,8566500
294886196,1600888715,3173.00000,30174703
