Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,171113917
1546257281,434823252,2147.0,28285042
267184309,1781663358,12415.0,211781209
3811101651,2458486444,5650.0,39389166
3451626430,276297869,9539.0,188560541
1543287249,3336729700,6869.0,51062708
2061833914,4788404912,14053.0,259253625
489787766,124034956,7836.0,113874166
2513294458,3225461521,8275.0,66509291
1352357440,585141062,4783.0,44917375
2639493261,1546265385,5016.0,31296709
1128915247,1600769075,13653.0,266309375
2234623967,4959350573,5812.0,53928000
1202102552,10585469,3431.0,20194500
2070378942,293386718,4546.0,46243375
673967463,1191803807,7559.0,81850292
4614161115,1362141456,9471.0,117826584
5226973364,3677892321,7702.0,137451708
176804574,3406832301,9747.0,128549041
252607018,4788404870,17785.0,252793375
4214973570,282579904,14730.0,264649833
230116678,1224664912,15632.0,273150417
346151669,1119347412,19527.0,246932083
2255080841,305640334,4908.0,50198792
4898316076,717297640,8589.0,72018417
279828800,4930608321,8833.0,106364750
4284690038,1733022695,4652.0,42456583
998228669,1354668920,10290.0,100731917
29216252,1558444434,5933.0,31462250
391158197,1143831130,18074.0,244951417
659526822,582675787,10691.0,258843917
1427003400,1107413846,4684.0,23375000
4501624464,4016456050,5626.0,52865750
1194649612,2118367291,4401.0,29703500
278999724,4996064408,14617.0,251465208
277233241,369796112,4159.0,12210375
32995523,279379100,2827.0,10785458
516619041,1030113081,5070.0,58386333
3677937688,1200090663,18718.0,246712000
1996104380,570510,2466.0,32566000
460404159,2279444311,17646.0,243728083
2398541760,280298769,17314.0,244794334
2061407957,4569260147,3141.0,28256791
1120191919,1112063456,5096.0,16817667
4511983466,4214922821,5043.0,72156375
3294101323,3792052436,9799.0,128260500
1157358536,838854312,6528.0,73890333
5177748621,1475027480,2057.0,5863167
1125085549,268312171,19438.0,241843709
2811645422,1609396190,1410.0,7112375
2269880755,1292992575,3341.0,7586167
2356132075,25904783,1933.0,7872875
1609396479,2415181640,1552.0,11193333
486619219,367074328,9403.0,123178958
2983242334,410622357,20961.0,232338250
310603667,28200903,5906.0,64598417
8083322,1137559167,9858.0,108654417
302773483,317222032,12371.0,259804459
255934265,28847255,10482.0,55772417
103097022,452535451,16074.0,231218833
419731111,4785293320,3243.0,30080750
3234051795,2477017197,8639.0,75934833
3310153843,5334733108,4619.0,33520625
35328805,26526297,15844.0,228658000
4830461962,2043057363,6783.0,89345791
190830020,3569516716,5860.0,59740458
368006590,3102627851,14374.0,241247500
5200591277,288141753,14193.0,248746459
13094020,5295023738,17458.0,246737667
4890615836,3904554180,8576.0,111485583
1206054733,1914282979,8697.0,52296958
2477870264,3029867322,8860.0,108075916
313987205,1565967493,3680.0,12489334
292962791,321576928,8945.0,99839542
1804130034,1079319292,4217.0,50017375
5124611607,1222181443,5562.0,49601792
2411776994,4521955031,13546.0,209045875
332298228,2389483630,5481.0,49942292
793420,3631560614,5102.0,46969541
1624911093,591624500,13681.0,232681083
3225586754,4018444857,7106.0,108182208
189042738,392917369,4232.0,28348000
2647280615,2921631126,1459.0,17091708
1771792724,281962281,8143.0,58414583
1930247169,249538663,3631.0,12725792
1328815614,2228878076,13761.0,216018333
3258985645,2726662062,3301.0,25220750
2959936034,5321953251,19048.0,235852458
281408656,388571218,12943.0,241086250
1283667697,296199227,593.0,7083291
366862007,416431737,8087.0,60576083
1639728482,316993286,2999.0,16945625
1147201128,1584745913,9329.0,43317084
276244456,26653615,7957.0,92511667
281725402,1606666590,10827.0,176669291
1093669393,1756331379,12548.0,232074875
2041939911,4701921198,11079.0,184391208
305584528,320985323,11905.0,209263000
4881659199,435753301,20705.0,233753208
2463217814,279442631,1210.0,8051084
4731022816,1680714568,3622.0,17895500
1945633543,731257015,2708.0,14471042
419133361,2216067184,7273.0,47135708
5223021378,2619631050,15909.0,233464583
332560223,103047165,8834.0,106159125
1274099113,2522087815,12816.0,174303125
1583989919,3361469220,10306.0,89004708
2653207860,424439747,2938.0,4308709
311180904,299615518,2357.0,4784625
3210032339,1414522829,5336.0,20786375
1110720736,2411652050,2517.0,8004000
265576958,903099825,10867.0,56691625
2873218822,1168844002,3889.0,14078125
493488618,2612120174,7302.0,95160917
544555470,3625701945,14779.0,262875709
255711729,406352908,8831.0,95667041
3435618296,462213332,14000.0,255007208
2975068537,2764100942,6947.0,48388250
2085085828,1801885463,16520.0,245680167
1246360958,2895484805,6904.0,51216125
1125308102,286672340,19668.0,249175750
3077804357,494610228,8102.0,95117917
3481296304,1261815537,20201.0,252535042
1700615963,1271512984,14474.0,252057792
5401708457,1644351358,3027.0,16606083
457810941,4065647156,12091.0,178983250
1673514156,3397114154,2220.0,18261458
3413536555,4342473928,6505.0,75036208
1209250861,3217995753,15796.0,241384792
3443218046,1458117683,9837.0,106661334
1350230595,1277035854,408.0,2933083
1470647737,2519124584,14215.0,293167333
299133589,1829631762,13167.0,256110667
3312462044,293967846,15957.0,218812542
281169313,298885718,8296.0,62053959
95353035,1122174889,14423.0,254643458
1872650911,1351368482,3093.0,16127833
1151618177,4779694909,13847.0,241819917
278225317,370117926,11862.0,122036958
251739293,4477615197,8753.0,61378458
476035462,279833129,7740.0,69566292
149198752,1179448131,3502.0,23366250
1148157814,1261820700,9210.0,126070291
71531338,3157675722,8179.0,77714291
2293078675,1129367897,10363.0,174755583
3715981005,310130087,7548.0,69763250
290376650,149125321,4542.0,41928375
1103228210,544839251,8420.0,71831834
3930386983,1143810245,13787.0,212311917
281721745,3827129775,9186.0,68126333
282053014,1390302596,8278.0,84822625
3898553822,903995673,3062.0,13202458
2415181666,1969772245,10232.0,121995875
468483652,386186264,7436.0,79791083
1406258887,3180507682,5469.0,29156542
4501698865,583229865,18665.0,234766500
1025391856,1780477335,8322.0,96443167
2378833349,1019149819,13900.0,249106292
31453079,4955587559,14439.0,254862875
8139777,1289477772,3189.0,26312959
1580435172,397026142,1139.0,10371625
2860078045,282951749,7852.0,101882208
2621995322,1519082099,14152.0,265157167
2661294772,4310039903,16958.0,262122042
1385273293,2290133944,5064.0,14918459
301641673,31229219,22985.0,260958208
3393835383,128653321,679.0,3499417
4123878558,4124581871,9518.0,158795584
898733546,2061910329,10372.0,189007334
3509611458,1205836825,5362.0,10988875
34570609,1298230350,2056.0,4301042
2715150654,2598009428,16170.0,240927916
5191922112,1126934806,10576.0,131863458
4073248790,1225797283,12084.0,85480042
3294756499,437139774,2554.0,9667167
469630931,1741873264,17463.0,285056083
441141806,1650921346,9481.0,149849125
461981061,1278576926,10737.0,81336334
250632577,409552776,18806.0,268650417
2472182776,305114210,6271.0,73702375
276190071,1584003327,6182.0,84322250
1104839361,3413673353,16804.0,267766417
287717013,493665600,10660.0,97534625
748870332,1117387803,12587.0,178504000
95211962,638770343,6989.0,75194833
1606529941,3463729030,1747.0,1427250
244976213,576931255,19039.0,246490334
1015158307,3201583758,1700.0,5434417
