Source,Target,Distance,ExecutionTime
1657807540,2603619543,11192,00000,7585250
1546257281,434823252,2147,00000,2007250
267184309,1781663358,12519,00000,2625500
3811101651,2458486444,5650,00000,3485291
3451626430,276297869,12855,00000,3888250
1543287249,3336729700,6899,00000,2510542
2061833914,4788404912,14112,00000,3395667
489787766,124034956,7836,00000,2770500
2513294458,3225461521,9762,00000,3250083
1352357440,585141062,6290,00000,3413167
2639493261,1546265385,5914,00000,1165334
1128915247,1600769075,14318,00000,1803625
2234623967,4959350573,5812,00000,1035708
1202102552,10585469,3431,00000,631167
2070378942,293386718,4546,00000,1006125
673967463,1191803807,8933,00000,1182209
4614161115,1362141456,9603,00000,1065000
5226973364,3677892321,11653,00000,1169834
176804574,3406832301,9795,00000,993458
252607018,4788404870,17785,00000,1283417
4214973570,282579904,15569,00000,1527416
230116678,1224664912,15736,00000,1290500
346151669,1119347412,19543,00000,1469084
2255080841,305640334,5776,00000,851208
4898316076,717297640,9485,00000,1128917
279828800,4930608321,9875,00000,872250
4284690038,1733022695,4686,00000,817167
998228669,1354668920,10290,00000,1209291
29216252,1558444434,5933,00000,879875
391158197,1143831130,18410,00000,1353084
659526822,582675787,11141,00000,1148125
1427003400,1107413846,4738,00000,666583
4501624464,4016456050,5638,00000,798083
1194649612,2118367291,4401,00000,758792
278999724,4996064408,-1,00000,1306292
277233241,369796112,5251,00000,673125
32995523,279379100,2827,00000,525833
516619041,1030113081,5083,00000,744334
3677937688,1200090663,19435,00000,1273875
1996104380,570510,2466,00000,620125
460404159,2279444311,17654,00000,1066708
2398541760,280298769,18143,00000,1141167
2061407957,4569260147,3376,00000,1810917
1120191919,1112063456,5237,00000,1976791
4511983466,4214922821,5320,00000,2084584
3294101323,3792052436,10698,00000,3022333
1157358536,838854312,7767,00000,3077542
5177748621,1475027480,2328,00000,3848417
1125085549,268312171,19464,00000,3534125
2811645422,1609396190,1875,00000,2822834
2269880755,1292992575,4230,00000,3821750
2356132075,25904783,2604,00000,3142167
1609396479,2415181640,1552,00000,2739875
486619219,367074328,9987,00000,3709792
2983242334,410622357,20965,00000,3577500
310603667,28200903,5955,00000,3013541
8083322,1137559167,9873,00000,2237000
302773483,317222032,12475,00000,2316959
255934265,28847255,10482,00000,1852834
103097022,452535451,17167,00000,2702750
419731111,4785293320,3331,00000,1857459
3234051795,2477017197,9044,00000,43225042
3310153843,5334733108,4620,00000,1709833
35328805,26526297,15859,00000,1984083
4830461962,2043057363,7312,00000,1052125
190830020,3569516716,5985,00000,930833
368006590,3102627851,-1,00000,1383625
5200591277,288141753,-1,00000,1045750
13094020,5295023738,17493,00000,987375
4890615836,3904554180,9609,00000,818666
1206054733,1914282979,8751,00000,851958
2477870264,3029867322,9157,00000,943292
313987205,1565967493,4658,00000,599250
292962791,321576928,10010,00000,587042
1804130034,1079319292,4306,00000,633042
5124611607,1222181443,5797,00000,1036750
2411776994,4521955031,14690,00000,1115833
332298228,2389483630,5645,00000,720333
793420,3631560614,6403,00000,652000
1624911093,591624500,14805,00000,1088750
3225586754,4018444857,14122,00000,814416
189042738,392917369,4232,00000,516542
2647280615,2921631126,1503,00000,611458
1771792724,281962281,8193,00000,1082917
1930247169,249538663,3631,00000,1198250
1328815614,2228878076,14854,00000,1193292
3258985645,2726662062,3326,00000,693209
2959936034,5321953251,19099,00000,1399083
281408656,388571218,12958,00000,1252667
1283667697,296199227,593,00000,774167
366862007,416431737,8088,00000,5016625
1639728482,316993286,3025,00000,698375
1147201128,1584745913,11280,00000,1029875
276244456,26653615,17660,00000,2441750
281725402,1606666590,13092,00000,2041500
1093669393,1756331379,12558,00000,1979084
2041939911,4701921198,12200,00000,1780167
305584528,320985323,11915,00000,1980583
4881659199,435753301,20740,00000,2276416
2463217814,279442631,1248,00000,1638875
4731022816,1680714568,3624,00000,1794667
1945633543,731257015,3056,00000,1640625
419133361,2216067184,7274,00000,1831958
5223021378,2619631050,15933,00000,2355417
332560223,103047165,15458,00000,4301666
1274099113,2522087815,15020,00000,1986791
1583989919,3361469220,11613,00000,1867750
2653207860,424439747,2938,00000,1413250
311180904,299615518,2553,00000,12383500
3210032339,1414522829,5336,00000,876500
1110720736,2411652050,3015,00000,637958
265576958,903099825,10867,00000,1118459
2873218822,1168844002,3889,00000,668208
493488618,2612120174,7303,00000,1114084
544555470,3625701945,-1,00000,1510917
255711729,406352908,15706,00000,1402375
3435618296,462213332,16333,00000,1146375
2975068537,2764100942,6947,00000,839208
2085085828,1801885463,16546,00000,1355833
1246360958,2895484805,7008,00000,909708
1125308102,286672340,19711,00000,1312958
3077804357,494610228,8102,00000,1119000
3481296304,1261815537,20266,00000,1179459
1700615963,1271512984,15313,00000,1410916
5401708457,1644351358,3574,00000,668292
457810941,4065647156,13184,00000,1159334
1673514156,3397114154,2224,00000,877709
3413536555,4342473928,9822,00000,1236666
1209250861,3217995753,16889,00000,1475583
3443218046,1458117683,10743,00000,895292
1350230595,1277035854,409,00000,523208
1470647737,2519124584,16061,00000,1497958
299133589,1829631762,13200,00000,1588417
3312462044,293967846,15972,00000,1334542
281169313,298885718,9192,00000,1266334
95353035,1122174889,14509,00000,2063208
1872650911,1351368482,3093,00000,1443083
1151618177,4779694909,13880,00000,2339667
278225317,370117926,16385,00000,2159167
251739293,4477615197,9241,00000,1782000
476035462,279833129,9914,00000,1784500
149198752,1179448131,3529,00000,1533334
1148157814,1261820700,11152,00000,1695666
71531338,3157675722,8181,00000,1765333
2293078675,1129367897,12490,00000,1977125
3715981005,310130087,7605,00000,1729000
290376650,149125321,4542,00000,1662958
1103228210,544839251,8421,00000,1855791
3930386983,1143810245,13891,00000,2054167
281721745,3827129775,16827,00000,1435542
282053014,1390302596,16279,00000,2499416
3898553822,903995673,3062,00000,1860583
