Source,Target,Distance,ExecutionTime
1657807540,2603619543,9665,00000,8638459
1546257281,434823252,2147,00000,2301292
267184309,1781663358,17341,00000,3629333
3811101651,2458486444,5798,00000,2492042
3451626430,276297869,9587,00000,3986541
1543287249,3336729700,7283,00000,2754791
2061833914,4788404912,19532,00000,3338917
489787766,124034956,9522,00000,2458459
2513294458,3225461521,8466,00000,2220083
1352357440,585141062,4783,00000,1038042
2639493261,1546265385,5016,00000,1508542
1128915247,1600769075,20054,00000,3094708
2234623967,4959350573,5941,00000,1755375
1202102552,10585469,3509,00000,1038542
2070378942,293386718,4586,00000,1539958
673967463,1191803807,8057,00000,1992334
4614161115,1362141456,10302,00000,1926833
5226973364,3677892321,7728,00000,1674833
176804574,3406832301,10188,00000,2761250
252607018,4788404870,23861,00000,3098292
4214973570,282579904,23232,00000,2650500
230116678,1224664912,22301,00000,2707625
346151669,1119347412,26161,00000,3194416
2255080841,305640334,5380,00000,1341166
4898316076,717297640,8616,00000,1653042
279828800,4930608321,10060,00000,1511417
4284690038,1733022695,4813,00000,986542
998228669,1354668920,10618,00000,1821375
29216252,1558444434,6275,00000,1082000
391158197,1143831130,23532,00000,1630167
659526822,582675787,17010,00000,1741708
1427003400,1107413846,4744,00000,1000541
4501624464,4016456050,6485,00000,1144375
1194649612,2118367291,4401,00000,914209
278999724,4996064408,21060,00000,2627250
277233241,369796112,4963,00000,861041
32995523,279379100,2845,00000,1509000
516619041,1030113081,5070,00000,2391667
3677937688,1200090663,25317,00000,3833625
1996104380,570510,2480,00000,2057834
460404159,2279444311,24522,00000,2790875
2398541760,280298769,22162,00000,2539083
2061407957,4569260147,3420,00000,1964583
1120191919,1112063456,5153,00000,1281250
4511983466,4214922821,5960,00000,1382916
3294101323,3792052436,12805,00000,1338833
1157358536,838854312,8122,00000,1485167
5177748621,1475027480,2291,00000,656750
1125085549,268312171,24968,00000,2174292
2811645422,1609396190,1410,00000,782166
2269880755,1292992575,3341,00000,611375
2356132075,25904783,1933,00000,624709
1609396479,2415181640,1700,00000,658708
486619219,367074328,9414,00000,1422667
2983242334,410622357,25646,00000,2102459
310603667,28200903,5984,00000,1245750
8083322,1137559167,10423,00000,1647166
302773483,317222032,19127,00000,1843375
255934265,28847255,10519,00000,1172875
103097022,452535451,20306,00000,2242000
419731111,4785293320,3258,00000,959375
3234051795,2477017197,9273,00000,1303750
3310153843,5334733108,4619,00000,785709
35328805,26526297,22251,00000,2047583
4830461962,2043057363,7248,00000,37256833
190830020,3569516716,6109,00000,1284916
368006590,3102627851,21549,00000,3196000
5200591277,288141753,20495,00000,2665625
13094020,5295023738,23621,00000,2133917
4890615836,3904554180,9918,00000,1649417
1206054733,1914282979,9073,00000,1416417
2477870264,3029867322,8886,00000,1564458
313987205,1565967493,3782,00000,691708
292962791,321576928,10013,00000,1946917
1804130034,1079319292,4639,00000,1297875
5124611607,1222181443,6123,00000,1281666
2411776994,4521955031,17760,00000,2788042
332298228,2389483630,6127,00000,1250417
793420,3631560614,5129,00000,1013167
1624911093,591624500,18327,00000,2667041
3225586754,4018444857,7106,00000,1396459
189042738,392917369,4288,00000,793958
2647280615,2921631126,1561,00000,870209
1771792724,281962281,8996,00000,1873958
1930247169,249538663,3839,00000,733791
1328815614,2228878076,17828,00000,2882958
3258985645,2726662062,3529,00000,1190042
2959936034,5321953251,25235,00000,2675791
281408656,388571218,19256,00000,1849167
1283667697,296199227,593,00000,526792
366862007,416431737,9074,00000,1431791
1639728482,316993286,3062,00000,868542
1147201128,1584745913,9638,00000,1123583
276244456,26653615,8089,00000,2009833
281725402,1606666590,11256,00000,1649250
1093669393,1756331379,15617,00000,1666458
2041939911,4701921198,14311,00000,1814333
305584528,320985323,17477,00000,1517916
4881659199,435753301,26647,00000,2684917
2463217814,279442631,1248,00000,695459
4731022816,1680714568,4119,00000,860750
1945633543,731257015,2899,00000,855292
419133361,2216067184,7357,00000,1380833
5223021378,2619631050,22331,00000,2313541
332560223,103047165,8981,00000,3939500
1274099113,2522087815,16069,00000,1973000
1583989919,3361469220,10306,00000,1447708
2653207860,424439747,4673,00000,546125
311180904,299615518,2357,00000,523917
3210032339,1414522829,5806,00000,806875
1110720736,2411652050,2532,00000,706250
265576958,903099825,10939,00000,1391042
2873218822,1168844002,3889,00000,658000
493488618,2612120174,8203,00000,1353708
544555470,3625701945,21145,00000,2252709
255711729,406352908,8906,00000,1567666
3435618296,462213332,21294,00000,2079667
2975068537,2764100942,7036,00000,1399583
2085085828,1801885463,21332,00000,1944958
1246360958,2895484805,6904,00000,1404667
1125308102,286672340,25744,00000,3345125
3077804357,494610228,8828,00000,2970000
3481296304,1261815537,25985,00000,3567916
1700615963,1271512984,18386,00000,3252042
5401708457,1644351358,3134,00000,2024208
457810941,4065647156,15361,00000,3028958
1673514156,3397114154,2269,00000,1768917
3413536555,4342473928,6572,00000,2200125
1209250861,3217995753,20546,00000,3312791
3443218046,1458117683,10342,00000,2717292
1350230595,1277035854,409,00000,1532958
1470647737,2519124584,23489,00000,3480042
299133589,1829631762,20105,00000,2469167
3312462044,293967846,22364,00000,3094750
281169313,298885718,8329,00000,2569958
95353035,1122174889,18297,00000,2708292
1872650911,1351368482,3093,00000,1627417
1151618177,4779694909,19268,00000,3612958
278225317,370117926,11957,00000,2403208
251739293,4477615197,8799,00000,2505167
476035462,279833129,7863,00000,2558750
149198752,1179448131,3514,00000,1786542
1148157814,1261820700,9260,00000,2328875
71531338,3157675722,8435,00000,1968792
2293078675,1129367897,14464,00000,2620125
3715981005,310130087,8224,00000,1909542
290376650,149125321,4542,00000,2163875
1103228210,544839251,8428,00000,2912417
3930386983,1143810245,18795,00000,3565875
281721745,3827129775,9517,00000,2554750
282053014,1390302596,8416,00000,2145333
3898553822,903995673,3063,00000,854792
2415181666,1969772245,10822,00000,1428417
468483652,386186264,7436,00000,1509958
1406258887,3180507682,5562,00000,1092042
4501698865,583229865,24745,00000,2364875
1025391856,1780477335,9165,00000,1479875
