Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,138322448
1546257281,434823252,2147.0,37507557
267184309,1781663358,12415.0,212752421
3811101651,2458486444,5650.0,96072181
3451626430,276297869,9539.0,208883269
1543287249,3336729700,6869.0,103987107
2061833914,4788404912,14053.0,206883463
489787766,124034956,7836.0,98186418
2513294458,3225461521,8275.0,43036723
1352357440,585141062,4783.0,64067405
2639493261,1546265385,5016.0,73119552
1128915247,1600769075,13653.0,130745905
2234623967,4959350573,5812.0,68236565
1202102552,10585469,3431.0,26299584
2070378942,293386718,4546.0,21594676
673967463,1191803807,7559.0,118659243
4614161115,1362141456,9471.0,165783298
5226973364,3677892321,7702.0,142945340
176804574,3406832301,9747.0,167216778
252607018,4788404870,17785.0,179337385
4214973570,282579904,14730.0,190780003
230116678,1224664912,15632.0,98235218
346151669,1119347412,19527.0,210646094
2255080841,305640334,4908.0,72369187
4898316076,717297640,8589.0,119256216
279828800,4930608321,8833.0,127239906
4284690038,1733022695,4652.0,62948133
998228669,1354668920,10290.0,66366422
29216252,1558444434,5933.0,66793991
391158197,1143831130,18074.0,197130734
659526822,582675787,10691.0,173339800
1427003400,1107413846,4684.0,30063246
4501624464,4016456050,5626.0,49759628
1194649612,2118367291,4401.0,59828417
278999724,4996064408,14617.0,124071371
277233241,369796112,4159.0,40402819
32995523,279379100,2827.0,18291683
516619041,1030113081,5070.0,77883259
3677937688,1200090663,18718.0,210656126
1996104380,570510,2466.0,28178825
460404159,2279444311,17646.0,231075780
2398541760,280298769,17314.0,206871497
2061407957,4569260147,3141.0,39569726
1120191919,1112063456,5096.0,43817219
4511983466,4214922821,5043.0,47705185
3294101323,3792052436,9799.0,158712043
1157358536,838854312,6528.0,42265094
5177748621,1475027480,2057.0,11497579
1125085549,268312171,19438.0,225001507
2811645422,1609396190,1410.0,7290805
2269880755,1292992575,3341.0,11016484
2356132075,25904783,1933.0,7533177
1609396479,2415181640,1552.0,20576546
486619219,367074328,9403.0,171539243
2983242334,410622357,20961.0,210171662
310603667,28200903,5906.0,57663437
8083322,1137559167,9858.0,188683923
302773483,317222032,12371.0,112277733
255934265,28847255,10482.0,179641831
103097022,452535451,16074.0,147519664
419731111,4785293320,3243.0,21687366
3234051795,2477017197,8639.0,144688672
3310153843,5334733108,4619.0,61041367
35328805,26526297,15844.0,198125250
4830461962,2043057363,6783.0,81707151
190830020,3569516716,5860.0,44295758
368006590,3102627851,14374.0,197870553
5200591277,288141753,14193.0,199229422
13094020,5295023738,17458.0,196581677
4890615836,3904554180,8576.0,163427712
1206054733,1914282979,8697.0,113320458
2477870264,3029867322,8860.0,71558043
313987205,1565967493,3680.0,30844872
292962791,321576928,8945.0,176213552
1804130034,1079319292,4217.0,27765532
5124611607,1222181443,5562.0,41881938
2411776994,4521955031,13546.0,123696774
332298228,2389483630,5481.0,91206271
793420,3631560614,5102.0,52121949
1624911093,591624500,13681.0,248126345
3225586754,4018444857,7106.0,96859432
189042738,392917369,4232.0,60662667
2647280615,2921631126,1459.0,10583724
1771792724,281962281,8143.0,62395286
1930247169,249538663,3631.0,17968469
1328815614,2228878076,13761.0,111055149
3258985645,2726662062,3301.0,54456858
2959936034,5321953251,19048.0,193792623
281408656,388571218,12943.0,148205060
1283667697,296199227,593.0,9649764
366862007,416431737,8087.0,124294661
1639728482,316993286,2999.0,28172569
1147201128,1584745913,9329.0,130277729
276244456,26653615,7957.0,113885820
281725402,1606666590,10827.0,215681772
1093669393,1756331379,12548.0,171252067
2041939911,4701921198,11079.0,99146628
305584528,320985323,11905.0,194097918
4881659199,435753301,20705.0,205598739
2463217814,279442631,1210.0,15937532
4731022816,1680714568,3622.0,33468612
1945633543,731257015,2708.0,7045910
419133361,2216067184,7273.0,118058553
5223021378,2619631050,15909.0,206262083
332560223,103047165,8834.0,66696184
1274099113,2522087815,12816.0,124293529
1583989919,3361469220,10306.0,104897939
2653207860,424439747,2938.0,12416295
311180904,299615518,2357.0,9472440
3210032339,1414522829,5336.0,34421275
1110720736,2411652050,2517.0,9071569
265576958,903099825,10867.0,130233541
2873218822,1168844002,3889.0,42480556
493488618,2612120174,7302.0,137276741
544555470,3625701945,14779.0,207012889
255711729,406352908,8831.0,152442299
3435618296,462213332,14000.0,201386160
2975068537,2764100942,6947.0,58592517
2085085828,1801885463,16520.0,190712095
1246360958,2895484805,6904.0,53163318
1125308102,286672340,19668.0,196692569
3077804357,494610228,8102.0,95911373
3481296304,1261815537,20201.0,205783976
1700615963,1271512984,14474.0,150580908
5401708457,1644351358,3027.0,44822670
457810941,4065647156,12091.0,203583475
1673514156,3397114154,2220.0,31731479
3413536555,4342473928,6505.0,67719690
1209250861,3217995753,15796.0,208312645
3443218046,1458117683,9837.0,156838060
1350230595,1277035854,408.0,5274289
1470647737,2519124584,14215.0,130576367
299133589,1829631762,13167.0,154008425
3312462044,293967846,15957.0,183126249
281169313,298885718,8296.0,110558731
95353035,1122174889,14423.0,168040588
1872650911,1351368482,3093.0,22979683
1151618177,4779694909,13847.0,163872040
278225317,370117926,11862.0,82419751
251739293,4477615197,8753.0,87697063
476035462,279833129,7740.0,128022167
149198752,1179448131,3502.0,30805526
1148157814,1261820700,9210.0,155165678
71531338,3157675722,8179.0,144993651
2293078675,1129367897,10363.0,115626969
3715981005,310130087,7548.0,44704265
290376650,149125321,4542.0,29292603
1103228210,544839251,8420.0,119942512
3930386983,1143810245,13787.0,137022387
281721745,3827129775,9186.0,161942633
282053014,1390302596,8278.0,141260748
3898553822,903995673,3062.0,17184398
2415181666,1969772245,10232.0,157490867
468483652,386186264,7436.0,103335149
1406258887,3180507682,5469.0,75571437
4501698865,583229865,18665.0,188767270
1025391856,1780477335,8322.0,148751165
2378833349,1019149819,13900.0,142927839
31453079,4955587559,14439.0,98055838
8139777,1289477772,3189.0,45521721
1580435172,397026142,1139.0,27233149
2860078045,282951749,7852.0,84944133
2621995322,1519082099,14152.0,121985009
2661294772,4310039903,16958.0,213244129
1385273293,2290133944,5064.0,11182810
301641673,31229219,22985.0,205225478
3393835383,128653321,679.0,4708698
