Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,187754507
1546257281,434823252,2147.0,79769427
267184309,1781663358,12415.0,270339039
3811101651,2458486444,5650.0,43654940
3451626430,276297869,9539.0,268242067
1543287249,3336729700,6869.0,60089179
2061833914,4788404912,14053.0,315258331
489787766,124034956,7836.0,141486088
2513294458,3225461521,8275.0,71202160
1352357440,585141062,4783.0,109678526
2639493261,1546265385,5016.0,57264987
1128915247,1600769075,13653.0,396797617
2234623967,4959350573,5812.0,66457381
1202102552,10585469,3431.0,23625788
2070378942,293386718,4546.0,80881543
673967463,1191803807,7559.0,128696860
4614161115,1362141456,9471.0,155159262
5226973364,3677892321,7702.0,187040109
176804574,3406832301,9747.0,161096291
252607018,4788404870,17785.0,374242626
4214973570,282579904,14730.0,348031313
230116678,1224664912,15632.0,329862632
346151669,1119347412,19527.0,293446244
2255080841,305640334,4908.0,57388338
4898316076,717297640,8589.0,115246709
279828800,4930608321,8833.0,135164572
4284690038,1733022695,4652.0,53418922
998228669,1354668920,10290.0,125078914
29216252,1558444434,5933.0,37286148
391158197,1143831130,18074.0,340320755
659526822,582675787,10691.0,266445593
1427003400,1107413846,4684.0,29957359
4501624464,4016456050,5626.0,70406630
1194649612,2118367291,4401.0,41125964
278999724,4996064408,14617.0,347344910
277233241,369796112,4159.0,19453776
32995523,279379100,2827.0,17345764
516619041,1030113081,5070.0,79303685
3677937688,1200090663,18718.0,320718753
1996104380,570510,2466.0,56357031
460404159,2279444311,17646.0,322882124
2398541760,280298769,17314.0,302931096
2061407957,4569260147,3141.0,37020823
1120191919,1112063456,5096.0,22627003
4511983466,4214922821,5043.0,92518568
3294101323,3792052436,9799.0,213780647
1157358536,838854312,6528.0,93412590
5177748621,1475027480,2057.0,8322475
1125085549,268312171,19438.0,289882358
2811645422,1609396190,1410.0,29791678
2269880755,1292992575,3341.0,10233157
2356132075,25904783,1933.0,13453814
1609396479,2415181640,1552.0,12581679
486619219,367074328,9403.0,185258998
2983242334,410622357,20961.0,322322210
310603667,28200903,5906.0,76550321
8083322,1137559167,9858.0,137543818
302773483,317222032,12371.0,289441359
255934265,28847255,10482.0,64439322
103097022,452535451,16074.0,311272921
419731111,4785293320,3243.0,40775017
3234051795,2477017197,8639.0,89839086
3310153843,5334733108,4619.0,40810444
35328805,26526297,15844.0,273336895
4830461962,2043057363,6783.0,151730127
190830020,3569516716,5860.0,91202568
368006590,3102627851,14374.0,312007543
5200591277,288141753,14193.0,326655584
13094020,5295023738,17458.0,306101013
4890615836,3904554180,8576.0,175817597
1206054733,1914282979,8697.0,68467887
2477870264,3029867322,8860.0,146514772
313987205,1565967493,3680.0,21028037
292962791,321576928,8945.0,147238409
1804130034,1079319292,4217.0,83373447
5124611607,1222181443,5562.0,71235004
2411776994,4521955031,13546.0,274345044
332298228,2389483630,5481.0,64471061
793420,3631560614,5102.0,61325940
1624911093,591624500,13681.0,337565454
3225586754,4018444857,7106.0,131991180
189042738,392917369,4232.0,36010512
2647280615,2921631126,1459.0,21477097
1771792724,281962281,8143.0,68863107
1930247169,249538663,3631.0,22125118
1328815614,2228878076,13761.0,284205828
3258985645,2726662062,3301.0,31785149
2959936034,5321953251,19048.0,308306816
281408656,388571218,12943.0,290461841
1283667697,296199227,593.0,19157027
366862007,416431737,8087.0,99623397
1639728482,316993286,2999.0,27407584
1147201128,1584745913,9329.0,69892061
276244456,26653615,7957.0,119209919
281725402,1606666590,10827.0,214535679
1093669393,1756331379,12548.0,315180137
2041939911,4701921198,11079.0,238036020
305584528,320985323,11905.0,275258013
4881659199,435753301,20705.0,293328392
2463217814,279442631,1210.0,20217713
4731022816,1680714568,3622.0,26207104
1945633543,731257015,2708.0,22873782
419133361,2216067184,7273.0,72541330
5223021378,2619631050,15909.0,312443406
332560223,103047165,8834.0,153748479
1274099113,2522087815,12816.0,217699061
1583989919,3361469220,10306.0,114170605
2653207860,424439747,2938.0,8441603
311180904,299615518,2357.0,8667643
3210032339,1414522829,5336.0,39603383
1110720736,2411652050,2517.0,14005708
265576958,903099825,10867.0,92335898
2873218822,1168844002,3889.0,26134888
493488618,2612120174,7302.0,128537686
544555470,3625701945,14779.0,382126224
255711729,406352908,8831.0,122867925
3435618296,462213332,14000.0,328785756
2975068537,2764100942,6947.0,74061599
2085085828,1801885463,16520.0,305824292
1246360958,2895484805,6904.0,81944145
1125308102,286672340,19668.0,317618238
3077804357,494610228,8102.0,121577611
3481296304,1261815537,20201.0,299740883
1700615963,1271512984,14474.0,338876152
5401708457,1644351358,3027.0,36302867
457810941,4065647156,12091.0,270226825
1673514156,3397114154,2220.0,23506504
3413536555,4342473928,6505.0,95036384
1209250861,3217995753,15796.0,306988700
3443218046,1458117683,9837.0,170655083
1350230595,1277035854,408.0,5937991
1470647737,2519124584,14215.0,348396637
299133589,1829631762,13167.0,325599109
3312462044,293967846,15957.0,281875538
281169313,298885718,8296.0,98829405
95353035,1122174889,14423.0,377217446
1872650911,1351368482,3093.0,28851040
1151618177,4779694909,13847.0,311020303
278225317,370117926,11862.0,175204844
251739293,4477615197,8753.0,113651759
476035462,279833129,7740.0,105192879
149198752,1179448131,3502.0,35457418
1148157814,1261820700,9210.0,161482998
71531338,3157675722,8179.0,106720260
2293078675,1129367897,10363.0,293118882
3715981005,310130087,7548.0,90808579
290376650,149125321,4542.0,59154064
1103228210,544839251,8420.0,100117007
3930386983,1143810245,13787.0,318390728
281721745,3827129775,9186.0,115677657
282053014,1390302596,8278.0,124299037
3898553822,903995673,3062.0,19265702
2415181666,1969772245,10232.0,150177523
468483652,386186264,7436.0,102024423
1406258887,3180507682,5469.0,52506508
4501698865,583229865,18665.0,333068185
1025391856,1780477335,8322.0,127228157
2378833349,1019149819,13900.0,329393620
31453079,4955587559,14439.0,349184449
8139777,1289477772,3189.0,54471903
1580435172,397026142,1139.0,17054850
2860078045,282951749,7852.0,151162577
2621995322,1519082099,14152.0,306543735
2661294772,4310039903,16958.0,288973403
1385273293,2290133944,5064.0,35311391
301641673,31229219,22985.0,366059187
3393835383,128653321,679.0,7286022
4123878558,4124581871,9518.0,189798886
898733546,2061910329,10372.0,215569026
3509611458,1205836825,5362.0,40518459
34570609,1298230350,2056.0,12491163
2715150654,2598009428,16170.0,385366415
5191922112,1126934806,10576.0,166956673
4073248790,1225797283,12084.0,108285570
3294756499,437139774,2554.0,24915071
469630931,1741873264,17463.0,367197018
441141806,1650921346,9481.0,185207996
461981061,1278576926,10737.0,101821949
250632577,409552776,18806.0,336716705
2472182776,305114210,6271.0,114803619
276190071,1584003327,6182.0,114188786
1104839361,3413673353,16804.0,310988342
287717013,493665600,10660.0,134286343
748870332,1117387803,12587.0,212455147
95211962,638770343,6989.0,122502204
1606529941,3463729030,1747.0,4558787
244976213,576931255,19039.0,284637744
1015158307,3201583758,1700.0,10367442
535622086,3278925502,8460.0,50540153
2814299800,416620353,7292.0,125666653
4618201463,295340274,3182.0,48559096
1191832168,112642274,19563.0,306108092
281935579,2552650375,7449.0,126407537
5164854753,297149643,16559.0,209296294
2859387755,1183409055,10906.0,185020653
321343935,1681745525,14955.0,243044550
403797109,295078105,12263.0,300441127
2332713463,891107007,14788.0,349057368
1327822381,30362597,14620.0,276958680
2418712900,2351968151,14154.0,341350332
4073665780,1558645701,17774.0,385155036
3043031712,1018899268,6592.0,98677561
14091164,2297598528,13446.0,249915678
576904,269778082,13376.0,369430413
1211228270,446104215,19530.0,313076110
413203784,1575521041,3821.0,34388279
85737284,484295260,4056.0,56153531
1584003505,656632827,10845.0,285078723
538493973,2281083122,8785.0,60785052
1132215611,346151663,9646.0,92116199
410724233,280547990,7800.0,121071938
1155147368,1107589223,17751.0,279479659
1570665337,4377735346,3426.0,38294583
279715308,1448321816,8226.0,81042148
3994215479,369742958,10491.0,208987307
281408219,1256489625,15207.0,363336620
1835327423,1387113804,8799.0,146700030
1137710769,3468114008,5288.0,58771296
1607360477,137564345,12925.0,124331833
4832225057,85784696,1605.0,33908701
1807671066,1151212142,8871.0,223522585
29216318,202398963,4308.0,60432654
1117132781,506274579,10526.0,139467918
301054797,371654240,3255.0,24606620
617759311,1092508168,14793.0,352816044
417755335,2351252890,3258.0,46744387
1219137520,1689053089,12550.0,310721977
3334820249,418193164,12371.0,321864402
2484629546,1096799845,17245.0,352350394
301894697,1707287994,13297.0,211031562
451765430,1409847588,5417.0,75254411
413711853,391012544,3743.0,24536234
382975135,2059672584,6353.0,79795193
2404517076,35506998,3614.0,55565249
1195414320,1495420944,12517.0,322744610
1778061802,4557785856,4898.0,53938755
1920814309,5272747373,8049.0,128783693
5070402434,1106766435,19101.0,345319328
4460304584,252102329,12805.0,333283355
610821382,1519670415,11904.0,152382212
2466998480,450156072,17090.0,289202301
274845620,1130852488,9041.0,165169857
1411315235,325650022,1422.0,11615124
4383620878,15043535,6794.0,112376509
30560472,82653804,8895.0,171082932
288475383,732923704,7916.0,134336242
2526509845,810647792,10396.0,142489056
1105871856,118637,6031.0,86998885
255551440,2612306080,6491.0,119045007
1034081756,433569935,16479.0,393885228
1100557624,1086955678,8220.0,144260763
2361999792,270379993,7222.0,62529410
4496967364,3189842592,6804.0,92815399
292201958,2669116186,15193.0,370365042
1708068,1362171126,7596.0,162417330
582201328,2516084391,1931.0,11609451
661326785,32036801,6850.0,139126837
2571175502,2844893748,3906.0,20643112
199128511,1581576145,9394.0,187015963
5368667223,1278029332,11015.0,153323487
1510041575,280452768,5910.0,92859136
5214232819,282697795,3214.0,24682819
5154017405,3953541056,2803.0,15002829
3724806164,1568204100,7401.0,143305171
413221600,1022394490,7554.0,142814071
516555815,472165124,2499.0,19185381
265506908,5224382093,11798.0,263116265
248208331,427739662,6656.0,94869029
289471672,454345910,8858.0,93370848
3031573626,490368895,8569.0,193792580
302138622,1688734476,18054.0,291932310
313736782,5226184018,6977.0,112998163
4729711178,1234072593,14991.0,271910849
29223781,2399162266,5565.0,13075897
4202713309,769353154,11842.0,204906120
251077098,255564964,4838.0,54599946
1582223290,444812588,6276.0,86728234
1144467590,490369608,7968.0,101854521
771802153,2236793662,19886.0,289780083
5073979880,279387129,21758.0,314231254
1585543077,130578348,8278.0,74298486
1879436557,3262418197,1380.0,8896749
32554661,281382597,15920.0,251349138
1409868664,268692496,3322.0,28947896
277840690,2951515353,3508.0,45657641
3687324620,1153184072,18364.0,323027863
1666871023,3114668061,10020.0,189613841
253689152,29785590,5569.0,89140831
429227076,30434824,18057.0,298852279
469735897,1128416479,1298.0,17578976
3898674441,1015430936,4149.0,33113431
3851786577,2774119019,13973.0,188476147
249580755,3395175963,18824.0,259233197
5236136127,485998421,5442.0,67969101
880403880,1609106990,8688.0,215984348
2459452633,454388027,7778.0,82152794
280229208,4100779851,9024.0,111556828
676494,312292088,14341.0,328302539
3790514959,4279772469,20384.0,273716116
4931040315,1974448227,7485.0,87995745
1239505036,2398201980,12732.0,198038105
538089627,438048726,753.0,4229388
298885398,3628500819,14888.0,268909488
2463834095,281444035,2566.0,14853168
292019457,4195690412,9854.0,279254825
322106708,1128131129,6040.0,58334172
290650157,846225429,13159.0,180291011
2396317298,1242178307,18640.0,276089741
2788796880,488224038,5818.0,67396906
3946726705,366687860,18066.0,259068351
1030525493,701378,3046.0,35889308
2423037883,27221441,15065.0,330361106
3235286393,2817897669,2093.0,7672074
3319989025,189059496,8349.0,64884951
420351192,4747501960,8935.0,107478593
2281818822,5333945037,16877.0,263245380
1016920391,399769584,5993.0,59067333
1089226063,1707108148,7073.0,82183481
2041861471,17177667,3929.0,63361872
339346681,2458113434,20685.0,332997169
281896662,1150687812,14283.0,214682841
2467608956,5008872801,14940.0,299577095
4986627983,13094020,12164.0,298579522
75620278,3561184761,3909.0,52407482
31233830,4422934897,17778.0,384861507
295975039,4497111770,13018.0,302852699
430206004,310148328,8304.0,103988541
3810408201,1108851312,9302.0,175818926
2486635466,299614913,6763.0,59404410
842544471,2955914365,7255.0,157851724
1571179191,3281200471,6173.0,83030276
97981448,2377765218,8761.0,116441984
25931530,2590770562,2274.0,12797211
1357409952,2571442940,2631.0,29229852
4196734180,1533759277,16472.0,369267338
282025011,3635089398,12804.0,288621612
123941452,2859442256,7817.0,148375423
1027101304,3789570067,1505.0,10903991
1200566219,21455839,1861.0,9644412
320919419,1082367884,13300.0,313990228
440893230,431244599,16852.0,292258351
33981912,1617620554,5208.0,67651486
3422950801,2966746265,7380.0,112001810
392711543,412776202,14248.0,323355964
278493083,3961885572,14274.0,275937816
1441030561,29511745,19241.0,210643707
256743403,5049805257,3326.0,41193575
671553316,265711039,8268.0,116398746
1775842797,4703998180,4229.0,22514179
76812875,435046199,5912.0,125679330
1272422907,340351899,7394.0,83467035
685791349,437139795,7307.0,100750480
2612120388,1135357052,8383.0,101850675
1748677975,2720470858,10968.0,148817357
474614065,4434857607,6669.0,47327391
4788446830,2694607670,9848.0,199488862
17207416,280454760,9956.0,210512640
333178234,3165059907,1668.0,5840990
2515257115,1168499833,21756.0,339871583
4906190688,571345585,3546.0,52931632
4515980738,444812588,6607.0,111624784
1163376918,3220472180,4338.0,52394851
1596241652,898746828,3973.0,69839927
373277883,3036890817,1400.0,24271889
1619530753,280441134,9732.0,184262784
386922629,1306829650,11383.0,107746405
1292990284,1308260762,17247.0,297847913
1610599035,2298175733,10887.0,177441162
471531790,4190114695,10480.0,171893279
4467801742,4476548635,18372.0,256698504
2338495084,2094436775,2946.0,72055141
2486377545,1581590814,6748.0,110238199
670672835,1161586420,7162.0,75134777
4900329701,1745726,1421.0,18887547
3900264292,4421004196,7454.0,110930701
674686233,4033761567,14695.0,385216882
5056697612,1588454513,6197.0,60343100
1945673310,1791264948,16324.0,403473558
273922652,115061285,9441.0,188833651
243328801,1239505077,4116.0,22521019
49552524,2123635896,4400.0,68446328
2260687249,1232919521,7169.0,86082522
634580509,1105536679,22193.0,377079978
2338494986,5075084430,10804.0,328175825
4929376825,392389048,10595.0,110653903
360752543,288872634,8254.0,128042562
251757322,668473900,6531.0,125613195
595369814,2297598848,1465.0,5273061
3463286660,1088413247,9600.0,107140123
1083465072,3449453443,8660.0,147845783
3098343003,266206857,5071.0,93057881
4963145560,1367095409,8272.0,161628548
1369553064,427756130,3408.0,42003814
618598358,249401915,8079.0,108670070
5253619270,2252084133,4390.0,43220924
2409929290,68372570,3434.0,46842299
1577249926,4519794192,4582.0,47701582
2497583180,1570136131,17163.0,346656510
268817738,2477017100,5020.0,48285938
4319692210,3132017890,13333.0,278267202
3964767578,1820951371,14853.0,283336168
1829481173,1200521844,3179.0,32409001
3116356426,332493423,8050.0,101877968
560010913,224380807,6785.0,100393371
340351879,1119624020,10521.0,156158239
820447551,1282929801,15914.0,399763622
427907234,1809310803,10215.0,95557600
942385,523162062,16708.0,310584843
1688757080,3171097013,13098.0,292389225
4898087251,1119638469,12865.0,261626905
4998188446,2506590509,8396.0,155180048
1607335899,94049654,12669.0,298323751
2513068976,3367894560,3248.0,26359463
3829796539,1600385586,16640.0,299719280
1079319055,4466258686,7160.0,127157557
3017793636,2501560212,6821.0,104721286
619526850,409618916,7619.0,82191356
3636076595,1456233669,5765.0,29780281
2619837443,2159724434,10631.0,191034686
1609821256,310655056,13074.0,281522641
2586474378,1301780425,4020.0,39310100
5250418294,1314392315,3328.0,38417648
267039598,3372915220,9533.0,172842621
2410758991,561370470,4037.0,15696689
2681232085,3019027329,4364.0,61434080
1333553276,1079046539,4623.0,71193908
3679856935,1770710360,14760.0,328663529
3158423039,372798261,10884.0,107688821
2241552128,1269703243,5360.0,46461208
1769685012,2214656350,5334.0,33160207
279736657,1814913814,8176.0,142602047
3716773196,1027101365,3978.0,60914146
4195690597,687454934,5954.0,79065144
4737100327,30789823,4527.0,47043989
4187191964,1091395685,6552.0,47686373
1096563846,4150508905,2226.0,21749595
3374409702,1188042453,10607.0,193380923
422669646,4487777989,11955.0,214072970
3280610609,387537785,4370.0,55460490
271333697,241379972,12597.0,185822477
3905350627,5072352530,3191.0,28548674
4554528999,281407276,15177.0,340219394
2512162014,5401798456,14456.0,328368634
29594613,370118246,13266.0,191796658
1555894356,290623229,7018.0,116292586
2035467192,343473028,14886.0,265106887
7307540,107917843,9772.0,133491428
262137516,174086916,5292.0,70137045
1990775015,334367987,8057.0,114248099
1580190898,1105109854,7326.0,96279700
3188259702,2817821559,8458.0,146769299
255164446,514367768,16462.0,360918356
