Source,Target,Distance,ExecutionTime
4125266419,855425625,5980.00000,7698411
855425625,1782706873,6862.00000,6953013
1782706873,1127731223,8873.00000,3649235
1127731223,252293041,5082.00000,3109620
252293041,29216237,15186.00000,4722445
29216237,1137433796,18230.00000,4072981
1137433796,1166975206,8637.00000,3086897
1166975206,2405776324,7199.00000,3274804
2405776324,617754514,5415.00000,3564885
617754514,5274881566,15444.00000,4511333
5274881566,9786557,13264.00000,39444679
9786557,2126018087,12097.00000,3973791
2126018087,492916558,11373.00000,3791024
492916558,467076296,18639.00000,5380830
467076296,439721878,20939.00000,5268488
439721878,1176134420,19477.00000,4257371
1176134420,100111687,8799.00000,3172329
100111687,2908110349,16711.00000,4817115
2908110349,5070354611,9210.00000,4279775
5070354611,2394118073,10037.00000,4812114
2394118073,729646614,3448.00000,3179652
729646614,3948681573,10245.00000,4106144
3948681573,224490978,4136.00000,2912014
224490978,1937256747,6528.00000,3679463
1937256747,14834762,6167.00000,3257351
14834762,1832881678,9461.00000,3745067
1832881678,279736647,9241.00000,3944006
279736647,1363824299,11253.00000,4280240
1363824299,696552686,7499.00000,3681545
696552686,4554557269,7560.00000,2906092
4554557269,617740638,10696.00000,4034898
617740638,191839967,5531.00000,3709546
191839967,1272485201,5063.00000,3515221
1272485201,5276054258,3989.00000,3419168
5276054258,3203504842,2015.00000,2875385
3203504842,4787710560,16834.00000,4810051
4787710560,624617676,7179.00000,3155738
624617676,4718271120,8201.00000,3555337
4718271120,5352312956,7646.00000,3359475
5352312956,282580252,10478.00000,4867660
282580252,1197428623,15019.00000,5217555
1197428623,5382537851,3481.00000,2482668
5382537851,412520361,17642.00000,4799953
412520361,4956887753,10721.00000,3592547
4956887753,2063617395,12701.00000,5458043
2063617395,276190063,6613.00000,6950339
276190063,271419851,1274.00000,7173212
271419851,263442394,8338.00000,9343890
263442394,1938001610,10269.00000,10957164
1938001610,13094018,4303.00000,7298657
13094018,4700027841,18774.00000,4259605
4700027841,2756121340,19119.00000,3929307
2756121340,1335944490,16329.00000,6106518
1335944490,2863387329,16893.00000,33360159
2863387329,2636043324,18305.00000,5707035
2636043324,297782727,5084.00000,3349786
297782727,252188821,10588.00000,3371027
252188821,360661019,13227.00000,3790153
360661019,2515578180,7035.00000,3114239
2515578180,2397779991,7183.00000,3258974
2397779991,5226088041,5019.00000,2821573
5226088041,34003702,3177.00000,2616933
34003702,294138224,14097.00000,4752301
294138224,1338610561,16452.00000,4385764
1338610561,370108468,9428.00000,3310380
370108468,3682763552,10112.00000,3132693
3682763552,283316386,7767.00000,3640115
283316386,251826795,2683.00000,2419198
251826795,430725778,6058.00000,3659104
430725778,3506002699,7780.00000,2941110
3506002699,1544054683,10510.00000,3466047
1544054683,3333111279,5568.00000,2690323
3333111279,5361023395,5807.00000,3220741
5361023395,280548138,20228.00000,5056299
280548138,2298003562,3423.00000,3586025
2298003562,2339690461,8964.00000,5955817
2339690461,303488655,13698.00000,21523969
303488655,3000882942,11491.00000,4389153
3000882942,1301903616,10646.00000,3262681
1301903616,4458282736,14397.00000,3228084
4458282736,1024729257,10005.00000,3400452
1024729257,1224789961,16423.00000,4263742
1224789961,3210049570,12677.00000,4147001
3210049570,2025504,17150.00000,4726403
2025504,70438713,17710.00000,4762840
70438713,278798572,14978.00000,3677479
278798572,1166002539,10855.00000,4281930
1166002539,1041691514,7151.00000,5299681
1041691514,2641834152,5967.00000,4167306
2641834152,330567531,8334.00000,4287277
330567531,1128415756,9138.00000,3226011
1128415756,3426867165,16707.00000,5018231
3426867165,4063996274,16142.00000,6995165
4063996274,1023919366,18028.00000,7015312
1023919366,608624844,22218.00000,7088767
608624844,279700111,10472.00000,4057294
279700111,472261352,16457.00000,6214078
472261352,11307086,14210.00000,17880387
11307086,1112074559,6061.00000,8514000
1112074559,2032370503,8677.00000,9871118
2032370503,1689511705,5479.00000,12331569
1689511705,310656734,2166.00000,9446630
310656734,2001154902,1661.00000,7622206
2001154902,3028174512,1384.00000,8413073
3028174512,294125144,15723.00000,9693247
294125144,254344787,4141.00000,8438682
254344787,294886196,3242.00000,13724402
294886196,1600888715,3173.00000,9181457
1600888715,367696105,3134.00000,3215499
367696105,1120309186,8759.00000,3202777
1120309186,656507907,13689.00000,3587708
656507907,256905774,12595.00000,3228075
256905774,456214695,13466.00000,3581206
456214695,1086576036,7438.00000,3685785
1086576036,1137710664,2635.00000,2969916
1137710664,2282092325,17707.00000,4797358
2282092325,5287948627,4648.00000,3454465
5287948627,429271591,16335.00000,4947722
429271591,527839289,8605.00000,3276266
527839289,2799531996,4111.00000,2552211
2799531996,700062023,6849.00000,3145939
700062023,1185690672,6081.00000,3499941
1185690672,609055601,7835.00000,3685444
609055601,691524958,5029.00000,3247762
691524958,365972083,13917.00000,5621043
365972083,2415308680,13239.00000,4499251
2415308680,353392824,7875.00000,3819538
353392824,2458411163,9156.00000,3398568
2458411163,1772699010,5417.00000,3807396
1772699010,458321971,11873.00000,4622866
458321971,601098295,7971.00000,9068982
601098295,1470651784,15794.00000,29051255
1470651784,1351878067,4790.00000,19401330
1351878067,287506894,5939.00000,26956065
287506894,8783316,11328.00000,3788731
8783316,292962909,16154.00000,8560892
292962909,2467608968,4792.00000,2817074
2467608968,3266931585,4232.00000,2819849
3266931585,429271568,4250.00000,2834416
429271568,1861920905,6501.00000,3033855
1861920905,448539204,15193.00000,4979995
448539204,4313078171,16068.00000,4593820
4313078171,507114681,5897.00000,3550736
507114681,1588721793,7343.00000,3691753
1588721793,71679547,3453.00000,5769398
71679547,2634524555,16554.00000,5462361
2634524555,2398384783,15007.00000,7834114
2398384783,288939568,14703.00000,5745619
288939568,282241374,15315.00000,4935420
282241374,4578292410,7125.00000,4056479
4578292410,2134241148,1248.00000,2622036
2134241148,1096737333,5952.00000,4308480
1096737333,2285047249,8929.00000,3853423
2285047249,408735181,12497.00000,4806074
