Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,295661265
30786686,3561925128,1795.0,356242226
1167050747,3474815775,3.0,225346077
1098410718,189103626,18.0,55467586
878843805,2188587218,18.0,21038561
347648682,347648645,6.0,174014586
288003332,817071386,0.0,1202112408
4777035144,4777035132,25.0,774069748
278690098,278690102,12.0,759392325
2423904642,846225486,4.0,109968448
57736426,57736424,0.0,652870133
34003491,148576,9.0,841728516
280966327,280966326,1.0,211269085
830406507,2252084409,10.0,710808500
1025348440,211451376,5.0,781824301
3856515303,3856515304,0.0,1657663019
31233441,1397032132,49.0,919070812
4988046788,899288875,66.0,917868454
601064752,631127611,132.0,927918061
4775916148,4775916144,3.0,863764804
2406293476,2177114818,6.0,713912945
846266931,846266950,156.0,442138848
2836516822,2836516806,2.0,31899483
1177625384,1177625523,42.0,3964390
4963938,3319951435,16.0,3182058
414977900,256611908,270.0,5984440
2427958884,411309489,3.0,3807107
1569406320,313927636,2.0,17499718
1177205012,1177204733,5.0,189390015
406205181,1317144140,3.0,39553391
770356593,1192937687,9.0,6932206
1547028698,2266581310,58.0,11655093
287827029,287827024,32.0,14990634
280669633,280669612,15.0,3473232
1895237831,1956561478,1.0,3742914
282024969,282024968,6.0,15170055
1641008322,1634439706,3.0,6283613
1579844272,476802512,29.0,9297151
1137667257,1137671091,20.0,8040414
122263255,1605533535,6.0,2514720
3051838200,1185456926,2.0,12841448
4550158777,70382186,2.0,49292684
312322218,312322217,33.0,2226853
1866859973,278304695,8.0,2281597
270137097,3101569691,0.0,11522190
4894534144,4894534145,0.0,3752903
1240029150,601714262,3.0,11216980
1674911735,1316569391,3.0,4994563
538493950,1116319530,2.0,5143957
262192611,428876547,0.0,10560203
154467827,1029665293,1.0,2770275
955777682,1129769031,0.0,7855401
1224605981,3309503255,6.0,12536760
271334256,1031000956,43.0,2619469
1026646096,1033921634,7.0,15717696
287028957,1795825751,2.0,4697018
1903826755,59988834,12.0,3091025
1177248529,3781137149,59.0,8974638
2944187718,1540470274,4.0,7252536
1693843779,1693843780,3.0,12913305
418355456,416002657,1.0,26872818
1756570065,481014631,38.0,13568221
1610621369,527257933,1.0,2385123
698563787,1932865036,4.0,2872079
1142907640,1142907636,1.0,13216332
264135754,264135755,1.0,2192227
442497980,442497976,12.0,20227909
4516983427,4516983437,2.0,14739897
1098298647,1098328722,0.0,2259214
420340328,3156777657,1.0,2066028
3110806232,3110806236,18.0,2154155
1884166887,2485455779,1.0,3561379
1151211696,1324014126,19.0,13645812
4931199846,4931291126,8.0,13657123
836916550,836916548,19.0,2694983
1420937013,30434716,5.0,2143294
250667414,277532631,341.0,130997624
979212092,105001014,2.0,48994742
59658543,29785815,0.0,20510545
1358293579,1011210988,19.0,13068235
2252204073,111774867,1.0,3224469
1144279787,3887510216,2.0,39902707
258376294,2070275682,34.0,8240753
711821247,711821236,0.0,5932929
5164025655,1731032,0.0,12930458
1354118930,2323969688,19.0,8146508
735026514,735026763,3.0,3412667
3719728498,3719728502,9.0,3722977
2164239990,2520774459,9.0,5502999
3036749179,3037095905,1.0,3278101
364173255,364173253,2.0,2769133
1137729690,4547701576,1.0,10013839
348151689,1605618546,1.0,3356435
1100808184,1100808178,6.0,5074134
4992435172,2902862493,11.0,3649507
4610593095,891562459,3.0,3106294
1131547257,1131546575,13.0,3793229
2491636910,2491636905,4.0,168829535
2228877989,391823829,5.0,1187042494
1680790043,286990983,5.0,8259424
834653578,1820089290,23.0,26067489
343694198,343694200,4.0,6508110
3922834049,4945269317,13.0,13061548
3576666061,1212697565,4.0,19436825
280104002,803845363,5.0,3246982
189066425,1088774925,0.0,3139096
292825428,5114682723,5.0,2922465
393763936,576698557,110.0,3093239
415890839,3212642018,1.0,7092280
2426004420,778168987,82.0,2838004
255711721,255711677,4.0,2551430
1989609815,1222389246,9.0,6335242
1935666604,113580947,7.0,7705887
3202406182,3202406181,9.0,2770455
4414599007,340467191,4.0,2542553
1106542617,1083492412,11.0,2885940
4906190708,4906190703,0.0,13267094
14706539,4776993694,5.0,2521412
300810938,4285001508,2.0,2671307
4561759675,323277879,1.0,2962601
1142784181,1456754073,55.0,6937025
1568361230,4503168361,18.0,3372515
294740945,294740970,0.0,4921751
1241040787,1597663398,13.0,9152426
2566330172,1137629783,173.0,2997467
412768132,412768133,2.0,2862061
2951515360,4053173622,5.0,3289177
628589,628588,22.0,4786924
1135375561,253430148,25.0,2725139
3753256328,1825657555,23.0,2553524
460482682,31226353,16.0,11728794
3899315069,3899308856,1.0,2993810
290185021,945733545,283.0,2594361
1267575626,306246555,28.0,2196856
3899308852,2318091887,0.0,12995833
601098374,601098365,2.0,3034257
393763935,3667721600,17.0,3275576
1798729248,3730757897,3.0,2959074
417654979,1307130637,30.0,10325186
4619249185,4619249186,0.0,2873312
4442947433,623603021,1.0,2561178
117862,1507919083,41.0,13316722
1419457610,69085823,13.0,174046721
3471083377,3073204552,0.0,355782916
27162938,3619147921,0.0,8287964
295078124,575399,9.0,11722196
1688521853,1622412454,29.0,171629587
1303959405,2942632883,1.0,3160527
1085344870,467076983,255.0,317170166
251740557,3608573939,0.0,4695705
1089372516,3965923661,14.0,293610255
5166902110,301898845,3.0,2288821
270128659,270128657,2.0,2577329
277802669,4266373891,4.0,2862160
3424970511,3424970509,1.0,11383208
261751057,1139155615,11.0,14386075
4497055770,1178885501,6.0,3420166
313548437,467072585,215.0,3487519
318710646,318710115,128.0,11706827
3276551699,503255562,1.0,4697659
4862562005,4589990390,5.0,3796095
427756148,427756146,3.0,2339366
1138051459,3504817344,1.0,11042257
4376102653,4376102651,11.0,3031321
2430923138,1362853824,1.0,2910558
725895284,1907362662,14.0,7947201
4618134311,699583699,14.0,8847798
611662319,611662324,0.0,2719659
1330938480,2513659711,3.0,6117748
2222287194,1201758789,2.0,1178636540
1789609000,17710403,14.0,43334067
2603833712,2603833710,0.0,46132196
4142243489,310656734,4.0,192999718
2897815904,2897815919,0.0,3949607
308660180,308661844,4.0,32033096
1102888950,5226088018,9.0,6239485
891107013,891107011,1.0,3132955
256187585,256187586,4.0,163234897
1557577858,271075011,5.0,48629208
27534937,2368290242,3.0,3186636
4927446742,670733455,2.0,35051198
999553033,999553041,0.0,2724198
845941522,1362961479,3.0,9034367
7307330,5073976626,2.0,6370725
263492346,263492344,3.0,3714651
252121719,252121721,5.0,172962026
974277017,474432491,19.0,171286777
259095691,259095690,1.0,417300470
49552580,49552601,193.0,120457199
1485266568,26656266,4.0,145137668
263468661,263468660,97.0,118343393
4065647131,264407735,0.0,58329316
1080747653,1080747648,8.0,37836543
1178981516,254359153,2.0,32591069
3415670130,7862320,6.0,35333505
757330775,761193595,8.0,33066647
4616939279,1931046925,2.0,44336314
322505924,3447426225,0.0,2314489
5266326962,3190180306,1.0,27702014
5406520329,1276512473,9.0,3572987
3256193181,3256193186,14.0,24624063
1094818761,5166093868,8.0,13409141
3256442315,399682649,13.0,6423491
2310196342,4959353761,0.0,54021524
527339119,264519026,7.0,32494835
281286096,4579184897,1.0,8133431
282172032,1776412498,2.0,37446233
2512161962,435058668,4.0,22412614
1607294916,1607294912,43.0,12175152
2447574651,4897193402,5.0,12165770
2345462110,2345462114,11.0,15499596
3188874865,1144142790,3.0,2444907
249461207,249461206,2.0,69286096
283316364,3576414426,53.0,84152585
252646552,1170483607,373.0,8798142
2272963562,835192464,83.0,116259497
1563352574,310777599,37.0,80508787
292343400,2455189286,0.0,19049763
1103788268,1103788281,5.0,250223317
532365016,532365018,3.0,37813500
526681153,526681155,0.0,87371662
4552659397,339016437,0.0,18806923
2817821557,4787717608,13.0,36113463
349331210,349331104,12.0,102357392
2423817488,1173024188,32.0,2872520
482553419,11429937,3.0,306212920
1179228261,3126114060,12.0,56139687
3116356595,3116356596,5.0,12609247
1105115411,2287267279,19.0,27391355
266969964,2476592565,37.0,7654640
2669237598,298885273,4.0,31432235
4870356502,2488791322,28.0,2471709
