Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,108456088
30786686,3561925128,1795.0,18887823500
1167050747,3474815775,3.0,83519434
1098410718,189103626,18.0,141144757
878843805,2188587218,18.0,100048555
347648682,347648645,6.0,95409412
288003332,817071386,0.0,96444429
4777035144,4777035132,25.0,90840614
278690098,278690102,12.0,94953290
2423904642,846225486,4.0,109160569
57736426,57736424,0.0,88792094
34003491,148576,9.0,92670045
280966327,280966326,1.0,114701599
830406507,2252084409,10.0,113613059
1025348440,211451376,5.0,108648953
3856515303,3856515304,0.0,92560659
31233441,1397032132,49.0,93425619
4988046788,899288875,66.0,96523545
601064752,631127611,132.0,242906538
4775916148,4775916144,3.0,106771657
2406293476,2177114818,6.0,97359297
846266931,846266950,156.0,116335667
2836516822,2836516806,2.0,96296173
1177625384,1177625523,42.0,105493290
4963938,3319951435,16.0,104396543
414977900,256611908,270.0,344940434
2427958884,411309489,3.0,87292681
1569406320,313927636,2.0,92693456
1177205012,1177204733,5.0,121809541
406205181,1317144140,3.0,97083432
770356593,1192937687,9.0,101599610
1547028698,2266581310,58.0,100631625
287827029,287827024,32.0,95136815
280669633,280669612,15.0,105606602
1895237831,1956561478,1.0,95698413
282024969,282024968,6.0,97261040
1641008322,1634439706,3.0,94282874
1579844272,476802512,29.0,145955031
1137667257,1137671091,20.0,97034672
122263255,1605533535,6.0,112586858
3051838200,1185456926,2.0,94535669
4550158777,70382186,2.0,90175913
312322218,312322217,33.0,98186198
1866859973,278304695,8.0,94065205
270137097,3101569691,0.0,114089289
4894534144,4894534145,0.0,98196335
1240029150,601714262,3.0,99775384
1674911735,1316569391,3.0,104978091
538493950,1116319530,2.0,111088985
262192611,428876547,0.0,88040347
154467827,1029665293,1.0,93518315
955777682,1129769031,0.0,119376295
1224605981,3309503255,6.0,97225953
271334256,1031000956,43.0,104280855
1026646096,1033921634,7.0,110511166
287028957,1795825751,2.0,100456626
1903826755,59988834,12.0,115247769
1177248529,3781137149,59.0,106714879
2944187718,1540470274,4.0,90467829
1693843779,1693843780,3.0,95235595
418355456,416002657,1.0,100724411
1756570065,481014631,38.0,101612731
1610621369,527257933,1.0,122232397
698563787,1932865036,4.0,122262677
1142907640,1142907636,1.0,114581595
264135754,264135755,1.0,107381666
442497980,442497976,12.0,105867232
4516983427,4516983437,2.0,105966194
1098298647,1098328722,0.0,115485645
420340328,3156777657,1.0,95362063
3110806232,3110806236,18.0,104288139
1884166887,2485455779,1.0,95476350
1151211696,1324014126,19.0,95030210
4931199846,4931291126,8.0,92224657
836916550,836916548,19.0,111587791
1420937013,30434716,5.0,92928932
250667414,277532631,341.0,369408894
979212092,105001014,2.0,89686126
59658543,29785815,0.0,128100091
1358293579,1011210988,19.0,114918499
2252204073,111774867,1.0,92316740
1144279787,3887510216,2.0,92137269
258376294,2070275682,34.0,100060668
711821247,711821236,0.0,98957142
5164025655,1731032,0.0,109560177
1354118930,2323969688,19.0,102092354
735026514,735026763,3.0,94182798
3719728498,3719728502,9.0,94128585
2164239990,2520774459,9.0,98582015
3036749179,3037095905,1.0,115929275
364173255,364173253,2.0,92184878
1137729690,4547701576,1.0,92872725
348151689,1605618546,1.0,90761686
1100808184,1100808178,6.0,102271732
4992435172,2902862493,11.0,92082113
4610593095,891562459,3.0,104736034
1131547257,1131546575,13.0,133544513
2491636910,2491636905,4.0,95587221
2228877989,391823829,5.0,100768014
1680790043,286990983,5.0,108488865
834653578,1820089290,23.0,94465164
343694198,343694200,4.0,93250606
3922834049,4945269317,13.0,121404294
3576666061,1212697565,4.0,97301742
280104002,803845363,5.0,93065543
189066425,1088774925,0.0,99568148
292825428,5114682723,5.0,91670565
393763936,576698557,110.0,115790833
415890839,3212642018,1.0,93868000
2426004420,778168987,82.0,140701685
255711721,255711677,4.0,88072602
1989609815,1222389246,9.0,92194852
1935666604,113580947,7.0,88752059
3202406182,3202406181,9.0,105740737
4414599007,340467191,4.0,100038555
1106542617,1083492412,11.0,113456355
4906190708,4906190703,0.0,115987589
14706539,4776993694,5.0,92132158
300810938,4285001508,2.0,94212134
4561759675,323277879,1.0,107399151
1142784181,1456754073,55.0,113049606
1568361230,4503168361,18.0,101676474
294740945,294740970,0.0,98855476
1241040787,1597663398,13.0,102218538
2566330172,1137629783,173.0,237846691
412768132,412768133,2.0,113846348
2951515360,4053173622,5.0,97841726
628589,628588,22.0,96875389
1135375561,253430148,25.0,115993650
3753256328,1825657555,23.0,97809728
460482682,31226353,16.0,110681598
3899315069,3899308856,1.0,87923814
290185021,945733545,283.0,195625276
1267575626,306246555,28.0,103878800
3899308852,2318091887,0.0,92438900
601098374,601098365,2.0,117147606
393763935,3667721600,17.0,91043691
1798729248,3730757897,3.0,94053821
417654979,1307130637,30.0,96966071
4619249185,4619249186,0.0,95862073
4442947433,623603021,1.0,94614999
117862,1507919083,41.0,101266177
1419457610,69085823,13.0,121310777
3471083377,3073204552,0.0,110790784
27162938,3619147921,0.0,94847924
295078124,575399,9.0,89702001
1688521853,1622412454,29.0,102805142
1303959405,2942632883,1.0,111779556
1085344870,467076983,255.0,353400050
251740557,3608573939,0.0,94253343
1089372516,3965923661,14.0,92952560
5166902110,301898845,3.0,111143544
270128659,270128657,2.0,89243420
277802669,4266373891,4.0,91340278
3424970511,3424970509,1.0,87147858
261751057,1139155615,11.0,89081962
4497055770,1178885501,6.0,89946072
313548437,467072585,215.0,243576655
318710646,318710115,128.0,112564590
3276551699,503255562,1.0,101361892
4862562005,4589990390,5.0,103551840
427756148,427756146,3.0,114228404
1138051459,3504817344,1.0,96721706
4376102653,4376102651,11.0,87287422
2430923138,1362853824,1.0,88088128
725895284,1907362662,14.0,92779678
4618134311,699583699,14.0,90887372
611662319,611662324,0.0,119924442
1330938480,2513659711,3.0,103019017
2222287194,1201758789,2.0,91102600
1789609000,17710403,14.0,96785879
2603833712,2603833710,0.0,91002660
4142243489,310656734,4.0,99921739
2897815904,2897815919,0.0,121758198
308660180,308661844,4.0,96648674
1102888950,5226088018,9.0,103632337
891107013,891107011,1.0,93627436
256187585,256187586,4.0,90559124
1557577858,271075011,5.0,95693668
27534937,2368290242,3.0,120076035
4927446742,670733455,2.0,102978125
999553033,999553041,0.0,95053590
845941522,1362961479,3.0,95603798
7307330,5073976626,2.0,97081042
263492346,263492344,3.0,89684764
252121719,252121721,5.0,116181693
974277017,474432491,19.0,112098288
259095691,259095690,1.0,91240268
49552580,49552601,193.0,149938716
1485266568,26656266,4.0,89875781
263468661,263468660,97.0,136056503
4065647131,264407735,0.0,95141517
1080747653,1080747648,8.0,97958645
1178981516,254359153,2.0,96972176
3415670130,7862320,6.0,93993335
757330775,761193595,8.0,94650248
4616939279,1931046925,2.0,92734735
322505924,3447426225,0.0,114750530
5266326962,3190180306,1.0,88471894
5406520329,1276512473,9.0,95459252
3256193181,3256193186,14.0,97687128
1094818761,5166093868,8.0,94011418
3256442315,399682649,13.0,126850103
2310196342,4959353761,0.0,89887385
527339119,264519026,7.0,92005643
281286096,4579184897,1.0,96675335
282172032,1776412498,2.0,96790895
2512161962,435058668,4.0,91222957
1607294916,1607294912,43.0,99636555
2447574651,4897193402,5.0,117489712
2345462110,2345462114,11.0,96672000
3188874865,1144142790,3.0,91919769
249461207,249461206,2.0,92226495
283316364,3576414426,53.0,95645586
252646552,1170483607,373.0,246594484
2272963562,835192464,83.0,96665200
1563352574,310777599,37.0,106154762
292343400,2455189286,0.0,94691081
1103788268,1103788281,5.0,93646005
532365016,532365018,3.0,111816501
526681153,526681155,0.0,90633776
4552659397,339016437,0.0,89431718
2817821557,4787717608,13.0,112331514
349331210,349331104,12.0,130271226
2423817488,1173024188,32.0,111137632
482553419,11429937,3.0,118977132
1179228261,3126114060,12.0,108362441
3116356595,3116356596,5.0,99275431
1105115411,2287267279,19.0,106548382
266969964,2476592565,37.0,138135326
2669237598,298885273,4.0,95392631
4870356502,2488791322,28.0,123165867
282951698,287825053,42.0,124750495
235271518,2448358008,1.0,96373516
4679034255,66515582,1.0,100332732
25248653,4669043041,3.0,92161650
280735943,3289962466,3.0,91489111
1069105909,1069104308,5.0,122970494
429970892,429970893,2.0,90506919
2304945881,2304945882,1.0,97063190
3421048211,3421048212,3.0,103773616
3351572549,3351572526,2.0,95588417
746869011,746869002,53.0,109889937
2251041036,265553461,5.0,114784920
252110629,252110628,3.0,89373728
426957814,71688336,9.0,106009498
1877830930,1877830923,0.0,99984538
148592,4186939070,14.0,95688227
2062344379,1094548304,3.0,136107646
1138826764,1633778080,1.0,100032565
2984448212,450148201,1.0,98519387
1205912849,2396139078,20.0,106626920
2430184139,2430184102,2.0,107518397
4928999182,3904868120,4.0,89098265
3440082606,614606063,4.0,120264680
402506847,4439058300,1.0,89567898
525791071,278759680,22.0,93992812
1259908814,32347877,1.0,96170372
820384946,570454,0.0,110392442
252091518,252087865,0.0,103894435
4710489749,60114814,48.0,159040767
252818848,252818847,4.0,89038451
1349411938,2149103666,10.0,105232289
251692720,4846382792,0.0,102585245
224661575,224661555,0.0,98006538
3285692985,252579939,1.0,101279797
3783304759,776247813,6.0,119395571
4458901127,1195418080,14.0,108102704
411718865,411718864,2.0,103597841
251455285,273524144,11.0,96653363
3900742492,366529842,40.0,101459903
271806290,271806295,92.0,103629733
493788467,1511764718,39.0,121123339
260958039,2696704453,8.0,99125804
259983875,259983870,11.0,95243622
1051183782,3054294182,0.0,98099726
2282942813,347636820,1.0,102057917
307977171,4127902427,4.0,101660901
5235390881,5235390882,0.0,100736203
1100458192,1100414883,7.0,126892575
101527686,319089348,12.0,98107510
274872995,1802532352,2.0,91226447
2401927119,300810258,160.0,98855432
5098046367,5098012455,4.0,89822255
4231043583,4231043587,2.0,127014246
1366782141,2863263444,0.0,111493218
1126886348,1126828799,11.0,97143968
639306125,3258110082,1.0,98721953
1351900596,1114488528,9.0,102676429
1082554601,1082554945,10.0,94164543
1139778049,1943252580,8.0,112688427
2173250057,280094696,4.0,125767819
321577054,1714665641,19.0,97673669
1272488581,3673169071,25.0,102475641
3008400371,417180961,17.0,96199436
1364115591,4709023752,47.0,98984930
265446419,1212697027,4.0,113514233
8137845,1133135680,38.0,103684404
3021087779,301641141,4.0,88184611
5033267144,5033267080,3.0,93010119
286465624,286465619,3.0,99985396
265565539,265565536,22.0,96182501
4578378417,4578378423,22.0,123141016
743157923,4449915601,6.0,88579773
3873082570,275558337,2.0,101582844
1138793047,1388883773,19.0,95923434
322749847,2874534650,7.0,96185936
1588764065,1591362137,15.0,90599228
261023096,261023109,11.0,110090780
1097740359,660913707,3.0,90674116
1749843204,454317860,2.0,92441335
1205836843,1814613361,186.0,174476604
412188822,5056697617,623.0,654385405
2604498865,4881455023,1.0,143198167
4729733176,4729733172,7.0,90817644
1283394820,2912701483,1.0,93637288
4408416946,266990048,411.0,630517931
7646329,375473,12.0,136591375
4927515206,340466602,4.0,94759282
1270957498,3703204121,3.0,100617961
288663609,1893844213,5.0,103323073
332303159,332303158,3.0,100497346
1137608833,1137608330,12.0,103016403
301892093,1591307593,23.0,123186823
290643742,290642978,15.0,87688936
4906190704,4906190703,0.0,87145120
405185172,405185180,87.0,119066764
1159750555,1144043008,4.0,91107276
1188171921,10682939,42.0,92202381
707533277,707533312,42.0,138649027
1576177136,2636043427,1.0,90671423
631127490,3255541331,1.0,96956335
1136713228,2868600888,3.0,99905024
3856649877,3856649900,0.0,98743680
3470915658,3470915661,4.0,117469176
1106118244,1106118253,19.0,94268433
241379970,1195430208,58.0,95338370
280470832,529851289,31.0,100825743
2447531705,4443384461,5.0,91819753
1173098335,1173097754,132.0,140140001
124427507,2571512741,94.0,190686928
636098,636096,8.0,87430809
1517092787,2265557902,27.0,96816067
321540084,1230775290,557.0,479634837
1128835183,2418712900,4.0,117277391
417696494,417182319,294.0,233094387
2652293261,2652293262,7.0,95899700
4888229011,356723139,1.0,95451888
2484999017,3522018730,18.0,120118393
4977352712,2452435732,81.0,95208066
8783316,287820299,10.0,91976879
295078343,295078124,29.0,94790249
266661252,247761569,0.0,91290891
383887111,383887109,7.0,89958310
4778520363,4778520361,2.0,118729748
75700704,254495732,14.0,106555383
1746338957,5012577224,0.0,97803673
4898272761,4898137533,0.0,91971820
376877057,376877559,1.0,92775762
2501560211,1506176513,7.0,121097404
317204467,1151892050,11.0,122042630
112351186,411666511,10.0,96937499
1306054389,1305043180,6.0,93230079
1693472109,1693472105,1.0,102277491
103097321,4141462764,4.0,103143579
1631512946,1631512940,3.0,97143882
703310323,703310325,1.0,112910765
1104839790,1104839556,2.0,89435551
288100472,1622593710,21.0,94433041
1605638219,1105542814,53.0,95281786
4958134126,1212697592,31.0,103637830
2304195248,846266697,1635.0,8172505291
401504118,401504121,4.0,125108601
1073343829,1073343501,6.0,100791262
418053024,418053021,9.0,96216694
456214665,2588002963,9.0,101793590
2352143072,4859643211,14.0,94504642
30564157,2957130053,0.0,121277337
466191887,4539681900,5.0,92999381
1507057071,1636804620,20.0,99398947
2349103758,2349103757,4.0,94367907
1103236100,3361469536,19.0,100662081
1142743885,1939435675,3.0,94082506
413696715,667099476,6.0,93271512
291324798,1907942951,1.0,127809343
1947947109,2319423418,2.0,98223789
97755618,97755620,5.0,91060080
3235286370,3235286369,1.0,92324791
865168139,420706182,18.0,97017400
603978151,27137174,17.0,120683213
3069734301,3079656676,11.0,95544251
1591375109,2388534942,4.0,96679853
1297531561,1297531348,6.0,91382163
945002403,945002405,16.0,93030020
878559955,4326906729,11.0,86382764
30379281,3145453499,1.0,109205624
547051411,547051403,0.0,93101626
2216734620,2985914873,2.0,89814611
1459320895,1457978618,34.0,96837387
1179228598,1179228356,5.0,107780189
262160666,3788741873,1.0,96745099
1179939037,1179939041,15.0,119899565
1599167844,3942844557,17.0,92536391
3921566729,3923207142,0.0,86666342
2232329151,2232329399,0.0,96762515
4550074395,331047907,20.0,101004259
1493772712,1173061162,10.0,103952271
31818761,1467992176,18.0,118673825
301646921,2951515349,1882.0,7430880395
1127736470,277453694,7.0,97359740
460404187,2330272528,0.0,119279878
1139548313,4862554251,6.0,103882216
95211949,5166024991,648.0,1234660576
291818170,291817950,15.0,114971715
2562601598,2562601600,4.0,102645627
1582402440,1582402444,5.0,96781108
1349527090,34002206,3.0,91050581
2588080717,2588080719,2.0,96756617
3966795346,283545934,37.0,97184244
301894469,1303607837,2.0,110841586
1999302891,1999302890,10.0,87275203
5418042604,4841379688,19.0,116815973
525853726,525853673,4.0,87093186
1116820285,2394747319,11.0,93083632
128653314,128653241,584.0,800953127
2587389684,1194445719,2.0,147183480
147459,698680,293.0,635186184
4194608740,95377957,167.0,208534290
4598177777,1948043684,8.0,116484613
582115243,2558013680,2.0,107085346
1691752493,251077041,4.0,103530516
2513069393,305572936,2.0,103386681
262365002,1278617780,4.0,91774666
1484659122,1484659128,10.0,97076701
1351279914,106443098,1037.0,4386800880
312294319,310769260,6.0,108250199
1274080960,310603652,0.0,113290613
3897617201,2415308734,9.0,99713028
1311826215,1250570649,7.0,102323323
2321523175,3640492758,6.0,109928270
1433898503,469136560,1.0,100411667
2269048583,1506783187,74.0,103389130
1254607989,1412503588,5.0,113656004
4927498883,4927498884,3.0,99573494
316845999,1298700241,3.0,95962855
534377387,1314153858,3.0,96437598
2415180867,2415180857,8.0,103677248
1879812881,1879812887,13.0,97924828
447560597,1082117543,1.0,129459484
