Source,Target,Distance,ExecutionTime
1227768026,3134845130,14397,00000,7826875
3134845130,568477969,6866,00000,2465209
568477969,293386293,12509,00000,2941708
293386293,626489051,14747,00000,3741583
626489051,2645258420,4557,00000,1054917
2645258420,3165346015,3099,00000,655708
3165346015,3474304321,7543,00000,1267125
3474304321,308669583,8423,00000,964666
308669583,3495305429,13028,00000,1948958
3495305429,1181097009,17233,00000,2117958
1181097009,1573156051,1125,00000,418584
1573156051,1659136387,15822,00000,1284333
1659136387,1513167223,12742,00000,1318500
1513167223,928548929,7327,00000,1072750
928548929,463314955,8001,00000,1050000
463314955,369485599,7748,00000,1009875
369485599,3644916902,5615,00000,825167
3644916902,717727794,5808,00000,880166
717727794,1708692197,11271,00000,776375
1708692197,1578752101,6028,00000,554500
1578752101,528730637,19430,00000,1588916
528730637,3489341617,21081,00000,1610500
3489341617,420223458,3285,00000,604167
420223458,1255825351,6913,00000,774250
1255825351,1213393900,3008,00000,406292
1213393900,97878153,14326,00000,1056166
97878153,492563711,7967,00000,702333
492563711,638770372,5062,00000,605667
638770372,1122628697,11228,00000,788791
1122628697,429966768,21112,00000,1242583
429966768,1026047297,7098,00000,749041
1026047297,4694141591,5563,00000,753625
4694141591,5403417405,886,00000,415333
5403417405,3467073562,1314,00000,402791
3467073562,1022919708,10345,00000,1169958
1022919708,523226233,6224,00000,754708
523226233,2062877568,15688,00000,952958
2062877568,322754971,18388,00000,1056209
322754971,1084953139,10319,00000,1837125
1084953139,392270446,8398,00000,1901666
392270446,1884166974,18218,00000,2434708
1884166974,4187282207,18556,00000,3919917
4187282207,1599630739,18082,00000,2951625
1599630739,26385769,1994,00000,1709375
26385769,1654879481,17068,00000,2263583
1654879481,279832520,11943,00000,1914542
279832520,1751822641,7772,00000,2592125
1751822641,1137710789,916,00000,1899792
1137710789,412540101,17272,00000,2589167
412540101,2284926589,1066,00000,1802042
2284926589,125526549,3455,00000,1876125
125526549,252634823,19678,00000,2850250
252634823,1806539479,6249,00000,2134625
1806539479,1561585898,9195,00000,1241000
1561585898,2916175160,3954,00000,735500
2916175160,254157650,1681,00000,446709
254157650,4929252245,10915,00000,1212375
4929252245,1131555622,17696,00000,1238917
1131555622,31405343,8575,00000,737041
