Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,18218003
30786686,3561925128,1795.0,22542027
1167050747,3474815775,3.0,4389258
1098410718,189103626,18.0,4594578
878843805,2188587218,18.0,4343630
347648682,347648645,6.0,3773286
288003332,817071386,0.0,3614354
4777035144,4777035132,25.0,40398994
278690098,278690102,12.0,4621850
2423904642,846225486,4.0,6103939
57736426,57736424,0.0,5045316
34003491,148576,9.0,4235886
280966327,280966326,1.0,4301491
830406507,2252084409,10.0,4153269
1025348440,211451376,5.0,3842237
3856515303,3856515304,0.0,3717120
31233441,1397032132,49.0,3769950
4988046788,899288875,66.0,3948991
601064752,631127611,132.0,4360321
4775916148,4775916144,3.0,3584898
2406293476,2177114818,6.0,4072926
846266931,846266950,156.0,4231928
2836516822,2836516806,2.0,3891030
1177625384,1177625523,42.0,4299138
4963938,3319951435,16.0,3745635
414977900,256611908,270.0,17403679
2427958884,411309489,3.0,13008241
1569406320,313927636,2.0,14645153
1177205012,1177204733,5.0,14656975
406205181,1317144140,3.0,13451733
770356593,1192937687,9.0,3913784
1547028698,2266581310,58.0,4050314
287827029,287827024,32.0,14758239
280669633,280669612,15.0,22828649
1895237831,1956561478,1.0,22815732
282024969,282024968,6.0,83745323
1641008322,1634439706,3.0,5532111
1579844272,476802512,29.0,4289268
1137667257,1137671091,20.0,4360002
122263255,1605533535,6.0,4263568
3051838200,1185456926,2.0,4667897
4550158777,70382186,2.0,3577313
312322218,312322217,33.0,3422048
1866859973,278304695,8.0,3936968
270137097,3101569691,0.0,3757647
4894534144,4894534145,0.0,3606459
1240029150,601714262,3.0,4349712
1674911735,1316569391,3.0,3839062
538493950,1116319530,2.0,4103409
262192611,428876547,0.0,3996486
154467827,1029665293,1.0,4113985
955777682,1129769031,0.0,3817861
1224605981,3309503255,6.0,6540018
271334256,1031000956,43.0,6393259
1026646096,1033921634,7.0,17767287
287028957,1795825751,2.0,115772518
1903826755,59988834,12.0,5058591
1177248529,3781137149,59.0,4596001
2944187718,1540470274,4.0,5100060
1693843779,1693843780,3.0,5805660
418355456,416002657,1.0,5122683
1756570065,481014631,38.0,4621379
1610621369,527257933,1.0,5151077
698563787,1932865036,4.0,5039084
1142907640,1142907636,1.0,19416839
264135754,264135755,1.0,28038816
442497980,442497976,12.0,399557390
4516983427,4516983437,2.0,4847660
1098298647,1098328722,0.0,5400691
420340328,3156777657,1.0,7400532
3110806232,3110806236,18.0,25272776
