Source,Target,Distance,ExecutionTime
294240220,1122407744,138.00000,5881490
30786686,3561925128,1795.00000,41535331
1167050747,3474815775,-1.00000,10798501
1098410718,189103626,18.00000,2614348
878843805,2188587218,-1.00000,5255998
347648682,347648645,6.00000,2398168
288003332,817071386,0.00000,2743293
4777035144,4777035132,27.00000,2740558
278690098,278690102,18.00000,2948660
2423904642,846225486,4.00000,2803378
57736426,57736424,-1.00000,5335990
34003491,148576,-1.00000,4299971
280966327,280966326,1.00000,2609359
830406507,2252084409,172.00000,2916372
1025348440,211451376,5.00000,2704580
3856515303,3856515304,0.00000,2807365
31233441,1397032132,89.00000,2750787
4988046788,899288875,-1.00000,6338586
601064752,631127611,133.00000,3031080
4775916148,4775916144,-1.00000,6160917
2406293476,2177114818,6.00000,2618025
846266931,846266950,180.00000,2875204
2836516822,2836516806,2.00000,37645039
1177625384,1177625523,96.00000,134426835
4963938,3319951435,20.00000,163964903
414977900,256611908,360.00000,127345299
2427958884,411309489,3.00000,200567611
1569406320,313927636,2.00000,253082870
1177205012,1177204733,-1.00000,60471454
406205181,1317144140,-1.00000,4459726
770356593,1192937687,303.00000,2917128
1547028698,2266581310,744.00000,2661157
287827029,287827024,32.00000,3806352
280669633,280669612,15.00000,2506583
1895237831,1956561478,251.00000,2718687
282024969,282024968,-1.00000,4920390
1641008322,1634439706,3.00000,2806059
1579844272,476802512,29.00000,2875357
1137667257,1137671091,20.00000,2705591
122263255,1605533535,6.00000,2525219
3051838200,1185456926,2.00000,2506343
4550158777,70382186,1068.00000,4520640
312322218,312322217,33.00000,3087281
1866859973,278304695,3363.00000,3461171
270137097,3101569691,-1.00000,49801677
4894534144,4894534145,0.00000,69487988
1240029150,601714262,-1.00000,117602038
1674911735,1316569391,3.00000,2674433
538493950,1116319530,4.00000,2846913
262192611,428876547,-1.00000,5320721
154467827,1029665293,-1.00000,5742853
955777682,1129769031,0.00000,2855676
1224605981,3309503255,-1.00000,5877484
271334256,1031000956,43.00000,2842558
1026646096,1033921634,17.00000,171609517
287028957,1795825751,-1.00000,85083449
1903826755,59988834,-1.00000,91946827
1177248529,3781137149,59.00000,2546489
2944187718,1540470274,4.00000,2598247
1693843779,1693843780,3.00000,2683129
418355456,416002657,1.00000,2386334
1756570065,481014631,38.00000,2510370
1610621369,527257933,1.00000,2845858
698563787,1932865036,-1.00000,4854244
1142907640,1142907636,1.00000,2779752
264135754,264135755,-1.00000,4545635
442497980,442497976,126.00000,2577032
4516983427,4516983437,2.00000,2375119
1098298647,1098328722,0.00000,2400853
420340328,3156777657,-1.00000,5611724
3110806232,3110806236,168.00000,2420520
1884166887,2485455779,-1.00000,5669900
1151211696,1324014126,-1.00000,5255883
4931199846,4931291126,8.00000,2187578
836916550,836916548,19.00000,120278408
1420937013,30434716,5.00000,77877342
250667414,277532631,341.00000,2714168
979212092,105001014,2.00000,2624698
59658543,29785815,-1.00000,4815713
1358293579,1011210988,19.00000,2954353
2252204073,111774867,1.00000,2794661
1144279787,3887510216,2.00000,2854515
258376294,2070275682,138.00000,2794561
711821247,711821236,0.00000,7441239
5164025655,1731032,0.00000,83511256
1354118930,2323969688,19.00000,42510800
735026514,735026763,-1.00000,24178742
3719728498,3719728502,9.00000,2886706
2164239990,2520774459,11.00000,2665295
3036749179,3037095905,-1.00000,5708087
364173255,364173253,-1.00000,5267485
1137729690,4547701576,-1.00000,5314197
348151689,1605618546,1.00000,2299841
1100808184,1100808178,12.00000,2531851
4992435172,2902862493,11.00000,2660467
4610593095,891562459,3.00000,2796225
1131547257,1131546575,13.00000,2602566
2491636910,2491636905,-1.00000,5775846
2228877989,391823829,9.00000,2619288
1680790043,286990983,5.00000,2773240
834653578,1820089290,23.00000,2484411
343694198,343694200,-1.00000,5329769
3922834049,4945269317,13.00000,2519948
3576666061,1212697565,4.00000,2766306
280104002,803845363,37.00000,10477631
189066425,1088774925,0.00000,2561408
292825428,5114682723,13.00000,4858613
393763936,576698557,110.00000,278993697
415890839,3212642018,-1.00000,4214930
2426004420,778168987,96.00000,2875195
255711721,255711677,4.00000,2754775
1989609815,1222389246,9.00000,2648142
1935666604,113580947,7.00000,2519197
3202406182,3202406181,9.00000,2843974
4414599007,340467191,4.00000,2542221
1106542617,1083492412,11.00000,2695227
4906190708,4906190703,0.00000,17432763
14706539,4776993694,13.00000,157234171
300810938,4285001508,-1.00000,55751339
4561759675,323277879,-1.00000,6607428
1142784181,1456754073,-1.00000,6982780
1568361230,4503168361,26.00000,3027182
294740945,294740970,0.00000,3017253
1241040787,1597663398,13.00000,3044466
2566330172,1137629783,-1.00000,6681035
412768132,412768133,-1.00000,5774343
2951515360,4053173622,5.00000,3147471
628589,628588,22.00000,3183860
1135375561,253430148,25.00000,3342886
3753256328,1825657555,-1.00000,6518789
460482682,31226353,34.00000,3666343
3899315069,3899308856,1.00000,3573903
290185021,945733545,9389.00000,5830019
1267575626,306246555,-1.00000,7666078
3899308852,2318091887,0.00000,12956001
601098374,601098365,2.00000,3637493
393763935,3667721600,-1.00000,7963814
1798729248,3730757897,-1.00000,7677054
417654979,1307130637,30.00000,3232853
4619249185,4619249186,0.00000,23281978
4442947433,623603021,1.00000,47745601
117862,1507919083,399.00000,58672327
1419457610,69085823,13.00000,34637303
3471083377,3073204552,0.00000,3138013
27162938,3619147921,0.00000,3176085
295078124,575399,9.00000,2936510
1688521853,1622412454,29.00000,3217921
1303959405,2942632883,-1.00000,5602687
1085344870,467076983,723.00000,3762453
251740557,3608573939,0.00000,2778770
1089372516,3965923661,14.00000,2971522
5166902110,301898845,-1.00000,25862239
270128659,270128657,4.00000,103373165
277802669,4266373891,4.00000,8979659
3424970511,3424970509,-1.00000,4676997
261751057,1139155615,11.00000,2760256
4497055770,1178885501,6.00000,2800445
313548437,467072585,353.00000,2450737
318710646,318710115,128.00000,2733665
3276551699,503255562,1.00000,2873381
4862562005,4589990390,-1.00000,4937082
427756148,427756146,-1.00000,5404922
1138051459,3504817344,-1.00000,5519650
4376102653,4376102651,-1.00000,4543144
2430923138,1362853824,1.00000,2536309
725895284,1907362662,22.00000,2425529
4618134311,699583699,-1.00000,5830931
611662319,611662324,0.00000,2291024
1330938480,2513659711,51.00000,2833394
2222287194,1201758789,-1.00000,8627094
1789609000,17710403,16.00000,2631090
2603833712,2603833710,0.00000,2745643
4142243489,310656734,4.00000,8134703
2897815904,2897815919,0.00000,2460977
308660180,308661844,-1.00000,4904760
1102888950,5226088018,9.00000,2988334
891107013,891107011,1.00000,21750299
256187585,256187586,4.00000,120561990
1557577858,271075011,7.00000,2549745
27534937,2368290242,-1.00000,4404710
4927446742,670733455,2.00000,2576176
999553033,999553041,0.00000,2781947
845941522,1362961479,3.00000,2931231
7307330,5073976626,2.00000,3060906
263492346,263492344,3.00000,2576416
252121719,252121721,-1.00000,5084430
974277017,474432491,19.00000,2991111
259095691,259095690,1.00000,8816208
49552580,49552601,271.00000,55899271
1485266568,26656266,4.00000,78355347
263468661,263468660,97.00000,2395853
4065647131,264407735,0.00000,2792656
1080747653,1080747648,8.00000,2401333
1178981516,254359153,-1.00000,4743063
3415670130,7862320,6.00000,2294505
757330775,761193595,8.00000,2528825
4616939279,1931046925,2.00000,2246689
322505924,3447426225,-1.00000,5165106
5266326962,3190180306,1.00000,2435758
5406520329,1276512473,9.00000,2673140
3256193181,3256193186,16.00000,2886986
1094818761,5166093868,8.00000,2715014
3256442315,399682649,-1.00000,5222885
2310196342,4959353761,0.00000,2458603
527339119,264519026,7.00000,2468862
281286096,4579184897,-1.00000,5387148
282172032,1776412498,2.00000,2496254
2512161962,435058668,4234.00000,3267619
1607294916,1607294912,697.00000,5477159
2447574651,4897193402,-1.00000,10168984
