Source,Target,Distance,ExecutionTime
313547069,2785921971,14635.0,264946859
2446832759,1456334002,7275.0,72210989
33179536,249579713,15014.0,273772286
1173097999,253424754,9347.0,151378185
301648098,3273043879,6926.0,131476688
1806911124,372415379,7685.0,173105011
3619147632,1172802487,13343.0,465470542
299612745,1698474403,14679.0,298457057
901223909,412516150,12663.0,204530985
3072297732,147687,2279.0,12526700
2990364121,280349131,10354.0,178220395
4582917959,1770308739,1567.0,16719583
413477699,248158044,14249.0,262574990
1125704309,2647280659,4970.0,72247437
344579878,1165968994,14742.0,369802019
267196839,5390694752,13946.0,359674786
271437677,270728228,9836.0,168619663
2514867577,4489783007,3485.0,56255644
1124844555,302297292,6831.0,120836834
3835639505,532330636,14639.0,377896008
1635179451,1300111852,5296.0,58025761
4428135873,419127258,4338.0,39551142
1173150339,3470915575,10511.0,187184439
125526229,1510710706,17061.0,323107465
3110160826,1986565045,12456.0,327988751
2318000095,3444930917,14570.0,338407247
1185709240,3507184442,3805.0,38312252
84874947,263689462,10623.0,245083356
5141094677,1782944359,17320.0,319804648
4371325115,699573771,6632.0,119701319
436091846,3306705709,4901.0,87301507
484275522,631973254,9710.0,235597709
294859005,1127157083,4813.0,89832115
2291207613,445758491,8743.0,100399497
4045655960,1415568997,13876.0,293282198
3955797449,2515578227,14684.0,382499377
1546456065,57231398,3530.0,58115683
1369169680,3234052308,13552.0,372544893
1272485201,4496484397,14113.0,312549083
5062655936,4706296620,8074.0,163098231
2083150433,1546348540,16693.0,324034037
3770730380,30362667,20851.0,357438341
1224665046,2348276391,10151.0,307376823
1414903307,3413812431,11915.0,130557747
318593689,278798620,7133.0,72654428
1275874251,3190136387,14885.0,299839869
1377817109,1489014699,9182.0,191734719
420340129,1573784344,7877.0,114016264
201409948,1841938018,15878.0,312262114
1157373346,286546210,12075.0,165269000
1600966664,3679040488,17374.0,378318232
1569970557,1607236627,4929.0,60855237
268226473,367041228,1009.0,23357075
1722851933,202398128,1989.0,45799932
1322905230,3421048242,15884.0,366649193
1166545720,471531763,6339.0,103932980
1709787479,303796213,6443.0,72782471
1607236563,257675798,2378.0,38491135
260996239,494616321,3331.0,61842865
283125763,1332270178,8878.0,119967788
1130992717,305578624,6032.0,72563937
1895349063,1562872922,6678.0,69473244
3413821700,687886,13702.0,356590313
211493653,1549344322,3110.0,36272370
1311891859,4355220966,15087.0,313676243
2640834842,4513048376,24364.0,304156802
3942505768,4943891424,17182.0,362948745
261027971,1117161696,7588.0,173307998
4874447723,2070600313,4591.0,63009881
278781447,2590120758,9085.0,57709063
3811629755,301862206,12514.0,178526997
3255454572,100228598,15988.0,325057580
316479035,1326930059,18429.0,369223588
4677251586,2070831095,4920.0,60119298
1117133222,30789848,11442.0,202013599
1939538473,1446413294,10974.0,122354526
4512751278,1273584645,18341.0,395554213
1539385250,1177482905,7364.0,204889251
1102688623,3374070844,4322.0,43832410
265277316,3367201916,11029.0,272833422
4638156104,1248727513,8728.0,121615373
1142225688,3901171485,4729.0,33794473
364630636,1583322410,1309.0,29027010
4508382623,442567434,2948.0,51868706
1624098746,1071187338,2444.0,25130811
27535271,290652230,10058.0,138251004
984425230,1481534872,14880.0,263638060
1057409991,1785976009,4770.0,48624765
248448385,256168168,12431.0,359388214
4669700854,404296021,7912.0,95385440
4896533578,5286705695,4002.0,18512891
2393275126,4551526676,5792.0,110923060
1563759320,1105391836,9012.0,156682056
583233935,3773883083,2080.0,18308374
149198823,311831740,1622.0,5757560
3827108513,2349345659,6485.0,37585352
472397346,84850594,5969.0,136698547
3998909987,540394691,3142.0,36796299
1392604838,97755609,7299.0,124718828
2265516947,311820040,10804.0,202375230
5299795989,1226430663,9588.0,174242993
1179646579,281411797,5256.0,41890635
5279725276,4095096448,16877.0,339626616
803224507,585149559,11025.0,356353155
35502372,1571928226,18822.0,319199807
1235338125,1736096726,12625.0,231711672
360731459,3751946738,16233.0,297483229
547067984,5182294282,15843.0,409935310
278225859,255382038,20527.0,323441169
1605581876,27159780,17671.0,330660192
3413221378,1767755177,694.0,5235470
5282333170,1100387418,10235.0,169815517
295632527,252188484,7443.0,170149510
1562943495,1749706433,9780.0,146482308
4861668267,3379407509,12591.0,286556798
281378928,416620526,16198.0,445330422
2394526236,333137255,7375.0,137065924
15043918,3481132109,11494.0,310476624
2332354456,1706409197,2410.0,22349291
260769601,5392686856,9277.0,104467325
345521687,3464340234,18238.0,359574972
1364509857,3223293577,3116.0,22554405
1142993216,280307764,10098.0,289292813
3258368334,3261672955,12999.0,404948772
3675037672,3945879169,4712.0,53631886
1117387239,95168467,9892.0,186815262
4569433036,55617095,2556.0,16930336
1489171722,881415502,5666.0,61372899
618598335,1490850419,4685.0,42203991
1599555446,3898443807,525.0,5178110
4882830816,3261675874,5864.0,142983354
410828817,5030093933,13027.0,348863608
3579165245,2688021769,2997.0,17968376
1136503961,1477256484,7608.0,194251954
4793177262,2493781961,12131.0,361847225
2589230680,1432083907,9419.0,112253080
4521955071,527359376,5626.0,98680267
5418028887,3841899496,10842.0,182913024
3678003436,3188259225,21039.0,345191466
2107892981,2281076935,13464.0,201656839
282180825,473594049,11964.0,313929873
2937763064,265900839,11197.0,251623076
4703294563,5116150024,10600.0,56560684
4613987401,2379982789,1391.0,5687117
4194628765,5355004242,15087.0,336355507
361518205,1468014809,12128.0,251659985
881317842,432450752,2479.0,19995801
2179881359,5067630127,13716.0,302401364
2282802659,1185027015,11563.0,168104386
1427084725,1094993305,11269.0,193373383
1375976046,130024560,8800.0,101300262
471150789,2950904923,3548.0,44238823
4218225762,308665821,6032.0,124732222
466220366,1567677866,4806.0,84377396
2498179235,383885768,10889.0,175382120
289547122,3764975190,18007.0,308632446
494610156,1200824206,2340.0,30912765
4620362525,1080531921,13486.0,209474582
290678045,3125484310,5789.0,108912796
1100353170,2472182789,4992.0,64604740
1120258313,343482460,11517.0,152287630
2222287500,1357159551,8136.0,97619860
1994249669,1206402764,11975.0,282498106
32347665,288707378,9966.0,139043202
1140599805,259815577,2006.0,11538114
1276841313,1556278361,11935.0,218834950
2957164888,252631573,14081.0,311870698
3104131827,588694294,6579.0,46501832
1183206870,122827336,14409.0,352632827
2786391651,706671272,5587.0,70346223
4931830581,2341535507,5802.0,64900956
1604088134,322905006,6401.0,108293470
5060310756,1088505292,14230.0,363022198
1659127594,484632878,11302.0,289032251
1590020836,1846433041,4425.0,56941038
278761548,3759654839,9080.0,155898274
2655806998,1166294742,10020.0,213224126
1534554598,2228164703,11471.0,210317024
1907344984,2212816404,12685.0,339407283
1247324623,384951189,11372.0,132459184
525788961,279654698,11818.0,235561031
1937614945,306245531,10473.0,138728626
31229303,2476577522,12058.0,126796870
3498795956,1201806347,10383.0,190373331
451023665,746346133,6899.0,101398339
244101609,3505312244,10840.0,238162551
1711799097,384951257,10610.0,142545631
1105394048,266225778,9282.0,181191136
797212935,320006606,11439.0,215471979
4927475589,1262423229,1993.0,13814967
2255948765,5329721979,2610.0,8466229
1590545894,5327253228,9901.0,154372616
339902642,1161152770,10972.0,178218908
1022931215,1091205413,11343.0,187487225
1164866919,1297668588,7196.0,89195373
3334030751,1126322362,17891.0,315091978
2465043236,1814303496,9076.0,147427052
3812047825,412495888,20440.0,359300693
1108912065,410687519,16064.0,351237681
628518,1324043178,6132.0,84315536
Average Execution Time,0.179845790245 seconds
Average Relaxed Edges,931470.7
