Source,Target,Distance,ExecutionTime
1227768026,3134845130,14396.00000,435341179
3134845130,568477969,6866.00000,175823496
568477969,293386293,12509.00000,241479831
293386293,626489051,12984.00000,382364250
626489051,2645258420,4555.00000,118347814
2645258420,3165346015,2866.00000,59325147
3165346015,3474304321,6174.00000,202873822
3474304321,308669583,7397.00000,239613031
308669583,3495305429,13020.00000,279358857
3495305429,1181097009,15787.00000,406098644
1181097009,1573156051,1125.00000,8633045
1573156051,1659136387,13919.00000,311058894
1659136387,1513167223,12284.00000,373327638
1513167223,928548929,7326.00000,205563633
928548929,463314955,7141.00000,71937705
463314955,369485599,7748.00000,264925856
369485599,3644916902,4845.00000,243486858
3644916902,717727794,5123.00000,134434243
717727794,1708692197,10484.00000,209919847
1708692197,1578752101,6027.00000,176410802
1578752101,528730637,15128.00000,249117449
528730637,3489341617,15362.00000,371440787
3489341617,420223458,2512.00000,19018661
420223458,1255825351,6913.00000,152471811
1255825351,1213393900,2621.00000,9826795
1213393900,97878153,13052.00000,332303954
97878153,492563711,7454.00000,229980593
492563711,638770372,4628.00000,91070283
638770372,1122628697,8902.00000,182988579
1122628697,429966768,19420.00000,327212188
429966768,1026047297,7082.00000,142826001
1026047297,4694141591,5563.00000,101122421
4694141591,5403417405,873.00000,19445181
5403417405,3467073562,1181.00000,9908574
3467073562,1022919708,9810.00000,437680181
1022919708,523226233,6224.00000,173521181
523226233,2062877568,13913.00000,313827089
2062877568,322754971,18386.00000,305317216
322754971,1084953139,10319.00000,195752103
1084953139,392270446,8398.00000,190879463
392270446,1884166974,16449.00000,308471105
1884166974,4187282207,16793.00000,362928861
4187282207,1599630739,16319.00000,305676383
1599630739,26385769,1655.00000,58244562
26385769,1654879481,17066.00000,374154409
1654879481,279832520,11619.00000,199083431
279832520,1751822641,6872.00000,178044868
1751822641,1137710789,890.00000,4443625
1137710789,412540101,15826.00000,291638160
412540101,2284926589,1066.00000,26333276
2284926589,125526549,3455.00000,40021990
125526549,252634823,17623.00000,339034449
252634823,1806539479,6219.00000,82291676
1806539479,1561585898,9194.00000,307295580
1561585898,2916175160,3953.00000,81170731
2916175160,254157650,1194.00000,17956984
254157650,4929252245,10915.00000,148601501
4929252245,1131555622,15967.00000,335013824
1131555622,31405343,8574.00000,133125145
31405343,496033229,5469.00000,173798233
496033229,4847381585,11824.00000,170284671
