Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,202678905
1546257281,434823252,2147.0,36317641
267184309,1781663358,12415.0,361439001
3811101651,2458486444,5650.0,54608950
3451626430,276297869,9539.0,218738799
1543287249,3336729700,6869.0,101452854
2061833914,4788404912,14053.0,416473823
489787766,124034956,7836.0,198836699
2513294458,3225461521,8275.0,93196903
1352357440,585141062,4783.0,82967337
2639493261,1546265385,5016.0,56321256
1128915247,1600769075,13653.0,376359198
2234623967,4959350573,5812.0,70320909
1202102552,10585469,3431.0,25519113
2070378942,293386718,4546.0,67033205
673967463,1191803807,7559.0,110208473
4614161115,1362141456,9471.0,182811853
5226973364,3677892321,7702.0,170284993
176804574,3406832301,9747.0,163290565
252607018,4788404870,17785.0,361840279
4214973570,282579904,14730.0,400253109
230116678,1224664912,15632.0,381034727
346151669,1119347412,19527.0,290148692
2255080841,305640334,4908.0,63820000
4898316076,717297640,8589.0,99570883
279828800,4930608321,8833.0,130999509
4284690038,1733022695,4652.0,51150010
998228669,1354668920,10290.0,176273300
29216252,1558444434,5933.0,44610090
391158197,1143831130,18074.0,312680958
659526822,582675787,10691.0,289001661
1427003400,1107413846,4684.0,28537077
4501624464,4016456050,5626.0,87543241
1194649612,2118367291,4401.0,46775600
278999724,4996064408,14617.0,335731759
277233241,369796112,4159.0,18636479
32995523,279379100,2827.0,17044948
516619041,1030113081,5070.0,74911510
3677937688,1200090663,18718.0,340706225
1996104380,570510,2466.0,42627880
460404159,2279444311,17646.0,302425522
2398541760,280298769,17314.0,298088450
2061407957,4569260147,3141.0,37171773
1120191919,1112063456,5096.0,37488392
4511983466,4214922821,5043.0,70165026
3294101323,3792052436,9799.0,178951512
1157358536,838854312,6528.0,92510070
5177748621,1475027480,2057.0,7588157
1125085549,268312171,19438.0,283755727
2811645422,1609396190,1410.0,21619667
2269880755,1292992575,3341.0,10497691
2356132075,25904783,1933.0,10035538
1609396479,2415181640,1552.0,12983572
486619219,367074328,9403.0,167763748
2983242334,410622357,20961.0,326153505
310603667,28200903,5906.0,76641295
8083322,1137559167,9858.0,133992963
302773483,317222032,12371.0,298421841
255934265,28847255,10482.0,68731937
103097022,452535451,16074.0,270780891
419731111,4785293320,3243.0,65182601
3234051795,2477017197,8639.0,122248057
3310153843,5334733108,4619.0,50093128
35328805,26526297,15844.0,275019300
4830461962,2043057363,6783.0,124475269
190830020,3569516716,5860.0,104913865
368006590,3102627851,14374.0,388851657
5200591277,288141753,14193.0,345737755
13094020,5295023738,17458.0,316602928
4890615836,3904554180,8576.0,156313880
1206054733,1914282979,8697.0,70358666
2477870264,3029867322,8860.0,195607824
313987205,1565967493,3680.0,22805460
292962791,321576928,8945.0,143663986
1804130034,1079319292,4217.0,63354860
5124611607,1222181443,5562.0,63167286
2411776994,4521955031,13546.0,296663131
332298228,2389483630,5481.0,68167801
793420,3631560614,5102.0,65816329
1624911093,591624500,13681.0,306231989
3225586754,4018444857,7106.0,129298938
189042738,392917369,4232.0,35976266
2647280615,2921631126,1459.0,37226624
1771792724,281962281,8143.0,101708107
1930247169,249538663,3631.0,26820728
1328815614,2228878076,13761.0,270072538
3258985645,2726662062,3301.0,49405360
2959936034,5321953251,19048.0,348119772
281408656,388571218,12943.0,299745326
1283667697,296199227,593.0,9095189
366862007,416431737,8087.0,82785850
1639728482,316993286,2999.0,21559197
1147201128,1584745913,9329.0,72245398
276244456,26653615,7957.0,139685268
281725402,1606666590,10827.0,192795828
1093669393,1756331379,12548.0,314550097
2041939911,4701921198,11079.0,250625827
305584528,320985323,11905.0,333325876
4881659199,435753301,20705.0,342057717
2463217814,279442631,1210.0,13159454
4731022816,1680714568,3622.0,26964967
1945633543,731257015,2708.0,23105690
419133361,2216067184,7273.0,80938984
5223021378,2619631050,15909.0,334468890
332560223,103047165,8834.0,140864642
1274099113,2522087815,12816.0,224053713
1583989919,3361469220,10306.0,114907463
2653207860,424439747,2938.0,15714197
311180904,299615518,2357.0,10810651
3210032339,1414522829,5336.0,39347528
