Source,Target,Distance,ExecutionTime
1227768026,3134845130,14396.0,254775752
3134845130,568477969,6866.0,156727963
568477969,293386293,12509.0,382246028
293386293,626489051,12984.0,236822142
626489051,2645258420,4555.0,118511172
2645258420,3165346015,2866.0,41858998
3165346015,3474304321,6174.0,222133104
3474304321,308669583,7397.0,219827960
308669583,3495305429,13020.0,394920929
3495305429,1181097009,15787.0,291115711
1181097009,1573156051,1125.0,12104945
1573156051,1659136387,13919.0,323324661
1659136387,1513167223,12284.0,298650600
1513167223,928548929,7326.0,237422305
928548929,463314955,7141.0,245666949
463314955,369485599,7748.0,87289586
369485599,3644916902,4845.0,126204227
3644916902,717727794,5123.0,121811029
717727794,1708692197,10484.0,373635085
1708692197,1578752101,6027.0,43848933
1578752101,528730637,15128.0,347202913
528730637,3489341617,15362.0,247680968
3489341617,420223458,2512.0,39700902
420223458,1255825351,6913.0,199904910
1255825351,1213393900,2621.0,38009039
1213393900,97878153,13052.0,315588146
97878153,492563711,7454.0,107543654
492563711,638770372,4628.0,116982607
638770372,1122628697,8902.0,300859853
1122628697,429966768,19420.0,363868701
429966768,1026047297,7082.0,109380951
1026047297,4694141591,5563.0,89983171
4694141591,5403417405,873.0,23313799
5403417405,3467073562,1181.0,30853172
3467073562,1022919708,9810.0,154180640
1022919708,523226233,6224.0,171180870
523226233,2062877568,13913.0,290431986
2062877568,322754971,18386.0,371704497
322754971,1084953139,10319.0,151816973
1084953139,392270446,8398.0,108184544
392270446,1884166974,16449.0,370654718
1884166974,4187282207,16793.0,335488698
4187282207,1599630739,16319.0,378641658
1599630739,26385769,1655.0,57215717
26385769,1654879481,17066.0,332629964
1654879481,279832520,11619.0,259526465
279832520,1751822641,6872.0,74800378
1751822641,1137710789,890.0,3111605
1137710789,412540101,15826.0,330027607
412540101,2284926589,1066.0,29490197
2284926589,125526549,3455.0,79270936
125526549,252634823,17623.0,329588361
252634823,1806539479,6219.0,201573736
1806539479,1561585898,9194.0,164970381
1561585898,2916175160,3953.0,101518114
2916175160,254157650,1194.0,5504883
254157650,4929252245,10915.0,323176633
4929252245,1131555622,15967.0,328307438
1131555622,31405343,8574.0,253191584
31405343,496033229,5469.0,41469961
496033229,4847381585,11824.0,351931224
4847381585,1299751433,14575.0,243199019
1299751433,2371627047,12757.0,409893221
2371627047,1179514349,4140.0,10583330
1179514349,224554442,4647.0,61078156
224554442,5274047931,16252.0,356471265
5274047931,5404229644,16611.0,339305243
5404229644,1130852293,12714.0,310631569
1130852293,1886962556,12323.0,302864101
1886962556,4033761566,15361.0,333563696
4033761566,1973730885,1182.0,35631223
1973730885,4577881715,18234.0,319809254
4577881715,1188858232,3492.0,17232193
1188858232,257402504,21838.0,381808580
257402504,3811697220,13345.0,173384567
3811697220,282951744,574.0,4827607
282951744,281411644,4795.0,108508064
281411644,4740482718,10576.0,339494145
4740482718,1130851583,6392.0,127401643
1130851583,798153028,10675.0,190531086
798153028,435122243,12821.0,327642820
435122243,2603833703,12300.0,199130995
2603833703,1279123515,12799.0,277442447
1279123515,318236646,19958.0,387749308
318236646,98204152,19382.0,299875136
98204152,4785284399,11172.0,182433177
4785284399,1427753603,6715.0,163372084
1427753603,1602656849,5438.0,145356613
1602656849,2218328577,12042.0,232427126
2218328577,1131370288,13734.0,304220845
1131370288,1592207388,6946.0,54976230
1592207388,3356967729,3974.0,78919149
3356967729,25920355,18024.0,297522514
25920355,94049639,1054.0,28549443
94049639,3309825631,13965.0,235350311
3309825631,4869513019,2533.0,48155678
4869513019,3687324618,7197.0,230268775
3687324618,1108338531,12505.0,229092773
1108338531,4303314688,5092.0,72407468
4303314688,4912900950,4189.0,109788136
4912900950,1163348267,6364.0,154689707
1163348267,1568013594,5014.0,65105566
1568013594,3720161533,1325.0,5187612
3720161533,2479776301,7411.0,232109820
2479776301,277233499,4857.0,33481495
277233499,2614063527,3761.0,52907053
2614063527,2571175913,10958.0,268821712
2571175913,2334818561,4060.0,59141290
2334818561,553095032,2103.0,12570259
553095032,311603670,15856.0,273485812
311603670,2515257115,19653.0,378331480
2515257115,254946865,21042.0,320320235
254946865,308838097,6720.0,92947731
308838097,1766646104,3353.0,109764231
1766646104,1022981552,6034.0,103080374
1022981552,3947775320,10953.0,355849758
3947775320,29594574,19911.0,387858430
29594574,2565373247,10808.0,137609609
2565373247,1261820577,13581.0,360193578
1261820577,2699915541,9670.0,139081914
2699915541,4521955030,8581.0,160537315
4521955030,344467654,4259.0,65279841
344467654,957287630,2702.0,64533358
957287630,3202874333,3861.0,75884374
3202874333,2351443112,13319.0,371314007
2351443112,30098045,1420.0,46926772
30098045,4545941767,18880.0,309417629
4545941767,1095494657,2670.0,37529001
1095494657,1574640754,12081.0,210390542
1574640754,5082647327,12902.0,304392542
5082647327,2398080562,8602.0,155834345
2398080562,1414519787,14600.0,345592881
1414519787,4395803886,20940.0,361816973
4395803886,114169641,8730.0,148088300
114169641,29972611,10360.0,334337927
29972611,506742659,4872.0,87503013
506742659,1588721754,3391.0,23499645
1588721754,279237507,3531.0,60910083
279237507,3215718798,4229.0,54297932
3215718798,1639494572,5273.0,157147651
1639494572,4496598848,4152.0,67722587
4496598848,1699676210,7637.0,229059048
1699676210,5151664923,7902.0,160108139
5151664923,3476765573,10535.0,299290601
3476765573,25643720,12410.0,285464556
25643720,1137278296,13924.0,310241988
1137278296,842646044,901.0,7711976
842646044,2327395093,12970.0,245634349
2327395093,174020365,8800.0,175039206
174020365,4058827940,9440.0,240592421
4058827940,1336838438,14193.0,313239915
1336838438,1963463057,2342.0,68206926
1963463057,3333113144,4693.0,98109103
3333113144,3132915162,12824.0,252147015
3132915162,608624898,9764.0,273495188
608624898,3474305607,4021.0,27831169
3474305607,4938966563,11804.0,266571837
4938966563,1829744808,8914.0,274526123
1829744808,1558248872,3093.0,52237887
1558248872,285880716,16845.0,334876352
285880716,376907670,641.0,9127227
376907670,1989727165,1179.0,34028391
1989727165,4971289180,2020.0,34452743
4971289180,47020918,16404.0,295965404
47020918,3351417721,17116.0,326251015
3351417721,262866125,8341.0,133079351
262866125,2267434800,11016.0,303373523
2267434800,370108837,10066.0,203841217
370108837,281293870,10066.0,318453500
281293870,4232999936,18148.0,340164017
4232999936,430446073,5650.0,138302536
430446073,1456754081,10926.0,279519550
1456754081,288427183,16666.0,310929892
288427183,3310153871,14815.0,283699446
3310153871,3504665527,7439.0,230510419
3504665527,20946246,13786.0,385950415
20946246,2316135201,6001.0,104328822
2316135201,315151243,3848.0,26262542
315151243,126635567,5290.0,103525521
126635567,3133999175,21584.0,343858448
3133999175,1083492357,3711.0,39662423
1083492357,2066198461,18165.0,315053069
2066198461,1601695081,14499.0,228539705
1601695081,5221565815,12427.0,298942304
5221565815,2641818619,12532.0,239230354
2641818619,2351510471,10330.0,292870337
2351510471,1153164106,14040.0,344679024
1153164106,3165346010,7689.0,175936215
3165346010,1969886403,6993.0,210070222
1969886403,2309277376,8288.0,150425014
2309277376,2653375076,14065.0,257720046
2653375076,1579925431,9193.0,129589670
1579925431,1129898368,7805.0,207974757
1129898368,4443384449,12711.0,273867505
4443384449,1653078152,3358.0,87280559
1653078152,287996488,1401.0,7833133
287996488,4647214138,18967.0,324367233
4647214138,321730705,7831.0,202313112
321730705,4947689872,19445.0,323931713
4947689872,433572506,16195.0,267664290
433572506,319091966,940.0,8363054
319091966,352603788,14219.0,336822971
352603788,4229546235,5118.0,107222576
4229546235,4086020503,4482.0,77490079
4086020503,301376921,1292.0,31648861
301376921,311226863,5644.0,109461367
311226863,2479374956,10067.0,175238475
2479374956,1601687746,2296.0,47231368
1601687746,1223388402,11509.0,282038851
1223388402,1117459847,11079.0,225671886
1117459847,1221572880,11331.0,267248088
1221572880,2641834148,7105.0,116002183
2641834148,247406041,8903.0,249247988
247406041,295279889,22199.0,370624716
295279889,4728155622,15936.0,229964302
4728155622,2633554024,6554.0,182366218
2633554024,4143367325,5393.0,76185460
4143367325,798173361,5951.0,156941388
798173361,3283145603,3018.0,36037961
3283145603,1812923422,3742.0,65133608
1812923422,1018813196,7114.0,227210443
1018813196,2401522743,9417.0,213445823
2401522743,3144546920,5905.0,58497861
3144546920,5370186709,8722.0,166522914
5370186709,2480988347,9155.0,307298574
2480988347,1441029501,10595.0,278364848
1441029501,3121753430,2359.0,6686782
3121753430,1094709691,262.0,2043572
1094709691,1157811753,9367.0,212839833
1157811753,117620,7819.0,129567379
117620,1540416791,4754.0,121026743
1540416791,1102161661,8791.0,298115324
1102161661,1586242655,11051.0,257063354
1586242655,60885307,4400.0,79996641
60885307,1829480932,1632.0,19639940
1829480932,1120191304,11150.0,261899778
1120191304,1860818408,8796.0,186410552
1860818408,391318212,10530.0,248512087
391318212,437139668,9321.0,164782769
437139668,1151617965,10999.0,263863709
1151617965,2027515602,9787.0,179286463
2027515602,4544497766,5870.0,166735179
4544497766,265886463,6224.0,182948055
265886463,3758380793,4977.0,113109898
3758380793,1082636169,3555.0,62681588
1082636169,2063782581,13437.0,284967186
2063782581,2399162211,9611.0,176187799
2399162211,1112064885,23029.0,314860976
1112064885,2296688652,16219.0,298744573
2296688652,321436921,3320.0,21076647
321436921,309771872,14084.0,341341800
309771872,1581576323,1428.0,10866587
1581576323,446259927,3687.0,52671263
446259927,3002690396,3492.0,85133396
3002690396,4775908742,2417.0,24303281
4775908742,107329572,21506.0,312748202
107329572,251740524,20201.0,334818211
251740524,287814072,18132.0,322908444
287814072,250663042,2859.0,75886148
250663042,282661966,2988.0,51624371
282661966,2512140002,7768.0,131296603
2512140002,2522087602,7133.0,169192157
2522087602,432622476,8987.0,194778138
432622476,897737483,10622.0,303117342
897737483,674689934,6507.0,81326776
674689934,3255768723,3682.0,87669579
3255768723,333029878,1908.0,33577516
333029878,3073204537,9133.0,229462321
3073204537,2831828867,7879.0,151692916
2831828867,27130831,16845.0,352451470
27130831,1103723422,19756.0,326654253
1103723422,302896196,12677.0,293977302
302896196,1165486222,12275.0,211179726
1165486222,2519482980,2256.0,12986792
2519482980,12637389,7459.0,228666369
12637389,319094663,6220.0,109544075
319094663,189083191,7196.0,193750871
189083191,310586910,15949.0,369226156
310586910,4682437558,21065.0,387122553
4682437558,308821585,6728.0,51498232
308821585,470366273,4405.0,104901422
470366273,1100888171,7802.0,233814334
1100888171,920140514,4237.0,38332500
920140514,304361622,10101.0,237053845
304361622,2173242629,5755.0,41593547
2173242629,2282614671,9744.0,218230928
2282614671,876210722,11513.0,312679207
876210722,1128286764,9575.0,154981164
1128286764,1099806191,7605.0,110292191
1099806191,279740940,9449.0,190790329
279740940,4699712345,11778.0,383503395
4699712345,2426004455,703.0,4607796
2426004455,1171107308,11581.0,220724370
1171107308,4679379489,11447.0,277558545
4679379489,3261745475,7588.0,109364176
3261745475,769214363,5232.0,153303854
769214363,3473271051,10093.0,242885861
3473271051,1028459376,10572.0,236997887
1028459376,1432288447,8178.0,264209315
1432288447,2351968259,12208.0,295783681
2351968259,289549179,16561.0,394844985
289549179,2620697348,19986.0,305840828
2620697348,10939966,2498.0,37528503
10939966,1546256943,11543.0,159605083
1546256943,1725185771,3475.0,87288987
1725185771,4794637473,7063.0,192110918
4794637473,1195407396,14116.0,259140625
1195407396,1588722016,15451.0,365364593
1588722016,450331137,16078.0,296056506
450331137,541457801,16253.0,338370302
541457801,1187515384,6092.0,120758378
1187515384,1589154299,5843.0,127126306
1589154299,1403131164,11156.0,238284269
1403131164,3252120309,12865.0,370893091
3252120309,2290133688,3611.0,34430582
2290133688,1576063557,6663.0,86397022
1576063557,1239641654,2282.0,12719747
1239641654,2506835578,876.0,3592913
2506835578,2611912065,7767.0,217191277
2611912065,443354384,5074.0,32351469
443354384,2603619541,6486.0,97337807
2603619541,1996104364,13854.0,324539717
1996104364,1346352316,3820.0,80898140
1346352316,1635182399,7532.0,160458918
1635182399,3246988867,9184.0,307580691
3246988867,546954419,15454.0,306602108
546954419,73189973,6391.0,154072970
73189973,475351388,3042.0,50744621
475351388,4958654957,4109.0,109446551
4958654957,526956385,4025.0,90237371
526956385,3090525234,2507.0,36928543
3090525234,30916204,11418.0,303668493
30916204,2960469743,3662.0,49061439
2960469743,516555826,14808.0,263617354
516555826,1578764295,5582.0,138959274
1578764295,2411017089,6199.0,156279439
2411017089,2398614148,18319.0,374746102
2398614148,1148162944,19533.0,288383772
1148162944,2063617565,14178.0,275125931
2063617565,301892673,7022.0,144274282
301892673,1499681280,6910.0,106848449
1499681280,4560720244,8399.0,205298972
4560720244,32347968,18056.0,356098294
32347968,521337691,6553.0,109246402
521337691,1121917446,17347.0,272539971
1121917446,1231220426,15981.0,337378526
1231220426,1847282028,1950.0,13731973
1847282028,1937256885,11996.0,183321118
1937256885,1275815241,12444.0,310747571
1275815241,881573139,15714.0,306208950
881573139,282199115,16241.0,361105585
282199115,34570636,15867.0,279889618
34570636,32995540,5427.0,141835262
32995540,1456912353,18530.0,317621566
1456912353,3579165238,14837.0,261451635
3579165238,2904432265,13521.0,316254597
2904432265,477489524,17892.0,355432469
477489524,2427849925,7888.0,148987654
2427849925,295188292,13801.0,376356000
295188292,20930076,6077.0,65471422
20930076,510590951,16174.0,259001758
510590951,4125266413,5508.0,139832118
4125266413,1764280472,2478.0,23945303
1764280472,3941506218,16444.0,274264722
3941506218,2298023036,13564.0,226843808
2298023036,989136491,13092.0,312837788
989136491,4470897922,9934.0,171935216
4470897922,343439627,1685.0,20068521
343439627,3301942299,14318.0,313196809
3301942299,1083339878,6742.0,119544142
1083339878,1603848027,5770.0,83244180
1603848027,2046506832,2031.0,30523590
2046506832,285880704,1316.0,38715104
285880704,1456755724,18992.0,315791011
1456755724,2351510721,13443.0,301166355
2351510721,5404229652,11656.0,310266887
5404229652,3228908856,1565.0,9217455
3228908856,3283508924,8999.0,208972270
3283508924,254512345,7338.0,208016079
254512345,252634855,10842.0,263473732
252634855,2415181020,5965.0,179320626
2415181020,442114096,5193.0,114500587
442114096,1336996491,11913.0,274120004
1336996491,461812490,10256.0,293937993
461812490,278769906,5193.0,127013788
278769906,1148282843,16243.0,357506874
1148282843,1298230348,16879.0,303692662
1298230348,3679856927,5518.0,100217571
3679856927,3967682416,12349.0,260105696
3967682416,4529165396,13794.0,324238187
4529165396,470201510,3217.0,17769656
470201510,1098716816,681.0,5659699
1098716816,271417083,9654.0,258955026
271417083,1028727944,4885.0,59204157
1028727944,3772375186,3291.0,78243661
3772375186,957836619,4844.0,126654405
957836619,2318091884,1833.0,20168462
2318091884,2286664820,6216.0,227058868
2286664820,27133378,7582.0,178592918
27133378,704345264,17533.0,246500508
704345264,73237290,14752.0,329929347
73237290,1579925400,13569.0,244942251
1579925400,376037982,5947.0,165799274
376037982,1468014824,8531.0,238559762
1468014824,2301484620,16100.0,310228499
2301484620,280230255,10130.0,268688151
280230255,321728043,12360.0,378419931
321728043,286742469,16368.0,297573250
286742469,1922524808,3196.0,38337642
1922524808,290841385,2498.0,51373662
290841385,5397142337,11779.0,147478485
5397142337,4910984011,2722.0,60588962
4910984011,31663991,9348.0,246758277
31663991,2218328650,3025.0,11716352
2218328650,254512234,7287.0,139466891
254512234,1128557959,14575.0,331623494
1128557959,1022874753,16115.0,263088085
1022874753,4125266186,12760.0,279109288
4125266186,577171910,17293.0,298477350
577171910,4675380175,15686.0,322869870
4675380175,5177749028,16178.0,284305182
5177749028,1152928166,12206.0,237873611
1152928166,1599778802,1443.0,28470899
1599778802,303794758,4459.0,108734175
303794758,1390303924,8937.0,169450102
1390303924,603524890,4332.0,42058037
603524890,602639339,7020.0,86918841
602639339,2293306047,1899.0,9473653
2293306047,609056673,5034.0,118704920
609056673,1285515606,10909.0,332010684
1285515606,1102671178,22583.0,370237630
1102671178,3159184624,18793.0,335274000
3159184624,1458116421,6019.0,99200780
1458116421,282757465,21917.0,335662685
282757465,1210552941,18416.0,282269272
1210552941,203126759,9364.0,223639611
203126759,1420418848,8645.0,275024303
1420418848,888763552,20250.0,352141534
888763552,12647125,12733.0,253845408
12647125,475287201,7583.0,139878595
475287201,1028540529,8138.0,218311348
1028540529,559775099,7683.0,174282388
559775099,334003151,12002.0,312826447
334003151,1666385459,15649.0,389366296
1666385459,3679433001,7867.0,217701074
3679433001,262228287,3115.0,75222786
262228287,1244765189,4652.0,174772731
1244765189,4086533545,1423.0,17519852
4086533545,2512161841,9285.0,266366836
2512161841,1289313765,16376.0,457955173
1289313765,66521490,4336.0,49548425
66521490,576736,630.0,13310958
576736,1673198126,1629.0,45593348
1673198126,5117976310,16500.0,265846827
5117976310,2414363764,2026.0,28494181
2414363764,1212691036,11195.0,380748546
1212691036,1547705157,14993.0,361758331
1547705157,1987197402,2739.0,39533022
1987197402,1363132415,8163.0,218461001
1363132415,507913272,8978.0,356779651
507913272,1038529995,17308.0,345053837
1038529995,4477000710,2720.0,17734784
4477000710,393669077,16200.0,405422660
393669077,1223319030,3420.0,102956834
1223319030,4489842543,14448.0,337763861
4489842543,738933272,8872.0,207444238
738933272,1119074308,9142.0,311192462
1119074308,1152671155,14412.0,326627802
1152671155,287996530,5762.0,146976094
287996530,372795529,18755.0,333429803
372795529,4173033482,7352.0,135960458
4173033482,391752021,9906.0,342571070
391752021,4675573057,2328.0,52625475
4675573057,1368359049,16309.0,339629530
1368359049,1080706477,17990.0,421769456
1080706477,4564267360,9367.0,145727218
4564267360,1016075288,7042.0,174941938
1016075288,294233407,7531.0,270616240
294233407,843260525,17108.0,376220834
843260525,1768590436,20794.0,410078506
1768590436,4550165990,3107.0,21306422
4550165990,4065830100,17113.0,376192671
4065830100,317991583,12219.0,220608642
317991583,1224772939,7947.0,296073657
1224772939,4525073367,11684.0,324931068
4525073367,1659768249,9479.0,234492837
1659768249,281962265,8262.0,248083088
281962265,3419903325,5585.0,152490004
3419903325,313316536,13543.0,411851699
313316536,2154542914,5259.0,121679175
2154542914,2291030506,4453.0,93424230
2291030506,271843753,11579.0,128242780
271843753,270457579,9158.0,124068713
