Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.00000,140832788
1546257281,434823252,2147.00000,88625917
267184309,1781663358,12416.00000,89231246
3811101651,2458486444,5650.00000,93508675
3451626430,276297869,9539.00000,130309118
1543287249,3336729700,6869.00000,91701032
2061833914,4788404912,14053.00000,96431435
489787766,124034956,7836.00000,99842489
2513294458,3225461521,8275.00000,78721827
1352357440,585141062,4783.00000,84791555
2639493261,1546265385,5016.00000,102238522
1128915247,1600769075,13670.00000,114068990
2234623967,4959350573,5812.00000,80314873
1202102552,10585469,3431.00000,76323459
2070378942,293386718,4546.00000,83732407
673967463,1191803807,7559.00000,66830314
4614161115,1362141456,9472.00000,63069381
5226973364,3677892321,7702.00000,76125053
176804574,3406832301,9765.00000,158716871
252607018,4788404870,17785.00000,85966271
4214973570,282579904,14731.00000,102172874
230116678,1224664912,15633.00000,75778606
346151669,1119347412,19528.00000,66315677
2255080841,305640334,4908.00000,73143312
4898316076,717297640,8591.00000,60983336
279828800,4930608321,8834.00000,56211427
4284690038,1733022695,4652.00000,57020476
998228669,1354668920,10290.00000,49673067
29216252,1558444434,5933.00000,56968517
391158197,1143831130,18727.00000,60998034
659526822,582675787,10691.00000,57870943
1427003400,1107413846,4684.00000,60911370
4501624464,4016456050,5626.00000,72137713
1194649612,2118367291,4401.00000,65294233
278999724,4996064408,14617.00000,119758699
277233241,369796112,4159.00000,87289979
32995523,279379100,2827.00000,67023955
516619041,1030113081,5070.00000,86662417
3677937688,1200090663,18718.00000,69374064
1996104380,570510,2466.00000,62284057
460404159,2279444311,17646.00000,49881514
2398541760,280298769,17315.00000,57613198
2061407957,4569260147,3142.00000,71996741
1120191919,1112063456,5097.00000,51283572
4511983466,4214922821,5043.00000,63896336
3294101323,3792052436,9799.00000,52168790
1157358536,838854312,6529.00000,75695772
5177748621,1475027480,2118.00000,44644970
1125085549,268312171,19438.00000,54974989
2811645422,1609396190,1410.00000,48019799
2269880755,1292992575,3341.00000,68382814
2356132075,25904783,1933.00000,44924482
1609396479,2415181640,1552.00000,59225849
486619219,367074328,9404.00000,85726896
2983242334,410622357,20963.00000,72423788
310603667,28200903,5906.00000,81011121
8083322,1137559167,9858.00000,98508466
302773483,317222032,12372.00000,72733156
255934265,28847255,10483.00000,53869571
103097022,452535451,16074.00000,62902832
419731111,4785293320,3243.00000,52511947
3234051795,2477017197,8640.00000,60954293
3310153843,5334733108,4620.00000,88572311
35328805,26526297,15866.00000,58368333
4830461962,2043057363,6784.00000,66544820
190830020,3569516716,5860.00000,58349449
368006590,3102627851,14374.00000,56073460
5200591277,288141753,14193.00000,60861689
13094020,5295023738,17458.00000,51874692
4890615836,3904554180,8593.00000,58502154
1206054733,1914282979,8697.00000,54799383
2477870264,3029867322,8860.00000,61144817
313987205,1565967493,3680.00000,89369385
292962791,321576928,8946.00000,62717114
1804130034,1079319292,4217.00000,83799130
5124611607,1222181443,5562.00000,74466608
2411776994,4521955031,13546.00000,96457795
332298228,2389483630,5481.00000,65254408
793420,3631560614,5102.00000,45518687
1624911093,591624500,13682.00000,63227514
3225586754,4018444857,7108.00000,50801890
189042738,392917369,4232.00000,63047448
2647280615,2921631126,1459.00000,67887641
1771792724,281962281,8143.00000,64108130
1930247169,249538663,3631.00000,63392324
1328815614,2228878076,13761.00000,73894905
3258985645,2726662062,3301.00000,72535244
2959936034,5321953251,19048.00000,53109470
281408656,388571218,12962.00000,50708170
1283667697,296199227,593.00000,69675800
366862007,416431737,8088.00000,51588529
1639728482,316993286,2999.00000,125208825
1147201128,1584745913,9330.00000,83301305
276244456,26653615,7957.00000,83061539
281725402,1606666590,10827.00000,104772381
1093669393,1756331379,12548.00000,81113037
2041939911,4701921198,11079.00000,50912011
305584528,320985323,11906.00000,51683424
4881659199,435753301,20705.00000,59339353
2463217814,279442631,1210.00000,72102001
4731022816,1680714568,3622.00000,63031387
1945633543,731257015,2708.00000,68852781
419133361,2216067184,7273.00000,87359181
5223021378,2619631050,15933.00000,66582228
332560223,103047165,8834.00000,83997046
1274099113,2522087815,12816.00000,67315499
