Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,202183989
1546257281,434823252,2147.0,29939451
267184309,1781663358,12415.0,252986520
3811101651,2458486444,5650.0,51683765
3451626430,276297869,9539.0,264676277
1543287249,3336729700,6869.0,52829727
2061833914,4788404912,14053.0,276627108
489787766,124034956,7836.0,122784680
2513294458,3225461521,8275.0,68002487
1352357440,585141062,4783.0,86066540
2639493261,1546265385,5016.0,40599337
1128915247,1600769075,13653.0,344559915
2234623967,4959350573,5812.0,58671378
1202102552,10585469,3431.0,24279023
2070378942,293386718,4546.0,55996302
673967463,1191803807,7559.0,84990750
4614161115,1362141456,9471.0,147855528
5226973364,3677892321,7702.0,147716815
176804574,3406832301,9747.0,177456815
252607018,4788404870,17785.0,295664869
4214973570,282579904,14730.0,266129856
230116678,1224664912,15632.0,273479491
346151669,1119347412,19527.0,250518328
2255080841,305640334,4908.0,55220297
4898316076,717297640,8589.0,80865556
279828800,4930608321,8833.0,108597283
4284690038,1733022695,4652.0,50634006
998228669,1354668920,10290.0,107745922
29216252,1558444434,5933.0,62817348
391158197,1143831130,18074.0,282025671
659526822,582675787,10691.0,236379146
1427003400,1107413846,4684.0,26228889
4501624464,4016456050,5626.0,60122672
1194649612,2118367291,4401.0,31027825
278999724,4996064408,14617.0,275754612
277233241,369796112,4159.0,14726396
32995523,279379100,2827.0,13253727
516619041,1030113081,5070.0,91868749
3677937688,1200090663,18718.0,279691028
1996104380,570510,2466.0,49889315
460404159,2279444311,17646.0,599379006
2398541760,280298769,17314.0,565646514
2061407957,4569260147,3141.0,32383681
1120191919,1112063456,5096.0,17760580
4511983466,4214922821,5043.0,53966831
3294101323,3792052436,9799.0,156885118
1157358536,838854312,6528.0,84825311
5177748621,1475027480,2057.0,35766766
1125085549,268312171,19438.0,428705649
2811645422,1609396190,1410.0,7836610
2269880755,1292992575,3341.0,6728947
2356132075,25904783,1933.0,6373610
1609396479,2415181640,1552.0,7739821
486619219,367074328,9403.0,130496048
2983242334,410622357,20961.0,252567221
310603667,28200903,5906.0,67147032
8083322,1137559167,9858.0,169851019
302773483,317222032,12371.0,280945659
255934265,28847255,10482.0,54918003
103097022,452535451,16074.0,230267999
419731111,4785293320,3243.0,31177572
3234051795,2477017197,8639.0,76242402
3310153843,5334733108,4619.0,41599039
35328805,26526297,15844.0,238115448
4830461962,2043057363,6783.0,90693044
190830020,3569516716,5860.0,67747578
368006590,3102627851,14374.0,330076711
5200591277,288141753,14193.0,274793926
13094020,5295023738,17458.0,283856673
4890615836,3904554180,8576.0,118003910
1206054733,1914282979,8697.0,71143650
2477870264,3029867322,8860.0,117543680
313987205,1565967493,3680.0,14886126
292962791,321576928,8945.0,119349164
1804130034,1079319292,4217.0,51462195
5124611607,1222181443,5562.0,84178031
2411776994,4521955031,13546.0,266529077
332298228,2389483630,5481.0,51559773
793420,3631560614,5102.0,53396469
1624911093,591624500,13681.0,250500234
3225586754,4018444857,7106.0,113898064
189042738,392917369,4232.0,30349607
2647280615,2921631126,1459.0,17217138
1771792724,281962281,8143.0,60858609
1930247169,249538663,3631.0,12608403
1328815614,2228878076,13761.0,260938324
3258985645,2726662062,3301.0,35426624
2959936034,5321953251,19048.0,276469520
281408656,388571218,12943.0,286917137
1283667697,296199227,593.0,9384788
366862007,416431737,8087.0,66802234
1639728482,316993286,2999.0,17862398
1147201128,1584745913,9329.0,43113283
276244456,26653615,7957.0,93050561
281725402,1606666590,10827.0,210593897
1093669393,1756331379,12548.0,260048014
2041939911,4701921198,11079.0,206925727
305584528,320985323,11905.0,250259064
4881659199,435753301,20705.0,253515109
2463217814,279442631,1210.0,9898177
4731022816,1680714568,3622.0,19577311
1945633543,731257015,2708.0,18254998
419133361,2216067184,7273.0,48164628
5223021378,2619631050,15909.0,242693444
332560223,103047165,8834.0,160595978
1274099113,2522087815,12816.0,208583950
1583989919,3361469220,10306.0,92225796
2653207860,424439747,2938.0,5390634
311180904,299615518,2357.0,5965363
3210032339,1414522829,5336.0,22495105
1110720736,2411652050,2517.0,11685733
265576958,903099825,10867.0,58322762
2873218822,1168844002,3889.0,15410562
493488618,2612120174,7302.0,136230144
544555470,3625701945,14779.0,336027597
255711729,406352908,8831.0,114788557
3435618296,462213332,14000.0,278665376
2975068537,2764100942,6947.0,50203448
2085085828,1801885463,16520.0,254885164
1246360958,2895484805,6904.0,66088016
1125308102,286672340,19668.0,283039757
3077804357,494610228,8102.0,107770599
3481296304,1261815537,20201.0,260979591
1700615963,1271512984,14474.0,326917326
5401708457,1644351358,3027.0,17822108
457810941,4065647156,12091.0,201258074
1673514156,3397114154,2220.0,19676489
3413536555,4342473928,6505.0,82050633
1209250861,3217995753,15796.0,250347597
3443218046,1458117683,9837.0,112375835
1350230595,1277035854,408.0,4200953
1470647737,2519124584,14215.0,263042715
299133589,1829631762,13167.0,319604527
3312462044,293967846,15957.0,237276333
281169313,298885718,8296.0,69495409
95353035,1122174889,14423.0,257396912
1872650911,1351368482,3093.0,16395314
1151618177,4779694909,13847.0,231848180
278225317,370117926,11862.0,128638356
251739293,4477615197,8753.0,64156111
476035462,279833129,7740.0,71511951
149198752,1179448131,3502.0,24379645
1148157814,1261820700,9210.0,189713523
