Source,Target,Distance,ExecutionTime
1657807540,2603619543,9648.0,217223230
1546257281,434823252,2147.0,44587601
267184309,1781663358,12415.0,266382555
3811101651,2458486444,5650.0,185788555
3451626430,276297869,9539.0,244498386
1543287249,3336729700,6869.0,85217362
2061833914,4788404912,14053.0,238577759
489787766,124034956,7836.0,122636669
2513294458,3225461521,8275.0,54290548
1352357440,585141062,4783.0,83150515
2639493261,1546265385,5016.0,92008015
1128915247,1600769075,13653.0,171614798
2234623967,4959350573,5812.0,137756078
1202102552,10585469,3431.0,35053358
2070378942,293386718,4546.0,28305291
673967463,1191803807,7559.0,153878392
4614161115,1362141456,9471.0,180661261
5226973364,3677892321,7702.0,160559884
176804574,3406832301,9747.0,200410854
252607018,4788404870,17785.0,213883062
4214973570,282579904,14730.0,232930144
230116678,1224664912,15632.0,112524633
346151669,1119347412,19527.0,258097225
2255080841,305640334,4908.0,86899082
4898316076,717297640,8589.0,148597078
279828800,4930608321,8833.0,144611081
4284690038,1733022695,4652.0,73421033
998228669,1354668920,10290.0,83428654
29216252,1558444434,5933.0,72968074
391158197,1143831130,18074.0,235537154
659526822,582675787,10691.0,241654848
1427003400,1107413846,4684.0,35681413
4501624464,4016456050,5626.0,85066234
1194649612,2118367291,4401.0,149030687
278999724,4996064408,14617.0,164621288
277233241,369796112,4159.0,48066559
32995523,279379100,2827.0,19979897
516619041,1030113081,5070.0,99789421
3677937688,1200090663,18718.0,267228844
1996104380,570510,2466.0,36433233
460404159,2279444311,17646.0,279264978
2398541760,280298769,17314.0,257874244
2061407957,4569260147,3141.0,55222941
1120191919,1112063456,5096.0,57652251
4511983466,4214922821,5043.0,61814876
3294101323,3792052436,9799.0,190958478
1157358536,838854312,6528.0,50701628
5177748621,1475027480,2057.0,12845857
1125085549,268312171,19438.0,280010902
2811645422,1609396190,1410.0,9591709
2269880755,1292992575,3341.0,17539338
2356132075,25904783,1933.0,10161731
1609396479,2415181640,1552.0,23625735
486619219,367074328,9403.0,293381865
2983242334,410622357,20961.0,246692028
310603667,28200903,5906.0,68978814
8083322,1137559167,9858.0,201668360
302773483,317222032,12371.0,131165542
255934265,28847255,10482.0,198393329
103097022,452535451,16074.0,172739603
419731111,4785293320,3243.0,24605030
3234051795,2477017197,8639.0,157752238
3310153843,5334733108,4619.0,63260265
35328805,26526297,15844.0,213896724
4830461962,2043057363,6783.0,74146615
190830020,3569516716,5860.0,62933281
368006590,3102627851,14374.0,238811805
5200591277,288141753,14193.0,272731775
13094020,5295023738,17458.0,269479192
4890615836,3904554180,8576.0,197107661
1206054733,1914282979,8697.0,124469924
2477870264,3029867322,8860.0,77436109
313987205,1565967493,3680.0,34903250
292962791,321576928,8945.0,184644678
1804130034,1079319292,4217.0,50890037
5124611607,1222181443,5562.0,67642912
2411776994,4521955031,13546.0,139435081
332298228,2389483630,5481.0,95051486
793420,3631560614,5102.0,52310949
1624911093,591624500,13681.0,239822992
3225586754,4018444857,7106.0,110768342
189042738,392917369,4232.0,67453219
2647280615,2921631126,1459.0,13273527
1771792724,281962281,8143.0,70729605
1930247169,249538663,3631.0,19875799
1328815614,2228878076,13761.0,137912186
3258985645,2726662062,3301.0,58826741
2959936034,5321953251,19048.0,296863214
281408656,388571218,12943.0,185751100
1283667697,296199227,593.0,15188842
366862007,416431737,8087.0,177294662
1639728482,316993286,2999.0,28217546
1147201128,1584745913,9329.0,129725184
276244456,26653615,7957.0,134110259
281725402,1606666590,10827.0,292651135
1093669393,1756331379,12548.0,178491565
2041939911,4701921198,11079.0,108112223
305584528,320985323,11905.0,203366231
4881659199,435753301,20705.0,225489098
2463217814,279442631,1210.0,18238898
4731022816,1680714568,3622.0,31171205
1945633543,731257015,2708.0,6659307
419133361,2216067184,7273.0,109769301
5223021378,2619631050,15909.0,202533556
332560223,103047165,8834.0,77169095
1274099113,2522087815,12816.0,145028827
1583989919,3361469220,10306.0,122780304
2653207860,424439747,2938.0,14486448
311180904,299615518,2357.0,10905223
3210032339,1414522829,5336.0,34382778
1110720736,2411652050,2517.0,9737279
265576958,903099825,10867.0,146248411
2873218822,1168844002,3889.0,36157994
493488618,2612120174,7302.0,151380457
544555470,3625701945,14779.0,234921776
255711729,406352908,8831.0,224666191
3435618296,462213332,14000.0,225307763
2975068537,2764100942,6947.0,65180548
2085085828,1801885463,16520.0,225740513
1246360958,2895484805,6904.0,61698337
1125308102,286672340,19668.0,241355689
3077804357,494610228,8102.0,134763299
3481296304,1261815537,20201.0,261356676
1700615963,1271512984,14474.0,207175638
5401708457,1644351358,3027.0,51006346
457810941,4065647156,12091.0,224441480
1673514156,3397114154,2220.0,42792281
3413536555,4342473928,6505.0,96654081
1209250861,3217995753,15796.0,319693371
3443218046,1458117683,9837.0,225097639
1350230595,1277035854,408.0,5387535
1470647737,2519124584,14215.0,163647296
299133589,1829631762,13167.0,176449831
3312462044,293967846,15957.0,235151552
281169313,298885718,8296.0,146095368
95353035,1122174889,14423.0,218151274
1872650911,1351368482,3093.0,37928294
1151618177,4779694909,13847.0,223535925
278225317,370117926,11862.0,98046034
251739293,4477615197,8753.0,105909503
476035462,279833129,7740.0,158331309
149198752,1179448131,3502.0,32939905
1148157814,1261820700,9210.0,265743816
71531338,3157675722,8179.0,178542898
2293078675,1129367897,10363.0,141752420
3715981005,310130087,7548.0,55943555
290376650,149125321,4542.0,33810945
1103228210,544839251,8420.0,137426037
3930386983,1143810245,13787.0,130222729
281721745,3827129775,9186.0,197577725
282053014,1390302596,8278.0,165706302
3898553822,903995673,3062.0,19420195
2415181666,1969772245,10232.0,191757215
468483652,386186264,7436.0,126359495
1406258887,3180507682,5469.0,93355034
4501698865,583229865,18665.0,236662832
1025391856,1780477335,8322.0,256479868
2378833349,1019149819,13900.0,192039734
31453079,4955587559,14439.0,118476224
8139777,1289477772,3189.0,47967954
1580435172,397026142,1139.0,19571632
2860078045,282951749,7852.0,84322479
2621995322,1519082099,14152.0,161084270
2661294772,4310039903,16958.0,263043739
1385273293,2290133944,5064.0,16849466
301641673,31229219,22985.0,259964916
3393835383,128653321,679.0,4882933
4123878558,4124581871,9518.0,237756623
898733546,2061910329,10372.0,194275960
3509611458,1205836825,5362.0,27554578
34570609,1298230350,2056.0,14373790
2715150654,2598009428,16170.0,219711904
5191922112,1126934806,10576.0,280332719
4073248790,1225797283,12084.0,271629587
3294756499,437139774,2554.0,25663054
469630931,1741873264,17463.0,197914200
441141806,1650921346,9481.0,256237012
461981061,1278576926,10737.0,315019191
250632577,409552776,18806.0,264712950
2472182776,305114210,6271.0,94348247
276190071,1584003327,6182.0,80168245
1104839361,3413673353,16804.0,211665697
287717013,493665600,10660.0,88781617
748870332,1117387803,12587.0,148125506
95211962,638770343,6989.0,85004115
1606529941,3463729030,1747.0,2834619
244976213,576931255,19039.0,202982984
1015158307,3201583758,1700.0,11144060
535622086,3278925502,8460.0,42545012
2814299800,416620353,7292.0,66089450
4618201463,295340274,3182.0,39611133
1191832168,112642274,19563.0,224086871
281935579,2552650375,7449.0,151519540
5164854753,297149643,16559.0,254660027
2859387755,1183409055,10906.0,140590733
321343935,1681745525,14955.0,199489036
403797109,295078105,12263.0,224631662
2332713463,891107007,14788.0,159698035
1327822381,30362597,14620.0,305216330
