Source,Target,Distance,ExecutionTime
313547069,2785921971,14635.0,322620798
2446832759,1456334002,7275.0,77927934
33179536,249579713,15014.0,240558053
1173097999,253424754,9347.0,152099350
301648098,3273043879,6926.0,145175398
1806911124,372415379,7685.0,184451054
3619147632,1172802487,13343.0,385269066
299612745,1698474403,14679.0,509293170
901223909,412516150,12663.0,219920327
3072297732,147687,2279.0,12737448
2990364121,280349131,10354.0,196263704
4582917959,1770308739,1567.0,17938068
413477699,248158044,14249.0,239961970
1125704309,2647280659,4970.0,92252705
344579878,1165968994,14742.0,418612073
267196839,5390694752,13946.0,402490309
271437677,270728228,9836.0,188885552
2514867577,4489783007,3485.0,37249212
1124844555,302297292,6831.0,121029677
3835639505,532330636,14639.0,395502804
1635179451,1300111852,5296.0,61712202
4428135873,419127258,4338.0,41651729
1173150339,3470915575,10511.0,170426237
125526229,1510710706,17061.0,382824167
3110160826,1986565045,12456.0,339556599
2318000095,3444930917,14570.0,344462035
1185709240,3507184442,3805.0,38930942
84874947,263689462,10623.0,213590657
5141094677,1782944359,17320.0,320933357
4371325115,699573771,6632.0,121632049
436091846,3306705709,4901.0,87880101
484275522,631973254,9710.0,226327150
294859005,1127157083,4813.0,72461825
2291207613,445758491,8743.0,109796508
4045655960,1415568997,13876.0,332116897
3955797449,2515578227,14684.0,386207618
1546456065,57231398,3530.0,59400110
1369169680,3234052308,13552.0,380581099
1272485201,4496484397,14113.0,363769864
5062655936,4706296620,8074.0,170537755
2083150433,1546348540,16693.0,344137510
3770730380,30362667,20851.0,389869251
1224665046,2348276391,10151.0,308371608
1414903307,3413812431,11915.0,123630076
318593689,278798620,7133.0,75324024
1275874251,3190136387,14885.0,342674235
1377817109,1489014699,9182.0,229765086
420340129,1573784344,7877.0,99085797
201409948,1841938018,15878.0,349230110
1157373346,286546210,12075.0,193713104
1600966664,3679040488,17374.0,436443146
1569970557,1607236627,4929.0,61613822
268226473,367041228,1009.0,7450037
1722851933,202398128,1989.0,39776055
1322905230,3421048242,15884.0,410218571
1166545720,471531763,6339.0,103326452
1709787479,303796213,6443.0,82413734
1607236563,257675798,2378.0,21288618
260996239,494616321,3331.0,60264753
283125763,1332270178,8878.0,127703849
1130992717,305578624,6032.0,76195780
1895349063,1562872922,6678.0,69448555
3413821700,687886,13702.0,336315135
211493653,1549344322,3110.0,36279518
1311891859,4355220966,15087.0,331265338
2640834842,4513048376,24364.0,313851702
3942505768,4943891424,17182.0,387569348
261027971,1117161696,7588.0,162307757
4874447723,2070600313,4591.0,71678049
278781447,2590120758,9085.0,64811125
3811629755,301862206,12514.0,195192408
3255454572,100228598,15988.0,375605212
316479035,1326930059,18429.0,476543141
4677251586,2070831095,4920.0,66720981
1117133222,30789848,11442.0,216461930
1939538473,1446413294,10974.0,152627439
4512751278,1273584645,18341.0,464245661
