Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,13395583
30786686,3561925128,1795.0,54934292
1167050747,3474815775,3.0,3373708
1098410718,189103626,18.0,1470250
878843805,2188587218,18.0,1509833
347648682,347648645,6.0,1474792
288003332,817071386,0.0,1399875
4777035144,4777035132,25.0,1410208
278690098,278690102,12.0,1362291
2423904642,846225486,4.0,1417958
57736426,57736424,0.0,1528334
34003491,148576,9.0,1414167
280966327,280966326,1.0,1388167
830406507,2252084409,10.0,1421292
1025348440,211451376,5.0,1436959
3856515303,3856515304,0.0,1415875
31233441,1397032132,49.0,1455084
4988046788,899288875,66.0,1404834
601064752,631127611,132.0,475917
4775916148,4775916144,3.0,399375
2406293476,2177114818,6.0,584042
846266931,846266950,156.0,1528500
2836516822,2836516806,2.0,1595208
1177625384,1177625523,42.0,1566875
4963938,3319951435,16.0,1571625
414977900,256611908,270.0,1887333
2427958884,411309489,3.0,1480958
1569406320,313927636,2.0,1372667
1177205012,1177204733,5.0,1397667
406205181,1317144140,3.0,1461083
770356593,1192937687,9.0,1373583
1547028698,2266581310,58.0,1380083
287827029,287827024,32.0,588458
280669633,280669612,15.0,361167
1895237831,1956561478,1.0,322959
282024969,282024968,6.0,486167
1641008322,1634439706,3.0,687167
1579844272,476802512,29.0,664875
1137667257,1137671091,20.0,716750
122263255,1605533535,6.0,353125
3051838200,1185456926,2.0,647166
4550158777,70382186,2.0,573750
312322218,312322217,33.0,571458
1866859973,278304695,8.0,595291
270137097,3101569691,0.0,592416
4894534144,4894534145,0.0,417292
1240029150,601714262,3.0,777500
1674911735,1316569391,3.0,331667
538493950,1116319530,2.0,328291
262192611,428876547,0.0,334667
154467827,1029665293,1.0,634958
955777682,1129769031,0.0,685542
1224605981,3309503255,6.0,602834
271334256,1031000956,43.0,635083
1026646096,1033921634,7.0,685334
287028957,1795825751,2.0,330166
1903826755,59988834,12.0,708708
1177248529,3781137149,59.0,645584
2944187718,1540470274,4.0,686792
1693843779,1693843780,3.0,574000
418355456,416002657,1.0,332292
1756570065,481014631,38.0,696625
1610621369,527257933,1.0,685375
698563787,1932865036,4.0,690125
1142907640,1142907636,1.0,680958
264135754,264135755,1.0,592709
442497980,442497976,12.0,333250
4516983427,4516983437,2.0,589208
1098298647,1098328722,0.0,593500
420340328,3156777657,1.0,704583
3110806232,3110806236,18.0,701458
1884166887,2485455779,1.0,583250
1151211696,1324014126,19.0,606500
4931199846,4931291126,8.0,704417
836916550,836916548,19.0,594083
1420937013,30434716,5.0,334625
250667414,277532631,341.0,881833
979212092,105001014,2.0,337750
59658543,29785815,0.0,603500
1358293579,1011210988,19.0,596542
2252204073,111774867,1.0,595083
1144279787,3887510216,2.0,442875
258376294,2070275682,34.0,594417
711821247,711821236,0.0,593208
5164025655,1731032,0.0,659584
1354118930,2323969688,19.0,630792
735026514,735026763,3.0,670250
3719728498,3719728502,9.0,664541
2164239990,2520774459,9.0,685292
3036749179,3037095905,1.0,674166
364173255,364173253,2.0,678875
1137729690,4547701576,1.0,40780292
348151689,1605618546,1.0,941542
1100808184,1100808178,6.0,784000
4992435172,2902862493,11.0,507791
4610593095,891562459,3.0,776000
1131547257,1131546575,13.0,933209
2491636910,2491636905,4.0,602792
2228877989,391823829,5.0,1079084
1680790043,286990983,5.0,1352750
834653578,1820089290,23.0,1313084
343694198,343694200,4.0,1430334
3922834049,4945269317,13.0,1303666
3576666061,1212697565,4.0,956500
280104002,803845363,5.0,778917
189066425,1088774925,0.0,876667
292825428,5114682723,5.0,838000
393763936,576698557,110.0,866375
415890839,3212642018,1.0,865667
2426004420,778168987,82.0,885959
255711721,255711677,4.0,710000
1989609815,1222389246,9.0,869792
1935666604,113580947,7.0,1000375
3202406182,3202406181,9.0,813000
4414599007,340467191,4.0,883042
1106542617,1083492412,11.0,748125
4906190708,4906190703,0.0,904250
14706539,4776993694,5.0,1063834
300810938,4285001508,2.0,536250
4561759675,323277879,1.0,732459
1142784181,1456754073,55.0,968875
1568361230,4503168361,18.0,761208
294740945,294740970,0.0,698208
1241040787,1597663398,13.0,679416
2566330172,1137629783,173.0,1222458
412768132,412768133,2.0,334500
2951515360,4053173622,5.0,6780542
628589,628588,22.0,338083
1135375561,253430148,25.0,650292
3753256328,1825657555,23.0,639000
460482682,31226353,16.0,953083
3899315069,3899308856,1.0,777958
290185021,945733545,283.0,1016833
1267575626,306246555,28.0,680917
3899308852,2318091887,0.0,835292
601098374,601098365,2.0,801583
393763935,3667721600,17.0,668500
1798729248,3730757897,3.0,901209
417654979,1307130637,30.0,728792
4619249185,4619249186,0.0,734250
4442947433,623603021,1.0,746833
117862,1507919083,41.0,877958
1419457610,69085823,13.0,1049000
3471083377,3073204552,0.0,546833
27162938,3619147921,0.0,741334
295078124,575399,9.0,943709
1688521853,1622412454,29.0,718708
1303959405,2942632883,1.0,726708
1085344870,467076983,255.0,971041
251740557,3608573939,0.0,678167
1089372516,3965923661,14.0,674833
5166902110,301898845,3.0,851833
270128659,270128657,2.0,857416
277802669,4266373891,4.0,689667
3424970511,3424970509,1.0,697583
261751057,1139155615,11.0,697208
4497055770,1178885501,6.0,701625
313548437,467072585,215.0,950542
318710646,318710115,128.0,709417
3276551699,503255562,1.0,674917
4862562005,4589990390,5.0,793292
427756148,427756146,3.0,805292
1138051459,3504817344,1.0,562667
4376102653,4376102651,11.0,2083875
2430923138,1362853824,1.0,1052250
725895284,1907362662,14.0,561667
4618134311,699583699,14.0,645500
611662319,611662324,0.0,500917
1330938480,2513659711,3.0,684834
2222287194,1201758789,2.0,471750
1789609000,17710403,14.0,654333
2603833712,2603833710,0.0,541500
4142243489,310656734,4.0,501833
2897815904,2897815919,0.0,536958
308660180,308661844,4.0,644958
1102888950,5226088018,9.0,480625
891107013,891107011,1.0,504375
256187585,256187586,4.0,339166
1557577858,271075011,5.0,498125
27534937,2368290242,3.0,661750
4927446742,670733455,2.0,814750
999553033,999553041,0.0,492375
