Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,14118833
30786686,3561925128,1795.0,57327834
1167050747,3474815775,3.0,1539917
1098410718,189103626,18.0,1489125
878843805,2188587218,18.0,1507291
347648682,347648645,6.0,1514250
288003332,817071386,0.0,1583834
4777035144,4777035132,25.0,1599875
278690098,278690102,12.0,1471375
2423904642,846225486,4.0,1528208
57736426,57736424,0.0,1609583
34003491,148576,9.0,1635125
280966327,280966326,1.0,1542584
830406507,2252084409,10.0,1596625
1025348440,211451376,5.0,1077042
3856515303,3856515304,0.0,406500
31233441,1397032132,49.0,330667
4988046788,899288875,66.0,335958
601064752,631127611,132.0,761542
4775916148,4775916144,3.0,319208
2406293476,2177114818,6.0,664167
846266931,846266950,156.0,595625
2836516822,2836516806,2.0,579625
1177625384,1177625523,42.0,601750
4963938,3319951435,16.0,322750
414977900,256611908,270.0,1129750
2427958884,411309489,3.0,321792
1569406320,313927636,2.0,323250
1177205012,1177204733,5.0,812125
406205181,1317144140,3.0,319708
770356593,1192937687,9.0,570416
1547028698,2266581310,58.0,701667
287827029,287827024,32.0,329125
280669633,280669612,15.0,576125
1895237831,1956561478,1.0,667708
282024969,282024968,6.0,661416
1641008322,1634439706,3.0,675250
1579844272,476802512,29.0,683792
1137667257,1137671091,20.0,688958
122263255,1605533535,6.0,666334
3051838200,1185456926,2.0,691500
4550158777,70382186,2.0,422458
312322218,312322217,33.0,634167
1866859973,278304695,8.0,640958
270137097,3101569691,0.0,466125
4894534144,4894534145,0.0,324792
1240029150,601714262,3.0,653041
1674911735,1316569391,3.0,643333
538493950,1116319530,2.0,648125
262192611,428876547,0.0,888917
154467827,1029665293,1.0,648291
955777682,1129769031,0.0,609500
1224605981,3309503255,6.0,625291
271334256,1031000956,43.0,656500
1026646096,1033921634,7.0,956417
287028957,1795825751,2.0,491584
1903826755,59988834,12.0,655208
1177248529,3781137149,59.0,681167
2944187718,1540470274,4.0,901208
1693843779,1693843780,3.0,646833
418355456,416002657,1.0,653833
1756570065,481014631,38.0,1108542
1610621369,527257933,1.0,627958
698563787,1932865036,4.0,511709
1142907640,1142907636,1.0,333500
264135754,264135755,1.0,657500
442497980,442497976,12.0,665042
4516983427,4516983437,2.0,625250
1098298647,1098328722,0.0,654375
420340328,3156777657,1.0,648417
3110806232,3110806236,18.0,655000
1884166887,2485455779,1.0,1003542
1151211696,1324014126,19.0,655209
4931199846,4931291126,8.0,669667
836916550,836916548,19.0,1006208
1420937013,30434716,5.0,661708
250667414,277532631,341.0,36315416
979212092,105001014,2.0,647417
59658543,29785815,0.0,818041
1358293579,1011210988,19.0,864250
2252204073,111774867,1.0,620667
1144279787,3887510216,2.0,938500
258376294,2070275682,34.0,1582583
711821247,711821236,0.0,1264291
5164025655,1731032,0.0,697625
1354118930,2323969688,19.0,815000
735026514,735026763,3.0,961375
3719728498,3719728502,9.0,802542
2164239990,2520774459,9.0,815208
3036749179,3037095905,1.0,2504166
364173255,364173253,2.0,330542
1137729690,4547701576,1.0,325791
348151689,1605618546,1.0,326333
1100808184,1100808178,6.0,608750
4992435172,2902862493,11.0,850875
4610593095,891562459,3.0,1143292
1131547257,1131546575,13.0,870250
2491636910,2491636905,4.0,904667
2228877989,391823829,5.0,831750
1680790043,286990983,5.0,792792
834653578,1820089290,23.0,852500
343694198,343694200,4.0,876042
3922834049,4945269317,13.0,4186000
3576666061,1212697565,4.0,531208
280104002,803845363,5.0,880209
189066425,1088774925,0.0,613084
292825428,5114682723,5.0,713708
393763936,576698557,110.0,577458
415890839,3212642018,1.0,542542
2426004420,778168987,82.0,987417
255711721,255711677,4.0,726000
1989609815,1222389246,9.0,469167
1935666604,113580947,7.0,339000
3202406182,3202406181,9.0,332000
4414599007,340467191,4.0,332250
1106542617,1083492412,11.0,641209
4906190708,4906190703,0.0,649875
14706539,4776993694,5.0,662541
300810938,4285001508,2.0,672208
4561759675,323277879,1.0,679667
1142784181,1456754073,55.0,705125
1568361230,4503168361,18.0,517083
294740945,294740970,0.0,694458
1241040787,1597663398,13.0,692791
2566330172,1137629783,173.0,751167
412768132,412768133,2.0,509417
2951515360,4053173622,5.0,821584
628589,628588,22.0,654416
1135375561,253430148,25.0,509083
3753256328,1825657555,23.0,828458
460482682,31226353,16.0,661625
3899315069,3899308856,1.0,660083
290185021,945733545,283.0,743041
1267575626,306246555,28.0,667959
3899308852,2318091887,0.0,584167
601098374,601098365,2.0,837583
393763935,3667721600,17.0,524333
1798729248,3730757897,3.0,712083
417654979,1307130637,30.0,614083
4619249185,4619249186,0.0,621375
4442947433,623603021,1.0,654666
117862,1507919083,41.0,726833
1419457610,69085823,13.0,804792
3471083377,3073204552,0.0,1581583
27162938,3619147921,0.0,1466750
295078124,575399,9.0,1444250
1688521853,1622412454,29.0,2054583
1303959405,2942632883,1.0,467541
1085344870,467076983,255.0,654416
251740557,3608573939,0.0,498458
1089372516,3965923661,14.0,533917
5166902110,301898845,3.0,511958
270128659,270128657,2.0,556667
277802669,4266373891,4.0,322916
3424970511,3424970509,1.0,567250
261751057,1139155615,11.0,570500
4497055770,1178885501,6.0,820708
313548437,467072585,215.0,606625
318710646,318710115,128.0,578625
3276551699,503255562,1.0,568834
4862562005,4589990390,5.0,576917
427756148,427756146,3.0,817875
1138051459,3504817344,1.0,576541
4376102653,4376102651,11.0,592875
2430923138,1362853824,1.0,580208
725895284,1907362662,14.0,791167
4618134311,699583699,14.0,558250
611662319,611662324,0.0,577459
1330938480,2513659711,3.0,578167
2222287194,1201758789,2.0,757917
1789609000,17710403,14.0,525000
2603833712,2603833710,0.0,559667
4142243489,310656734,4.0,842500
2897815904,2897815919,0.0,575416
308660180,308661844,4.0,588750
1102888950,5226088018,9.0,590583
891107013,891107011,1.0,779125
256187585,256187586,4.0,1442333
1557577858,271075011,5.0,1563042
27534937,2368290242,3.0,1464500
4927446742,670733455,2.0,1565209
999553033,999553041,0.0,1471709
845941522,1362961479,3.0,1464917
7307330,5073976626,2.0,1508625
263492346,263492344,3.0,1476125
252121719,252121721,5.0,1428917
974277017,474432491,19.0,1500084
259095691,259095690,1.0,1445916
49552580,49552601,193.0,1472000
1485266568,26656266,4.0,1445041
263468661,263468660,97.0,1438833
4065647131,264407735,0.0,1402334
1080747653,1080747648,8.0,1518708
1178981516,254359153,2.0,1470125
3415670130,7862320,6.0,1463250
757330775,761193595,8.0,1518292
4616939279,1931046925,2.0,1434542
322505924,3447426225,0.0,1530708
5266326962,3190180306,1.0,1535333
5406520329,1276512473,9.0,1561166
3256193181,3256193186,14.0,1539458
1094818761,5166093868,8.0,1520833
3256442315,399682649,13.0,1482541
2310196342,4959353761,0.0,1452292
527339119,264519026,7.0,1446750
281286096,4579184897,1.0,1459667
282172032,1776412498,2.0,1464917
2512161962,435058668,4.0,1533292
1607294916,1607294912,43.0,1592834
2447574651,4897193402,5.0,1724959
2345462110,2345462114,11.0,1585625
3188874865,1144142790,3.0,1734000
249461207,249461206,2.0,1575417
283316364,3576414426,53.0,1557459
252646552,1170483607,373.0,1602375
2272963562,835192464,83.0,1442250
1563352574,310777599,37.0,1513709
292343400,2455189286,0.0,1514792
1103788268,1103788281,5.0,1442208
532365016,532365018,3.0,1558250
526681153,526681155,0.0,1460291
4552659397,339016437,0.0,1474291
2817821557,4787717608,13.0,1466416
349331210,349331104,12.0,1467084
2423817488,1173024188,32.0,1983291
482553419,11429937,3.0,1717792
1179228261,3126114060,12.0,27964917
3116356595,3116356596,5.0,612708
1105115411,2287267279,19.0,536708
266969964,2476592565,37.0,378250
2669237598,298885273,4.0,540333
4870356502,2488791322,28.0,687583
282951698,287825053,42.0,1526791
235271518,2448358008,1.0,1370250
4679034255,66515582,1.0,1475125
25248653,4669043041,3.0,768750
280735943,3289962466,3.0,951042
1069105909,1069104308,5.0,729917
429970892,429970893,2.0,901833
2304945881,2304945882,1.0,720084
3421048211,3421048212,3.0,740417
3351572549,3351572526,2.0,960291
746869011,746869002,53.0,703084
2251041036,265553461,5.0,749250
252110629,252110628,3.0,914250
426957814,71688336,9.0,734833
1877830930,1877830923,0.0,1026916
148592,4186939070,14.0,768166
2062344379,1094548304,3.0,814709
1138826764,1633778080,1.0,948125
2984448212,450148201,1.0,778917
1205912849,2396139078,20.0,965833
2430184139,2430184102,2.0,801416
4928999182,3904868120,4.0,843084
3440082606,614606063,4.0,621292
402506847,4439058300,1.0,854541
525791071,278759680,22.0,757667
1259908814,32347877,1.0,656125
820384946,570454,0.0,653041
252091518,252087865,0.0,675417
4710489749,60114814,48.0,803000
252818848,252818847,4.0,769708
1349411938,2149103666,10.0,662208
251692720,4846382792,0.0,657250
224661575,224661555,0.0,652709
3285692985,252579939,1.0,702750
3783304759,776247813,6.0,759125
4458901127,1195418080,14.0,756041
411718865,411718864,2.0,686542
251455285,273524144,11.0,856500
3900742492,366529842,40.0,661750
271806290,271806295,92.0,789792
493788467,1511764718,39.0,797916
260958039,2696704453,8.0,755625
259983875,259983870,11.0,840917
1051183782,3054294182,0.0,5024416
2282942813,347636820,1.0,342041
307977171,4127902427,4.0,546250
5235390881,5235390882,0.0,781000
1100458192,1100414883,7.0,761708
101527686,319089348,12.0,765084
274872995,1802532352,2.0,891167
2401927119,300810258,160.0,765625
5098046367,5098012455,4.0,719166
4231043583,4231043587,2.0,780167
1366782141,2863263444,0.0,809917
1126886348,1126828799,11.0,883542
639306125,3258110082,1.0,838125
1351900596,1114488528,9.0,816167
1082554601,1082554945,10.0,545417
1139778049,1943252580,8.0,876834
2173250057,280094696,4.0,990916
321577054,1714665641,19.0,646542
1272488581,3673169071,25.0,665750
3008400371,417180961,17.0,797500
1364115591,4709023752,47.0,568875
265446419,1212697027,4.0,884500
8137845,1133135680,38.0,859291
3021087779,301641141,4.0,541917
5033267144,5033267080,3.0,1040792
286465624,286465619,3.0,915792
265565539,265565536,22.0,599667
4578378417,4578378423,22.0,839708
743157923,4449915601,6.0,848958
3873082570,275558337,2.0,678792
1138793047,1388883773,19.0,714250
322749847,2874534650,7.0,971291
1588764065,1591362137,15.0,562375
261023096,261023109,11.0,848584
1097740359,660913707,3.0,833625
1749843204,454317860,2.0,633667
1205836843,1814613361,186.0,694416
412188822,5056697617,623.0,1297458
2604498865,4881455023,1.0,643333
4729733176,4729733172,7.0,631292
1283394820,2912701483,1.0,789708
4408416946,266990048,411.0,1506417
7646329,375473,12.0,992750
4927515206,340466602,4.0,352125
1270957498,3703204121,3.0,351542
288663609,1893844213,5.0,359625
332303159,332303158,3.0,541666
1137608833,1137608330,12.0,827000
301892093,1591307593,23.0,620375
290643742,290642978,15.0,555125
4906190704,4906190703,0.0,507500
405185172,405185180,87.0,842292
1159750555,1144043008,4.0,513833
1188171921,10682939,42.0,843875
707533277,707533312,42.0,534875
1576177136,2636043427,1.0,828917
631127490,3255541331,1.0,553500
1136713228,2868600888,3.0,583708
3856649877,3856649900,0.0,845583
3470915658,3470915661,4.0,665208
1106118244,1106118253,19.0,556834
241379970,1195430208,58.0,577042
280470832,529851289,31.0,802625
2447531705,4443384461,5.0,562083
1173098335,1173097754,132.0,595333
124427507,2571512741,94.0,637792
636098,636096,8.0,575917
1517092787,2265557902,27.0,527042
321540084,1230775290,557.0,767792
1128835183,2418712900,4.0,579208
417696494,417182319,294.0,681667
2652293261,2652293262,7.0,513834
4888229011,356723139,1.0,548208
2484999017,3522018730,18.0,536167
4977352712,2452435732,81.0,793792
8783316,287820299,10.0,583167
295078343,295078124,29.0,600208
266661252,247761569,0.0,584458
383887111,383887109,7.0,585417
4778520363,4778520361,2.0,809667
75700704,254495732,14.0,578750
1746338957,5012577224,0.0,591250
4898272761,4898137533,0.0,589500
376877057,376877559,1.0,588250
2501560211,1506176513,7.0,826792
317204467,1151892050,11.0,537625
112351186,411666511,10.0,514042
1306054389,1305043180,6.0,946167
1693472109,1693472105,1.0,836667
103097321,4141462764,4.0,579500
1631512946,1631512940,3.0,768167
703310323,703310325,1.0,498375
1104839790,1104839556,2.0,1104500
288100472,1622593710,21.0,545667
1605638219,1105542814,53.0,500458
4958134126,1212697592,31.0,544667
2304195248,846266697,1635.0,8056042
401504118,401504121,4.0,573083
1073343829,1073343501,6.0,537083
418053024,418053021,9.0,497959
456214665,2588002963,9.0,543000
2352143072,4859643211,14.0,520375
30564157,2957130053,0.0,826791
466191887,4539681900,5.0,812708
1507057071,1636804620,20.0,853250
2349103758,2349103757,4.0,772500
1103236100,3361469536,19.0,993708
1142743885,1939435675,3.0,914833
413696715,667099476,6.0,790541
291324798,1907942951,1.0,831834
1947947109,2319423418,2.0,975875
97755618,97755620,5.0,844750
3235286370,3235286369,1.0,994375
865168139,420706182,18.0,801875
603978151,27137174,17.0,785541
3069734301,3079656676,11.0,981292
1591375109,2388534942,4.0,1566250
1297531561,1297531348,6.0,348792
945002403,945002405,16.0,651417
878559955,4326906729,11.0,1556917
30379281,3145453499,1.0,1588833
547051411,547051403,0.0,1613167
2216734620,2985914873,2.0,1562375
1459320895,1457978618,34.0,1626500
1179228598,1179228356,5.0,1759000
262160666,3788741873,1.0,1549583
1179939037,1179939041,15.0,1623000
1599167844,3942844557,17.0,1607542
3921566729,3923207142,0.0,1639833
2232329151,2232329399,0.0,1695709
4550074395,331047907,20.0,1633833
1493772712,1173061162,10.0,1606459
31818761,1467992176,18.0,1610000
301646921,2951515349,1882.0,8685209
1127736470,277453694,7.0,1618083
460404187,2330272528,0.0,1619166
1139548313,4862554251,6.0,1529709
95211949,5166024991,648.0,2314959
291818170,291817950,15.0,1643458
2562601598,2562601600,4.0,1683167
1582402440,1582402444,5.0,1670625
1349527090,34002206,3.0,1736208
2588080717,2588080719,2.0,1609708
3966795346,283545934,37.0,1559000
301894469,1303607837,2.0,1761417
1999302891,1999302890,10.0,1669334
5418042604,4841379688,19.0,1763792
525853726,525853673,4.0,1749792
1116820285,2394747319,11.0,1637083
128653314,128653241,584.0,2198791
2587389684,1194445719,2.0,1589291
147459,698680,293.0,3402708
4194608740,95377957,167.0,3031459
4598177777,1948043684,8.0,32188708
582115243,2558013680,2.0,342167
1691752493,251077041,4.0,898834
2513069393,305572936,2.0,332291
262365002,1278617780,4.0,412458
1484659122,1484659128,10.0,1591750
1351279914,106443098,1037.0,4881334
312294319,310769260,6.0,437667
1274080960,310603652,0.0,894625
3897617201,2415308734,9.0,331416
1311826215,1250570649,7.0,336000
2321523175,3640492758,6.0,331459
1433898503,469136560,1.0,825917
2269048583,1506783187,74.0,819209
1254607989,1412503588,5.0,864875
