Source,Target,Distance,ExecutionTime
1227768026,3134845130,14396.0,182250875
3134845130,568477969,6866.0,59861708
568477969,293386293,12509.0,174532792
293386293,626489051,12984.0,233698917
626489051,2645258420,4555.0,42732458
2645258420,3165346015,2866.0,11386875
3165346015,3474304321,6174.0,67358875
3474304321,308669583,7397.0,85708000
308669583,3495305429,13020.0,213459209
3495305429,1181097009,15787.0,252908667
1181097009,1573156051,1125.0,2211250
1573156051,1659136387,13919.0,227368958
1659136387,1513167223,12284.0,174117875
1513167223,928548929,7326.0,70114167
928548929,463314955,7141.0,48899875
463314955,369485599,7748.0,64327292
369485599,3644916902,4845.0,37322292
3644916902,717727794,5123.0,36206417
717727794,1708692197,10484.0,95660833
1708692197,1578752101,6027.0,29931166
1578752101,528730637,15128.0,235815750
528730637,3489341617,15362.0,235911667
3489341617,420223458,2512.0,9169791
420223458,1255825351,6913.0,63324500
1255825351,1213393900,2621.0,8197750
1213393900,97878153,13052.0,119874958
97878153,492563711,7454.0,72705209
492563711,638770372,4628.0,34706708
638770372,1122628697,8902.0,78227542
1122628697,429966768,19420.0,211826334
429966768,1026047297,7082.0,50652208
1026047297,4694141591,5563.0,46345875
4694141591,5403417405,873.0,7644083
5403417405,3467073562,1181.0,8690959
3467073562,1022919708,9810.0,185797541
1022919708,523226233,6224.0,73194167
523226233,2062877568,13913.0,203921000
2062877568,322754971,18386.0,150760334
322754971,1084953139,10319.0,38793250
1084953139,392270446,8398.0,49850292
392270446,1884166974,16449.0,183509209
1884166974,4187282207,16793.0,215962458
4187282207,1599630739,16319.0,220451292
1599630739,26385769,1655.0,13427542
26385769,1654879481,17066.0,181402667
1654879481,279832520,11619.0,64074250
279832520,1751822641,6872.0,41131834
1751822641,1137710789,890.0,2912125
1137710789,412540101,15826.0,208284209
412540101,2284926589,1066.0,8073250
2284926589,125526549,3455.0,30406375
125526549,252634823,17623.0,210830209
252634823,1806539479,6219.0,29417625
1806539479,1561585898,9194.0,86789709
1561585898,2916175160,3953.0,31941709
2916175160,254157650,1194.0,6253917
254157650,4929252245,10915.0,181664458
4929252245,1131555622,15967.0,198870083
1131555622,31405343,8574.0,45046541
31405343,496033229,5469.0,36644708
496033229,4847381585,11824.0,134397208
4847381585,1299751433,14575.0,178498125
1299751433,2371627047,12757.0,88929834
2371627047,1179514349,4140.0,7989000
1179514349,224554442,4647.0,17203334
224554442,5274047931,16252.0,175715292
5274047931,5404229644,16611.0,197182959
5404229644,1130852293,12714.0,146011417
1130852293,1886962556,12323.0,111703334
1886962556,4033761566,15361.0,134673250
4033761566,1973730885,1182.0,9171875
1973730885,4577881715,18234.0,188814167
4577881715,1188858232,3492.0,3088167
1188858232,257402504,21838.0,204936375
257402504,3811697220,13345.0,217571333
3811697220,282951744,574.0,1496208
282951744,281411644,4795.0,29518667
281411644,4740482718,10576.0,110269542
4740482718,1130851583,6392.0,50295500
1130851583,798153028,10675.0,136068417
798153028,435122243,12821.0,184324458
435122243,2603833703,12300.0,185615084
2603833703,1279123515,12799.0,190999584
1279123515,318236646,19958.0,175610917
318236646,98204152,19382.0,179076250
98204152,4785284399,11172.0,162477167
4785284399,1427753603,6715.0,60404958
1427753603,1602656849,5438.0,30072000
1602656849,2218328577,12042.0,142963167
2218328577,1131370288,13734.0,117610917
1131370288,1592207388,6946.0,45334708
1592207388,3356967729,3974.0,18789667
3356967729,25920355,18024.0,196999625
25920355,94049639,1054.0,9864125
94049639,3309825631,13965.0,199961125
