Source,Target,Distance,ExecutionTime
294240220,1122407744,54.0,15018000
30786686,3561925128,1795.0,19301542
1167050747,3474815775,3.0,2913125
1098410718,189103626,18.0,3221833
878843805,2188587218,18.0,3750875
347648682,347648645,6.0,4401583
288003332,817071386,0.0,6771834
4777035144,4777035132,25.0,4352083
278690098,278690102,12.0,1937667
2423904642,846225486,4.0,2731125
57736426,57736424,0.0,3617416
34003491,148576,9.0,1873584
280966327,280966326,1.0,1735833
830406507,2252084409,10.0,1890875
1025348440,211451376,5.0,2460958
3856515303,3856515304,0.0,778583
31233441,1397032132,49.0,756500
4988046788,899288875,66.0,728875
601064752,631127611,132.0,870500
4775916148,4775916144,3.0,1245833
2406293476,2177114818,6.0,986667
846266931,846266950,156.0,712958
2836516822,2836516806,2.0,724708
1177625384,1177625523,42.0,765833
4963938,3319951435,16.0,688167
414977900,256611908,270.0,1082083
2427958884,411309489,3.0,780125
1569406320,313927636,2.0,715250
1177205012,1177204733,5.0,718167
406205181,1317144140,3.0,804375
770356593,1192937687,9.0,759583
1547028698,2266581310,58.0,703375
287827029,287827024,32.0,743500
280669633,280669612,15.0,697833
1895237831,1956561478,1.0,696541
282024969,282024968,6.0,744833
1641008322,1634439706,3.0,706500
1579844272,476802512,29.0,722167
1137667257,1137671091,20.0,835458
122263255,1605533535,6.0,737083
3051838200,1185456926,2.0,771417
4550158777,70382186,2.0,728792
312322218,312322217,33.0,726542
1866859973,278304695,8.0,36785625
270137097,3101569691,0.0,2685250
4894534144,4894534145,0.0,2332167
1240029150,601714262,3.0,6243084
1674911735,1316569391,3.0,2517083
538493950,1116319530,2.0,1492583
262192611,428876547,0.0,2040208
154467827,1029665293,1.0,635959
955777682,1129769031,0.0,792834
1224605981,3309503255,6.0,788459
271334256,1031000956,43.0,639125
1026646096,1033921634,7.0,608667
287028957,1795825751,2.0,607250
1903826755,59988834,12.0,624959
1177248529,3781137149,59.0,707958
2944187718,1540470274,4.0,888125
1693843779,1693843780,3.0,896792
418355456,416002657,1.0,625667
1756570065,481014631,38.0,904833
1610621369,527257933,1.0,938750
698563787,1932865036,4.0,932833
1142907640,1142907636,1.0,609250
264135754,264135755,1.0,608750
442497980,442497976,12.0,945709
4516983427,4516983437,2.0,930875
1098298647,1098328722,0.0,1274625
420340328,3156777657,1.0,622208
3110806232,3110806236,18.0,619667
1884166887,2485455779,1.0,620708
1151211696,1324014126,19.0,621500
4931199846,4931291126,8.0,925375
836916550,836916548,19.0,1546041
1420937013,30434716,5.0,3199458
250667414,277532631,341.0,4376750
979212092,105001014,2.0,3681667
59658543,29785815,0.0,4115917
1358293579,1011210988,19.0,3813042
2252204073,111774867,1.0,4421500
1144279787,3887510216,2.0,4994333
258376294,2070275682,34.0,5431500
711821247,711821236,0.0,4249125
5164025655,1731032,0.0,4665375
1354118930,2323969688,19.0,2334791
735026514,735026763,3.0,1717334
3719728498,3719728502,9.0,2038834
2164239990,2520774459,9.0,1059125
3036749179,3037095905,1.0,1175334
364173255,364173253,2.0,883208
1137729690,4547701576,1.0,605000
348151689,1605618546,1.0,701125
1100808184,1100808178,6.0,750875
4992435172,2902862493,11.0,709541
4610593095,891562459,3.0,736666
1131547257,1131546575,13.0,714833
2491636910,2491636905,4.0,702500
2228877989,391823829,5.0,688000
1680790043,286990983,5.0,732000
834653578,1820089290,23.0,1217125
343694198,343694200,4.0,4224750
3922834049,4945269317,13.0,8233834
3576666061,1212697565,4.0,5121583
280104002,803845363,5.0,4376542
189066425,1088774925,0.0,4345834
292825428,5114682723,5.0,4173541
393763936,576698557,110.0,4092666
415890839,3212642018,1.0,3597625
2426004420,778168987,82.0,3222000
255711721,255711677,4.0,3061625
1989609815,1222389246,9.0,3967584
1935666604,113580947,7.0,4088250
3202406182,3202406181,9.0,4208167
4414599007,340467191,4.0,5000084
1106542617,1083492412,11.0,4178208
4906190708,4906190703,0.0,4247500
14706539,4776993694,5.0,4222791
300810938,4285001508,2.0,4083625
4561759675,323277879,1.0,12991833
1142784181,1456754073,55.0,35680292
1568361230,4503168361,18.0,44739291
294740945,294740970,0.0,1510583
1241040787,1597663398,13.0,2143541
2566330172,1137629783,173.0,2002875
412768132,412768133,2.0,1432875
2951515360,4053173622,5.0,1740583
628589,628588,22.0,1189083
1135375561,253430148,25.0,798500
3753256328,1825657555,23.0,972000
460482682,31226353,16.0,975250
3899315069,3899308856,1.0,735542
290185021,945733545,283.0,1353250
1267575626,306246555,28.0,2010416
3899308852,2318091887,0.0,642458
601098374,601098365,2.0,2180500
393763935,3667721600,17.0,1040125
1798729248,3730757897,3.0,1085417
417654979,1307130637,30.0,1029125
4619249185,4619249186,0.0,1807459
4442947433,623603021,1.0,2419084
117862,1507919083,41.0,634208
1419457610,69085823,13.0,629542
3471083377,3073204552,0.0,672958
27162938,3619147921,0.0,670792
295078124,575399,9.0,636750
1688521853,1622412454,29.0,653625
1303959405,2942632883,1.0,639916
1085344870,467076983,255.0,772250
251740557,3608573939,0.0,666583
1089372516,3965923661,14.0,1407625
5166902110,301898845,3.0,2566334
270128659,270128657,2.0,3040417
277802669,4266373891,4.0,5838250
3424970511,3424970509,1.0,6497709
261751057,1139155615,11.0,2228291
4497055770,1178885501,6.0,3294291
313548437,467072585,215.0,2983166
318710646,318710115,128.0,1858208
3276551699,503255562,1.0,2163917
4862562005,4589990390,5.0,2117125
427756148,427756146,3.0,2398791
1138051459,3504817344,1.0,2465416
4376102653,4376102651,11.0,2124625
2430923138,1362853824,1.0,2192334
725895284,1907362662,14.0,2204959
4618134311,699583699,14.0,2084542
611662319,611662324,0.0,2008625
1330938480,2513659711,3.0,2727625
2222287194,1201758789,2.0,5521250
1789609000,17710403,14.0,5218083
2603833712,2603833710,0.0,4369917
4142243489,310656734,4.0,4057375
2897815904,2897815919,0.0,2951708
308660180,308661844,4.0,770708
1102888950,5226088018,9.0,1312083
891107013,891107011,1.0,897792
256187585,256187586,4.0,1542250
1557577858,271075011,5.0,793917
27534937,2368290242,3.0,603459
4927446742,670733455,2.0,1515792
