Source,Target,Distance,ExecutionTime
313547069,2785921971,14635.0,228456417
2446832759,1456334002,7275.0,59779875
33179536,249579713,15014.0,200010334
1173097999,253424754,9347.0,79884708
301648098,3273043879,6926.0,81861958
1806911124,372415379,7685.0,99319583
3619147632,1172802487,13343.0,196904084
299612745,1698474403,14679.0,171883417
901223909,412516150,12663.0,132177541
3072297732,147687,2279.0,8029250
2990364121,280349131,10354.0,111477583
4582917959,1770308739,1567.0,11613292
413477699,248158044,14249.0,116755333
1125704309,2647280659,4970.0,43306000
344579878,1165968994,14742.0,221659666
267196839,5390694752,13946.0,224658291
271437677,270728228,9836.0,99332833
2514867577,4489783007,3485.0,18096542
1124844555,302297292,6831.0,60711709
3835639505,532330636,14639.0,260964083
1635179451,1300111852,5296.0,34958666
4428135873,419127258,4338.0,24847292
1173150339,3470915575,10511.0,89963542
125526229,1510710706,17061.0,215095625
3110160826,1986565045,12456.0,195384833
2318000095,3444930917,14570.0,212509750
1185709240,3507184442,3805.0,23339125
84874947,263689462,10623.0,112251542
5141094677,1782944359,17320.0,191044125
4371325115,699573771,6632.0,73986958
436091846,3306705709,4901.0,50163792
484275522,631973254,9710.0,124597042
294859005,1127157083,4813.0,37865917
2291207613,445758491,8743.0,54059500
4045655960,1415568997,13876.0,180377000
3955797449,2515578227,14684.0,213630375
1546456065,57231398,3530.0,37124250
1369169680,3234052308,13552.0,193136041
1272485201,4496484397,14113.0,186645750
5062655936,4706296620,8074.0,108660958
2083150433,1546348540,16693.0,199016750
3770730380,30362667,20851.0,221935125
1224665046,2348276391,10151.0,138614917
1414903307,3413812431,11915.0,71944250
318593689,278798620,7133.0,46873125
1275874251,3190136387,14885.0,173476750
1377817109,1489014699,9182.0,119658000
420340129,1573784344,7877.0,82472333
201409948,1841938018,15878.0,179830750
1157373346,286546210,12075.0,108912583
1600966664,3679040488,17374.0,234396791
1569970557,1607236627,4929.0,37910166
268226473,367041228,1009.0,949833
1722851933,202398128,1989.0,21074625
