Source,Target,Distance,ExecutionTime
1227768026,3134845130,15357,11382250
3134845130,568477969,6866,4100958
568477969,293386293,12509,3943000
293386293,626489051,13243,4663458
626489051,2645258420,4555,2491625
2645258420,3165346015,2866,1877541
3165346015,3474304321,6175,2326625
3474304321,308669583,7398,3443708
308669583,3495305429,13020,2994125
3495305429,1181097009,16251,2285041
1181097009,1573156051,1125,575167
1573156051,1659136387,14839,2085125
1659136387,1513167223,12327,2321000
1513167223,928548929,7326,2859125
928548929,463314955,7418,2453291
463314955,369485599,7748,3595792
369485599,3644916902,4845,1892292
3644916902,717727794,5123,1033750
717727794,1708692197,11860,1882750
1708692197,1578752101,7306,901542
1578752101,528730637,15356,2213000
528730637,3489341617,15603,1979000
3489341617,420223458,2512,571041
420223458,1255825351,7247,900917
1255825351,1213393900,2621,474459
1213393900,97878153,13052,1069041
97878153,492563711,7567,749584
492563711,638770372,4628,624500
638770372,1122628697,8957,771958
1122628697,429966768,19729,1436166
429966768,1026047297,7082,920250
1026047297,4694141591,5563,900292
4694141591,5403417405,873,460042
5403417405,3467073562,1181,418292
3467073562,1022919708,9876,1160041
1022919708,523226233,6224,867916
523226233,2062877568,14172,1272750
2062877568,322754971,18958,999250
322754971,1084953139,10840,624000
1084953139,392270446,8398,702459
392270446,1884166974,16667,1500333
1884166974,4187282207,17003,1645875
4187282207,1599630739,16841,2227875
1599630739,26385769,1709,1846292
26385769,1654879481,17700,2879666
1654879481,279832520,11619,2227209
279832520,1751822641,6872,2795750
1751822641,1137710789,890,2179209
1137710789,412540101,16892,3065667
412540101,2284926589,1071,1721000
2284926589,125526549,3455,2279500
125526549,252634823,18172,3670583
252634823,1806539479,6219,1802375
1806539479,1561585898,9242,2186916
1561585898,2916175160,3953,1951250
2916175160,254157650,1194,2179625
254157650,4929252245,10915,3569167
4929252245,1131555622,16537,3676000
1131555622,31405343,8611,2253917
31405343,496033229,5571,1425833
496033229,4847381585,12781,1129375
4847381585,1299751433,15273,1045208
1299751433,2371627047,12775,843791
2371627047,1179514349,4962,472750
1179514349,224554442,4647,467958
224554442,5274047931,16308,1421625
5274047931,5404229644,16654,1206500
5404229644,1130852293,12714,1021417
1130852293,1886962556,12323,917792
1886962556,4033761566,15374,1042291
4033761566,1973730885,1182,492916
1973730885,4577881715,18813,1274291
4577881715,1188858232,3492,356042
1188858232,257402504,23047,1291000
257402504,3811697220,13883,1413125
3811697220,282951744,574,360583
282951744,281411644,5006,704416
281411644,4740482718,10576,33312542
4740482718,1130851583,6392,2104625
1130851583,798153028,11552,2253042
798153028,435122243,13831,3494209
435122243,2603833703,12696,1983208
2603833703,1279123515,13375,1886834
1279123515,318236646,20156,2783334
318236646,98204152,19394,2285833
98204152,4785284399,11174,2161041
4785284399,1427753603,6740,1151542
1427753603,1602656849,5438,782792
1602656849,2218328577,12376,1411875
2218328577,1131370288,14068,1301709
1131370288,1592207388,6946,946833
1592207388,3356967729,3974,585750
3356967729,25920355,18555,1722417
25920355,94049639,1054,611792
94049639,3309825631,14865,1828208
3309825631,4869513019,2533,652375
4869513019,3687324618,7254,1127834
3687324618,1108338531,12505,1255667
1108338531,4303314688,5131,642125
4303314688,4912900950,4189,1142167
4912900950,1163348267,6364,2043792
1163348267,1568013594,5072,982750
1568013594,3720161533,1325,843417
3720161533,2479776301,7466,1493250
2479776301,277233499,5046,1374625
277233499,2614063527,3761,1043875
2614063527,2571175913,11217,2318583
2571175913,2334818561,4060,1393333
2334818561,553095032,2103,425708
553095032,311603670,16834,1835250
311603670,2515257115,21276,1394459
2515257115,254946865,21793,1524000
254946865,308838097,6874,919875
308838097,1766646104,3396,601417
1766646104,1022981552,6048,695083
1022981552,3947775320,10990,794958
3947775320,29594574,20662,1511625
29594574,2565373247,10828,864500
2565373247,1261820577,13638,1131792
1261820577,2699915541,9670,1048834
2699915541,4521955030,8581,894500
4521955030,344467654,4292,725458
344467654,957287630,2702,601542
957287630,3202874333,3861,782083
3202874333,2351443112,13845,1867541
2351443112,30098045,1420,610291
30098045,4545941767,19087,1657875
4545941767,1095494657,2670,589750
1095494657,1574640754,12138,1280458
1574640754,5082647327,12910,1432042
5082647327,2398080562,8603,1138750
2398080562,1414519787,16635,1126292
1414519787,4395803886,23046,1819084
4395803886,114169641,8730,1105583
114169641,29972611,10374,1214958
29972611,506742659,4872,882334
506742659,1588721754,3391,782834
1588721754,279237507,3531,1716291
279237507,3215718798,4229,2419166
3215718798,1639494572,5273,2618875
1639494572,4496598848,4152,3915375
4496598848,1699676210,8203,4280834
1699676210,5151664923,7948,3192959
5151664923,3476765573,11538,3556583
3476765573,25643720,12410,4651917
25643720,1137278296,13944,3502000
1137278296,842646044,901,3597084
842646044,2327395093,13222,3411667
2327395093,174020365,8801,3647208
174020365,4058827940,9440,3683625
4058827940,1336838438,14212,3919583
1336838438,1963463057,2342,2361333
1963463057,3333113144,4693,3524042
3333113144,3132915162,13458,4422292
3132915162,608624898,9764,3042625
608624898,3474305607,4021,2721750
3474305607,4938966563,11805,3913125
4938966563,1829744808,8915,3779959
1829744808,1558248872,3093,2470750
1558248872,285880716,17403,4747167
285880716,376907670,641,1831541
376907670,1989727165,1179,1773458
1989727165,4971289180,2063,2745375
4971289180,47020918,16708,4828583
47020918,3351417721,17580,4687458
3351417721,262866125,8341,4014042
262866125,2267434800,11067,2577833
2267434800,370108837,10096,1905167
370108837,281293870,10260,2471791
281293870,4232999936,18691,2213375
4232999936,430446073,5749,786416
430446073,1456754081,11189,1350625
1456754081,288427183,16666,2205292
288427183,3310153871,15590,2017000
3310153871,3504665527,7440,1217167
3504665527,20946246,13786,1555583
20946246,2316135201,6001,880542
2316135201,315151243,3848,646834
315151243,126635567,5351,756875
126635567,3133999175,22133,1629750
3133999175,1083492357,3711,608500
1083492357,2066198461,18486,1561167
2066198461,1601695081,14948,1619084
1601695081,5221565815,13788,1411333
5221565815,2641818619,13320,1337250
2641818619,2351510471,10710,1129125
2351510471,1153164106,14044,1754542
1153164106,3165346010,7722,1669792
3165346010,1969886403,7295,1500708
1969886403,2309277376,8288,1631375
2309277376,2653375076,14065,1734542
2653375076,1579925431,9324,1729750
1579925431,1129898368,7805,1427541
1129898368,4443384449,12711,1941584
4443384449,1653078152,3358,1890750
1653078152,287996488,1401,1069625
287996488,4647214138,19799,2312625
4647214138,321730705,7831,1244916
321730705,4947689872,20196,2676750
4947689872,433572506,16728,2532250
433572506,319091966,940,1152125
319091966,352603788,14295,2454125
352603788,4229546235,5118,1241583
4229546235,4086020503,4482,1419750
4086020503,301376921,1333,2039792
301376921,311226863,5696,2179291
311226863,2479374956,11251,2823125
2479374956,1601687746,2296,3243208
1601687746,1223388402,12385,3667875
1223388402,1117459847,11079,2963000
1117459847,1221572880,11331,2725875
1221572880,2641834148,7105,2321084
2641834148,247406041,8919,2138375
247406041,295279889,22563,2653875
295279889,4728155622,16465,3497209
4728155622,2633554024,6575,2604792
2633554024,4143367325,5393,2454750
4143367325,798173361,6305,2807084
798173361,3283145603,3018,2522167
3283145603,1812923422,3743,2412625
1812923422,1018813196,7223,2830167
1018813196,2401522743,9417,2670167
2401522743,3144546920,5905,1976416
3144546920,5370186709,10122,2377625
5370186709,2480988347,9266,2364833
2480988347,1441029501,10595,3177167
1441029501,3121753430,2359,954084
3121753430,1094709691,263,665375
1094709691,1157811753,10427,1112750
1157811753,117620,7819,1044291
117620,1540416791,4754,1251625
1540416791,1102161661,8791,1126042
1102161661,1586242655,11051,1088208
1586242655,60885307,4400,731041
60885307,1829480932,1632,474458
1829480932,1120191304,11433,1191958
1120191304,1860818408,8796,860042
1860818408,391318212,11807,893458
391318212,437139668,9369,957791
437139668,1151617965,11785,1210500
1151617965,2027515602,9830,914208
2027515602,4544497766,5871,730083
4544497766,265886463,6225,833583
265886463,3758380793,4977,717250
3758380793,1082636169,3555,523791
1082636169,2063782581,13696,1213500
2063782581,2399162211,9695,659834
2399162211,1112064885,24819,1339625
1112064885,2296688652,16884,1239250
2296688652,321436921,3469,1020292
321436921,309771872,14084,2710042
309771872,1581576323,1634,1912375
1581576323,446259927,3687,2015875
446259927,3002690396,3492,2927167
3002690396,4775908742,2435,2530583
4775908742,107329572,21892,3677208
107329572,251740524,20587,4039958
251740524,287814072,18453,34969375
287814072,250663042,3283,1102208
250663042,282661966,3096,1796375
282661966,2512140002,7768,1436458
2512140002,2522087602,7133,1116375
2522087602,432622476,8987,1642875
432622476,897737483,10622,1192666
897737483,674689934,6507,1000250
674689934,3255768723,3683,1122584
3255768723,333029878,1908,748292
333029878,3073204537,9166,1118833
3073204537,2831828867,7880,1020416
2831828867,27130831,17891,1764541
27130831,1103723422,20301,2304375
1103723422,302896196,12677,2097875
302896196,1165486222,12486,1603708
1165486222,2519482980,2256,1164291
2519482980,12637389,7462,1547167
12637389,319094663,6220,1541291
319094663,189083191,7217,1597334
189083191,310586910,15949,2490083
310586910,4682437558,22308,1666041
4682437558,308821585,6736,1072791
308821585,470366273,4405,1092750
470366273,1100888171,7859,1319292
1100888171,920140514,4280,1174625
920140514,304361622,10101,1560834
304361622,2173242629,5755,1583750
2173242629,2282614671,9829,1226166
2282614671,876210722,11570,1463250
876210722,1128286764,9575,890333
1128286764,1099806191,7606,1177750
1099806191,279740940,9489,1231333
279740940,4699712345,13144,1004667
4699712345,2426004455,703,842375
2426004455,1171107308,12946,1303417
1171107308,4679379489,11494,1489958
4679379489,3261745475,7645,1254208
3261745475,769214363,5625,1100167
769214363,3473271051,10399,1344834
3473271051,1028459376,10573,1715834
1028459376,1432288447,8196,1675708
1432288447,2351968259,12854,2043709
2351968259,289549179,17030,1181333
289549179,2620697348,20443,1662542
2620697348,10939966,2498,1439291
10939966,1546256943,12101,2512042
1546256943,1725185771,3759,1407292
1725185771,4794637473,7325,1999458
4794637473,1195407396,14750,2447333
1195407396,1588722016,15710,2135166
1588722016,450331137,16442,2658625
450331137,541457801,16617,26017208
541457801,1187515384,6713,923584
1187515384,1589154299,5889,874542
1589154299,1403131164,11156,1254291
1403131164,3252120309,12902,1115542
3252120309,2290133688,3611,599334
2290133688,1576063557,6663,900250
1576063557,1239641654,2282,1081667
1239641654,2506835578,876,1480125
2506835578,2611912065,9461,2170167
2611912065,443354384,5074,1033291
443354384,2603619541,6486,1597000
2603619541,1996104364,14425,2301583
1996104364,1346352316,3862,1146625
1346352316,1635182399,7532,1844917
1635182399,3246988867,9323,1991583
3246988867,546954419,15944,1664916
546954419,73189973,6391,914583
73189973,475351388,3042,672375
475351388,4958654957,4109,844416
4958654957,526956385,4025,983209
526956385,3090525234,2507,685416
3090525234,30916204,11701,1594333
30916204,2960469743,3662,888083
2960469743,516555826,14966,1971583
516555826,1578764295,5582,1001833
1578764295,2411017089,6199,3406458
2411017089,2398614148,18367,6112500
2398614148,1148162944,19589,2367041
1148162944,2063617565,14178,2363750
2063617565,301892673,7022,1877250
301892673,1499681280,6910,1382583
1499681280,4560720244,8400,1731458
4560720244,32347968,18302,2592375
32347968,521337691,6553,1399000
521337691,1121917446,17880,2784166
1121917446,1231220426,16404,2433709
1231220426,1847282028,1950,1297333
1847282028,1937256885,12039,2172292
1937256885,1275815241,12444,1641167
1275815241,881573139,16026,2867708
881573139,282199115,16799,2794084
282199115,34570636,16422,1855500
34570636,32995540,5427,1112917
32995540,1456912353,19229,2393500
1456912353,3579165238,15011,2399958
3579165238,2904432265,13569,1851417
2904432265,477489524,18260,1925792
477489524,2427849925,7924,1673500
2427849925,295188292,15627,2308625
295188292,20930076,6180,2064250
20930076,510590951,16902,2101208
510590951,4125266413,5508,927542
4125266413,1764280472,2502,605417
1764280472,3941506218,16922,1837042
3941506218,2298023036,13632,1584542
2298023036,989136491,14387,1036625
989136491,4470897922,10651,1096625
4470897922,343439627,1714,632625
343439627,3301942299,14732,1978750
3301942299,1083339878,6742,1044042
1083339878,1603848027,5994,886417
1603848027,2046506832,2031,837041
2046506832,285880704,1316,687833
285880704,1456755724,19005,1709208
1456755724,2351510721,13507,1298500
2351510721,5404229652,11677,1220667
5404229652,3228908856,1565,558125
3228908856,3283508924,9161,1430459
3283508924,254512345,7338,1212625
254512345,252634855,10842,1209083
252634855,2415181020,6013,940459
2415181020,442114096,5320,1021208
442114096,1336996491,11981,1425209
1336996491,461812490,10324,1212959
461812490,278769906,5193,868000
278769906,1148282843,17259,2049000
1148282843,1298230348,17434,1793958
1298230348,3679856927,5518,963458
3679856927,3967682416,13766,1800250
3967682416,4529165396,13905,1293458
4529165396,470201510,3217,968709
470201510,1098716816,681,2744167
1098716816,271417083,9655,3616000
271417083,1028727944,4885,3151583
1028727944,3772375186,3291,3120459
3772375186,957836619,4844,3243708
957836619,2318091884,1833,4836667
2318091884,2286664820,6219,3963000
2286664820,27133378,7584,3284292
27133378,704345264,18205,5159125
704345264,73237290,15231,4046334
73237290,1579925400,13921,4214000
1579925400,376037982,5947,7242084
376037982,1468014824,8541,10429583
1468014824,2301484620,16744,4717084
2301484620,280230255,10148,2084542
280230255,321728043,12471,2125084
321728043,286742469,16474,1968125
286742469,1922524808,3196,1623459
1922524808,290841385,2579,1721500
290841385,5397142337,12363,2364125
5397142337,4910984011,2722,1216500
4910984011,31663991,10714,1598000
31663991,2218328650,3881,682542
2218328650,254512234,7320,1003375
254512234,1128557959,14865,1547292
1128557959,1022874753,16130,1440791
1022874753,4125266186,12760,1215667
4125266186,577171910,17294,1317875
577171910,4675380175,15946,1356625
4675380175,5177749028,16437,2046458
5177749028,1152928166,12465,1867125
1152928166,1599778802,1443,1078416
1599778802,303794758,5343,1113667
303794758,1390303924,8937,1207833
1390303924,603524890,4332,1105583
603524890,602639339,7020,1305333
602639339,2293306047,1899,882583
2293306047,609056673,5049,1545250
609056673,1285515606,11044,1554500
1285515606,1102671178,22839,2058125
1102671178,3159184624,19083,1795250
3159184624,1458116421,6019,995375
1458116421,282757465,22668,1993500
282757465,1210552941,18472,1617625
1210552941,203126759,9431,1182750
203126759,1420418848,8645,1230125
1420418848,888763552,20579,1816833
888763552,12647125,12745,1780500
12647125,475287201,7601,2024250
475287201,1028540529,8199,1186166
1028540529,559775099,8210,1589625
559775099,334003151,12783,2354875
334003151,1666385459,16283,1927209
1666385459,3679433001,7867,1381375
3679433001,262228287,3115,1286166
262228287,1244765189,5501,1219417
1244765189,4086533545,1423,927500
4086533545,2512161841,9286,1699625
2512161841,1289313765,17152,2081875
1289313765,66521490,4336,862709
66521490,576736,630,766291
576736,1673198126,1658,965500
1673198126,5117976310,16931,1734250
5117976310,2414363764,2026,715875
2414363764,1212691036,11483,1472000
1212691036,1547705157,15253,1471125
1547705157,1987197402,2739,822292
1987197402,1363132415,8192,1299458
1363132415,507913272,8978,1293292
507913272,1038529995,17359,1847167
1038529995,4477000710,2720,805583
4477000710,393669077,16798,2060000
393669077,1223319030,3420,920667
1223319030,4489842543,14707,1439334
4489842543,738933272,8872,1236791
738933272,1119074308,9144,1521292
1119074308,1152671155,14954,1696917
1152671155,287996530,6215,1542375
287996530,372795529,19266,2258250
372795529,4173033482,7661,1657084
4173033482,391752021,9991,2094000
391752021,4675573057,2328,1301041
4675573057,1368359049,16884,2071250
1368359049,1080706477,18218,1791125
1080706477,4564267360,9367,1428417
4564267360,1016075288,7042,1473500
1016075288,294233407,7572,2038000
294233407,843260525,17975,2331042
843260525,1768590436,21233,2100500
1768590436,4550165990,3128,1457667
4550165990,4065830100,17372,2305541
4065830100,317991583,12219,1654541
317991583,1224772939,7947,1192084
1224772939,4525073367,11684,1343250
4525073367,1659768249,9479,1486583
1659768249,281962265,8263,1449000
281962265,3419903325,5585,1283834
3419903325,313316536,14304,2152791
313316536,2154542914,5259,1437417
2154542914,2291030506,4515,1460375
2291030506,271843753,11591,1792375
271843753,270457579,9159,1688250
270457579,4528007040,11523,2526333
4528007040,3150329044,5741,2267834
3150329044,1763013383,13614,3108416
1763013383,3444940316,17125,3154208
3444940316,1689548678,16740,2472583
1689548678,1106361631,13170,1723750
1106361631,504929182,12277,1318833
504929182,4291298688,10838,1728500
4291298688,29511813,14632,1357500
29511813,711900616,12921,1587625
711900616,2304174051,8300,1243166
2304174051,2855616017,3042,618292
2855616017,421869697,22580,2146458
421869697,4696370581,17209,1802417
4696370581,790120764,15793,1640083
790120764,253683859,14538,1410625
253683859,4961117590,1776,728125
4961117590,95168471,9713,2104125
95168471,416101868,11650,2000333
416101868,3192235140,7817,1599500
3192235140,3734660819,6498,1540167
3734660819,4194661287,12811,2455959
4194661287,281955188,8322,3309292
281955188,3878713463,13135,3753750
3878713463,1595288799,8681,2389375
1595288799,1113735000,9399,2354167
1113735000,4186939891,20352,2706459
4186939891,4955455036,18215,3842666
4955455036,3734946888,9016,3269834
3734946888,3964659936,4047,2813084
3964659936,1117738265,11120,3618208
1117738265,701735,18525,4273667
701735,3242242988,14458,3575292
3242242988,4598316028,3429,2759416
4598316028,3464359264,9017,2722875
3464359264,598215138,17944,3187666
598215138,1496359567,15605,3319333
1496359567,663569237,5289,3277959
663569237,3673780398,11573,3508166
3673780398,1096234781,7017,3630667
1096234781,298246639,16368,5308250
298246639,2290133686,19125,28649084
2290133686,4713894983,8638,1136667
4713894983,4195271439,14284,1435584
4195271439,339595027,2258,624958
339595027,417126784,17250,1758958
417126784,2397633952,10838,1365666
2397633952,4125339838,13315,1319916
4125339838,2986106810,20579,1954625
2986106810,5404229651,17000,1735459
5404229651,315856394,11257,1238791
315856394,1392796582,9393,1193959
1392796582,1581743329,6411,851791
1581743329,265446507,12104,1043667
265446507,303487658,5803,1360584
303487658,252188529,17373,2548459
252188529,38536429,5490,1092000
38536429,1587648827,5130,905958
1587648827,1584895620,7831,1167708
1584895620,1107496801,8378,1091125
1107496801,745834788,6792,898084
745834788,444741246,8780,807666
444741246,413409626,8622,1313625
413409626,265515017,16441,2030625
265515017,1563015986,12948,1800459
1563015986,1426275621,6400,1046375
1426275621,8032481,8519,1831208
8032481,1086955740,14769,1759000
1086955740,4208635181,13994,1760833
4208635181,3667680006,18114,1757209
3667680006,4902553820,12021,1436458
4902553820,1604527503,7565,1210292
1604527503,277758470,5023,830333
277758470,441232145,7506,741458
441232145,1618441245,14202,1364417
1618441245,3348082342,5160,838167
3348082342,388225593,15067,1389584
388225593,1298272244,9393,1161042
1298272244,20930057,17220,1823375
20930057,277545922,4510,911083
277545922,4545941748,19091,1575917
4545941748,1693439620,16902,1476916
1693439620,441326963,3750,919416
441326963,2334272792,13473,1322625
2334272792,428639003,9126,974833
428639003,1149291930,6960,1250000
1149291930,1380813713,6305,944333
1380813713,266990029,5411,1019166
266990029,472370698,4069,1148875
472370698,2338333719,14721,2222667
2338333719,412732837,14644,1866167
412732837,2287834893,7962,1482792
2287834893,1233942287,8958,1393666
1233942287,1201351872,8471,1441584
1201351872,343474453,10589,1340500
343474453,251692710,10744,1310584
251692710,1181345293,10098,1437041
1181345293,727561997,2486,815625
727561997,5286705710,5675,1073417
5286705710,3477856271,11360,1809208
3477856271,1924378528,13599,1917583
1924378528,3729339169,18353,2008875
