Source,Target,Distance,ExecutionTime
1227768026,3134845130,14397,8101584
3134845130,568477969,6866,2051500
568477969,293386293,12554,2591833
293386293,626489051,17405,2604500
626489051,2645258420,4556,1777208
2645258420,3165346015,2866,1520542
3165346015,3474304321,6174,1773750
3474304321,308669583,7518,1866291
308669583,3495305429,13046,2597667
3495305429,1181097009,16423,1400958
1181097009,1573156051,1125,663250
1573156051,1659136387,14676,1233458
1659136387,1513167223,12372,1047834
1513167223,928548929,7327,2214542
928548929,463314955,9849,2227166
463314955,369485599,7748,1759500
369485599,3644916902,4845,1591958
3644916902,717727794,5123,1685000
717727794,1708692197,10484,1767542
1708692197,1578752101,6271,1833000
1578752101,528730637,19019,2450459
528730637,3489341617,24832,1952708
3489341617,420223458,2512,1553208
420223458,1255825351,6972,1727041
1255825351,1213393900,2621,412834
1213393900,97878153,13053,954917
97878153,492563711,7758,712417
492563711,638770372,4628,551291
638770372,1122628697,8902,721583
1122628697,429966768,19463,1127625
429966768,1026047297,7082,753542
1026047297,4694141591,5563,528167
4694141591,5403417405,873,385625
5403417405,3467073562,1181,380208
3467073562,1022919708,9932,933833
1022919708,523226233,6224,587500
523226233,2062877568,13960,601708
2062877568,322754971,18412,684959
322754971,1084953139,10320,703250
1084953139,392270446,8398,771209
392270446,1884166974,16501,871542
1884166974,4187282207,16838,670375
4187282207,1599630739,16337,927250
1599630739,26385769,1947,565584
26385769,1654879481,19512,1067125
1654879481,279832520,12784,753084
279832520,1751822641,8579,938208
1751822641,1137710789,890,365583
1137710789,412540101,16491,1188375
412540101,2284926589,1066,486083
2284926589,125526549,3513,654958
125526549,252634823,17634,845792
252634823,1806539479,7128,667125
1806539479,1561585898,9565,1845792
1561585898,2916175160,3954,1633666
2916175160,254157650,1195,1502291
254157650,4929252245,11371,2305000
4929252245,1131555622,16037,2011041
1131555622,31405343,8611,1953167
31405343,496033229,5540,1641000
496033229,4847381585,13968,1964583
4847381585,1299751433,14576,1943250
1299751433,2371627047,12757,2042750
2371627047,1179514349,4164,1565708
1179514349,224554442,4647,1403417
224554442,5274047931,16265,2154750
5274047931,5404229644,16950,1759167
5404229644,1130852293,13053,1623042
1130852293,1886962556,12336,1812334
1886962556,4033761566,15376,2058917
4033761566,1973730885,1277,1427583
1973730885,4577881715,21784,2096292
4577881715,1188858232,3492,1385375
1188858232,257402504,21838,2112208
257402504,3811697220,14731,1971583
3811697220,282951744,574,1325667
282951744,281411644,4795,1561750
281411644,4740482718,10601,2020875
4740482718,1130851583,6392,1532000
1130851583,798153028,10687,1647917
798153028,435122243,23175,1682125
435122243,2603833703,13696,1624417
2603833703,1279123515,14187,1983875
1279123515,318236646,20080,2088333
318236646,98204152,19640,827917
98204152,4785284399,11466,33940000
4785284399,1427753603,6814,912292
1427753603,1602656849,6167,837542
1602656849,2218328577,12042,1114250
2218328577,1131370288,13793,1345083
1131370288,1592207388,8775,969375
1592207388,3356967729,3975,486292
3356967729,25920355,18062,1443834
25920355,94049639,1054,717417
94049639,3309825631,14540,1444833
3309825631,4869513019,2533,691667
4869513019,3687324618,7197,1506542
3687324618,1108338531,12505,1346666
1108338531,4303314688,5131,587208
4303314688,4912900950,4189,640458
4912900950,1163348267,6365,685500
1163348267,1568013594,5014,488375
1568013594,3720161533,1326,426917
3720161533,2479776301,7412,656625
2479776301,277233499,5041,468791
277233499,2614063527,3761,2664041
2614063527,2571175913,10968,890125
2571175913,2334818561,4060,508625
2334818561,553095032,2103,459708
553095032,311603670,16671,1045583
311603670,2515257115,20468,1060125
2515257115,254946865,22625,1326209
254946865,308838097,7280,901708
308838097,1766646104,3353,746583
1766646104,1022981552,6034,745292
1022981552,3947775320,10964,814708
3947775320,29594574,21394,1607625
29594574,2565373247,10808,943583
2565373247,1261820577,13581,1180417
1261820577,2699915541,9670,1070958
2699915541,4521955030,8581,957708
4521955030,344467654,4259,893583
344467654,957287630,2702,616000
957287630,3202874333,3861,753083
3202874333,2351443112,13327,1424459
2351443112,30098045,1420,672708
30098045,4545941767,18919,1260875
4545941767,1095494657,2673,800291
1095494657,1574640754,12081,1085500
1574640754,5082647327,12904,1187833
5082647327,2398080562,8603,975125
2398080562,1414519787,14722,930083
1414519787,4395803886,21062,1095750
4395803886,114169641,8730,626292
114169641,29972611,10361,624917
29972611,506742659,5127,457250
506742659,1588721754,3646,457625
1588721754,279237507,3560,446542
279237507,3215718798,4230,521084
3215718798,1639494572,5274,565375
1639494572,4496598848,4152,487792
4496598848,1699676210,8444,694958
1699676210,5151664923,8639,870750
5151664923,3476765573,11441,844916
3476765573,25643720,12417,890833
25643720,1137278296,13924,1138000
1137278296,842646044,901,359792
842646044,2327395093,12981,912083
2327395093,174020365,8812,607625
174020365,4058827940,9441,764125
4058827940,1336838438,14206,1173292
1336838438,1963463057,2569,563750
1963463057,3333113144,4708,606791
3333113144,3132915162,14671,850667
3132915162,608624898,10701,726458
608624898,3474305607,4021,395833
3474305607,4938966563,11806,833167
4938966563,1829744808,8950,630250
1829744808,1558248872,3156,415917
1558248872,285880716,17201,1202833
285880716,376907670,723,431459
376907670,1989727165,1201,848958
1989727165,4971289180,2545,1631458
4971289180,47020918,16438,2081750
47020918,3351417721,17164,1888167
3351417721,262866125,8368,1809584
262866125,2267434800,11017,2013833
2267434800,370108837,10067,4552125
370108837,281293870,10097,3011583
281293870,4232999936,18190,2787250
4232999936,430446073,5651,2462459
430446073,1456754081,10931,2503708
1456754081,288427183,17224,3052209
288427183,3310153871,15319,2242417
3310153871,3504665527,7742,1899167
3504665527,20946246,13805,2331000
