Source,Target,Distance,ExecutionTime
1227768026,3134845130,15357,9763500
3134845130,568477969,6866,2610041
568477969,293386293,12509,3259458
293386293,626489051,13243,3683250
626489051,2645258420,4555,1478500
2645258420,3165346015,2866,583416
3165346015,3474304321,6175,1110625
3474304321,308669583,7398,1390000
308669583,3495305429,13020,1757500
3495305429,1181097009,16251,1785041
1181097009,1573156051,1125,389000
1573156051,1659136387,14839,1747083
1659136387,1513167223,12327,1490250
1513167223,928548929,7326,1168834
928548929,463314955,7418,995833
463314955,369485599,7748,1200375
369485599,3644916902,4845,1114417
3644916902,717727794,5123,1276792
717727794,1708692197,11860,1635667
1708692197,1578752101,7306,907583
1578752101,528730637,15356,2207416
528730637,3489341617,15603,2387791
3489341617,420223458,2512,693667
420223458,1255825351,7247,1205167
1255825351,1213393900,2621,568208
1213393900,97878153,13052,1646333
97878153,492563711,7567,1164791
492563711,638770372,4628,896625
638770372,1122628697,8957,1118959
1122628697,429966768,19729,1971625
429966768,1026047297,7082,1062583
1026047297,4694141591,5563,1136875
4694141591,5403417405,873,586709
5403417405,3467073562,1181,620292
3467073562,1022919708,9876,1854917
1022919708,523226233,6224,856166
523226233,2062877568,14172,1418541
2062877568,322754971,18958,1005375
322754971,1084953139,10840,1751041
1084953139,392270446,8398,2112750
392270446,1884166974,16667,2620166
1884166974,4187282207,17003,2737000
4187282207,1599630739,16841,2629958
1599630739,26385769,1709,1833709
26385769,1654879481,17700,2466292
1654879481,279832520,11619,1971250
279832520,1751822641,6872,2024542
1751822641,1137710789,890,1558083
1137710789,412540101,16892,2793750
412540101,2284926589,1071,1737583
2284926589,125526549,3455,2030875
125526549,252634823,18172,2645292
252634823,1806539479,6219,1640750
1806539479,1561585898,9242,2232083
1561585898,2916175160,3953,676792
2916175160,254157650,1194,415250
254157650,4929252245,10915,1685084
4929252245,1131555622,16537,1256500
1131555622,31405343,8611,776708
31405343,496033229,5571,812834
496033229,4847381585,12781,1150083
4847381585,1299751433,15273,1043958
1299751433,2371627047,12775,776041
2371627047,1179514349,4962,419041
1179514349,224554442,4647,457333
224554442,5274047931,16308,1503333
5274047931,5404229644,16654,1247042
5404229644,1130852293,12714,1048458
1130852293,1886962556,12323,879875
1886962556,4033761566,15374,1073042
4033761566,1973730885,1182,511625
1973730885,4577881715,18813,1402584
4577881715,1188858232,3492,354708
1188858232,257402504,23047,1283959
257402504,3811697220,13883,1336083
3811697220,282951744,574,32371417
282951744,281411644,5006,1140541
281411644,4740482718,10576,1957458
4740482718,1130851583,6392,1200000
1130851583,798153028,11552,1586125
798153028,435122243,13831,1797833
435122243,2603833703,12696,1516292
2603833703,1279123515,13375,1577625
1279123515,318236646,20156,1693167
318236646,98204152,19394,1554417
98204152,4785284399,11174,1420334
4785284399,1427753603,6740,1087292
1427753603,1602656849,5438,738875
1602656849,2218328577,12376,1298250
2218328577,1131370288,14068,1207292
1131370288,1592207388,6946,958500
1592207388,3356967729,3974,606334
3356967729,25920355,18555,1802542
25920355,94049639,1054,652084
94049639,3309825631,14865,1994333
3309825631,4869513019,2533,806583
4869513019,3687324618,7254,1233917
3687324618,1108338531,12505,1375333
1108338531,4303314688,5131,779834
4303314688,4912900950,4189,1108833
4912900950,1163348267,6364,1223292
1163348267,1568013594,5072,804417
1568013594,3720161533,1325,624083
3720161533,2479776301,7466,831708
2479776301,277233499,5046,559792
277233499,2614063527,3761,728583
2614063527,2571175913,11217,1697791
2571175913,2334818561,4060,2591917
2334818561,553095032,2103,470417
553095032,311603670,16834,1780167
311603670,2515257115,21276,1415125
2515257115,254946865,21793,1488834
254946865,308838097,6874,921500
308838097,1766646104,3396,596834
1766646104,1022981552,6048,690542
1022981552,3947775320,10990,800541
3947775320,29594574,20662,1822458
29594574,2565373247,10828,1164167
2565373247,1261820577,13638,1151833
1261820577,2699915541,9670,925375
2699915541,4521955030,8581,907083
4521955030,344467654,4292,715833
344467654,957287630,2702,587083
957287630,3202874333,3861,781083
3202874333,2351443112,13845,1753708
2351443112,30098045,1420,574916
30098045,4545941767,19087,1878042
4545941767,1095494657,2670,1215083
1095494657,1574640754,12138,2366375
