Source,Target,Distance,ExecutionTime
1227768026,3134845130,14396.0,159520709
3134845130,568477969,6866.0,107062625
568477969,293386293,12509.0,204179542
293386293,626489051,12984.0,154494292
626489051,2645258420,4555.0,55621875
2645258420,3165346015,2866.0,19190833
3165346015,3474304321,6174.0,116548667
3474304321,308669583,7397.0,119342625
308669583,3495305429,13020.0,206141667
3495305429,1181097009,15787.0,151870041
1181097009,1573156051,1125.0,2816209
1573156051,1659136387,13919.0,177914791
1659136387,1513167223,12284.0,123956041
1513167223,928548929,7326.0,106503542
928548929,463314955,7141.0,115092125
463314955,369485599,7748.0,48371875
369485599,3644916902,4845.0,63615750
3644916902,717727794,5123.0,83126834
717727794,1708692197,10484.0,195632292
1708692197,1578752101,6027.0,19932042
1578752101,528730637,15128.0,230309833
528730637,3489341617,15362.0,117104292
3489341617,420223458,2512.0,16172042
420223458,1255825351,6913.0,100488500
1255825351,1213393900,2621.0,13673334
1213393900,97878153,13052.0,142897125
97878153,492563711,7454.0,55305291
492563711,638770372,4628.0,56649250
638770372,1122628697,8902.0,146983292
1122628697,429966768,19420.0,198755125
429966768,1026047297,7082.0,51798334
1026047297,4694141591,5563.0,46894333
4694141591,5403417405,873.0,9762667
5403417405,3467073562,1181.0,13824833
3467073562,1022919708,9810.0,69197000
1022919708,523226233,6224.0,98768791
523226233,2062877568,13913.0,152270458
2062877568,322754971,18386.0,210864500
322754971,1084953139,10319.0,89816583
1084953139,392270446,8398.0,62632250
392270446,1884166974,16449.0,190510083
1884166974,4187282207,16793.0,158539167
4187282207,1599630739,16319.0,172538917
1599630739,26385769,1655.0,21453333
26385769,1654879481,17066.0,181911625
1654879481,279832520,11619.0,144569458
279832520,1751822641,6872.0,36237417
1751822641,1137710789,890.0,1140084
1137710789,412540101,15826.0,169225583
412540101,2284926589,1066.0,10665666
2284926589,125526549,3455.0,35667500
125526549,252634823,17623.0,175956833
252634823,1806539479,6219.0,72273916
1806539479,1561585898,9194.0,80001166
1561585898,2916175160,3953.0,45296334
2916175160,254157650,1194.0,2404625
254157650,4929252245,10915.0,182037833
4929252245,1131555622,15967.0,161670083
1131555622,31405343,8574.0,149216959
31405343,496033229,5469.0,18744166
496033229,4847381585,11824.0,210184334
4847381585,1299751433,14575.0,115964208
1299751433,2371627047,12757.0,216706750
2371627047,1179514349,4140.0,3335417
1179514349,224554442,4647.0,26329250
224554442,5274047931,16252.0,181626333
5274047931,5404229644,16611.0,149391208
5404229644,1130852293,12714.0,138146584
1130852293,1886962556,12323.0,150791959
1886962556,4033761566,15361.0,191024583
4033761566,1973730885,1182.0,15508125
1973730885,4577881715,18234.0,181286125
4577881715,1188858232,3492.0,6139833
1188858232,257402504,21838.0,210700000
257402504,3811697220,13345.0,81573500
3811697220,282951744,574.0,2913042
282951744,281411644,4795.0,64808083
281411644,4740482718,10576.0,206414375
4740482718,1130851583,6392.0,56541792
1130851583,798153028,10675.0,115135458
798153028,435122243,12821.0,163082834
435122243,2603833703,12300.0,96785500
2603833703,1279123515,12799.0,167893000
1279123515,318236646,19958.0,191180708
318236646,98204152,19382.0,158232250
98204152,4785284399,11172.0,92603959
4785284399,1427753603,6715.0,90297541
1427753603,1602656849,5438.0,71152041
1602656849,2218328577,12042.0,130609542
2218328577,1131370288,13734.0,153925041
1131370288,1592207388,6946.0,31416792
1592207388,3356967729,3974.0,39366542
3356967729,25920355,18024.0,176258750
25920355,94049639,1054.0,12329291
94049639,3309825631,13965.0,123067750
3309825631,4869513019,2533.0,20438792
4869513019,3687324618,7197.0,120572875
3687324618,1108338531,12505.0,143053834
1108338531,4303314688,5092.0,33853375
4303314688,4912900950,4189.0,51756584
4912900950,1163348267,6364.0,91454917
1163348267,1568013594,5014.0,30781458
1568013594,3720161533,1325.0,2131667
3720161533,2479776301,7411.0,133332708
2479776301,277233499,4857.0,15402291
277233499,2614063527,3761.0,25555959
2614063527,2571175913,10958.0,153711500
2571175913,2334818561,4060.0,30043917
2334818561,553095032,2103.0,6406708
553095032,311603670,15856.0,151137416
311603670,2515257115,19653.0,197666417
2515257115,254946865,21042.0,167649083
254946865,308838097,6720.0,36295125
308838097,1766646104,3353.0,45690750
1766646104,1022981552,6034.0,55013375
1022981552,3947775320,10953.0,189947084
3947775320,29594574,19911.0,195193875
29594574,2565373247,10808.0,65867417
2565373247,1261820577,13581.0,204817000
1261820577,2699915541,9670.0,64001375
2699915541,4521955030,8581.0,82021166
4521955030,344467654,4259.0,26656042
344467654,957287630,2702.0,49562416
957287630,3202874333,3861.0,41817000
3202874333,2351443112,13319.0,177546666
2351443112,30098045,1420.0,24062334
30098045,4545941767,18880.0,194870833
4545941767,1095494657,2670.0,15440709
1095494657,1574640754,12081.0,114627083
1574640754,5082647327,12902.0,201319417
5082647327,2398080562,8602.0,75883833
2398080562,1414519787,14600.0,230406000
1414519787,4395803886,20940.0,204404834
4395803886,114169641,8730.0,72338208
114169641,29972611,10360.0,207570167
29972611,506742659,4872.0,44262209
506742659,1588721754,3391.0,11703417
1588721754,279237507,3531.0,28234166
279237507,3215718798,4229.0,29969250
3215718798,1639494572,5273.0,71834084
1639494572,4496598848,4152.0,35498209
4496598848,1699676210,7637.0,140190584
1699676210,5151664923,7902.0,90862708
5151664923,3476765573,10535.0,168818709
3476765573,25643720,12410.0,155519209
25643720,1137278296,13924.0,163633375
1137278296,842646044,901.0,2174625
842646044,2327395093,12970.0,188119708
2327395093,174020365,8800.0,98193375
174020365,4058827940,9440.0,154445833
4058827940,1336838438,14193.0,202503458
1336838438,1963463057,2342.0,34239583
1963463057,3333113144,4693.0,54085542
3333113144,3132915162,12824.0,172040709
3132915162,608624898,9764.0,148271000
608624898,3474305607,4021.0,13732125
3474305607,4938966563,11804.0,149082458
4938966563,1829744808,8914.0,191452625
1829744808,1558248872,3093.0,25979541
1558248872,285880716,16845.0,228179916
285880716,376907670,641.0,3904458
376907670,1989727165,1179.0,23469416
1989727165,4971289180,2020.0,19583042
4971289180,47020918,16404.0,201172875
47020918,3351417721,17116.0,203933667
3351417721,262866125,8341.0,79375125
262866125,2267434800,11016.0,205894583
2267434800,370108837,10066.0,104986083
370108837,281293870,10066.0,167669625
281293870,4232999936,18148.0,199366000
4232999936,430446073,5650.0,96106417
430446073,1456754081,10926.0,166912166
1456754081,288427183,16666.0,182402334
288427183,3310153871,14815.0,147741042
3310153871,3504665527,7439.0,105590958
3504665527,20946246,13786.0,191559667
20946246,2316135201,6001.0,48862667
2316135201,315151243,3848.0,12133292
315151243,126635567,5290.0,54810542
126635567,3133999175,21584.0,184944833
3133999175,1083492357,3711.0,16203334
1083492357,2066198461,18165.0,173625375
2066198461,1601695081,14499.0,114514000
1601695081,5221565815,12427.0,165735500
5221565815,2641818619,12532.0,122686084
2641818619,2351510471,10330.0,150169250
2351510471,1153164106,14040.0,201908250
